# BEGIN PLOT
LegendXPos=0.3
XLabel=$y(\mathrm{jet~2})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}y(\mathrm{jet~2})$ [pb]
DrawOnly=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_y_2
Title=Rapidity of second jet
LegendYPos=0.5
Legend=1
LegendOnly=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_y_2
LogY=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_y_2
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_y_2
ScaledBy=2.00000000070667569e-05
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	3.430765e+06	1.534285e+06	1.534285e+06
-4.600000e+00	-4.400000e+00	2.058459e+06	1.188452e+06	1.188452e+06
-4.400000e+00	-4.200000e+00	6.861530e+06	2.169806e+06	2.169806e+06
-4.200000e+00	-4.000000e+00	1.166460e+07	2.829081e+06	2.829081e+06
-4.000000e+00	-3.800000e+00	8.233835e+06	2.376904e+06	2.376904e+06
-3.800000e+00	-3.600000e+00	1.372306e+07	3.068570e+06	3.068570e+06
-3.600000e+00	-3.400000e+00	1.166460e+07	2.829081e+06	2.829081e+06
-3.400000e+00	-3.200000e+00	1.578152e+07	3.290674e+06	3.290674e+06
-3.200000e+00	-3.000000e+00	1.235075e+07	2.911101e+06	2.911101e+06
-3.000000e+00	-2.800000e+00	1.372306e+07	3.068570e+06	3.068570e+06
-2.800000e+00	-2.600000e+00	1.440922e+07	3.144348e+06	3.144348e+06
-2.600000e+00	-2.400000e+00	2.127074e+07	3.820338e+06	3.820338e+06
-2.400000e+00	-2.200000e+00	2.332920e+07	4.000925e+06	4.000925e+06
-2.200000e+00	-2.000000e+00	1.989843e+07	3.695047e+06	3.695047e+06
-2.000000e+00	-1.800000e+00	1.989844e+07	3.695047e+06	3.695047e+06
-1.800000e+00	-1.600000e+00	2.881843e+07	4.446780e+06	4.446780e+06
-1.600000e+00	-1.400000e+00	2.881842e+07	4.446780e+06	4.446780e+06
-1.400000e+00	-1.200000e+00	2.675997e+07	4.285024e+06	4.285024e+06
-1.200000e+00	-1.000000e+00	2.058459e+07	3.758215e+06	3.758215e+06
-1.000000e+00	-8.000000e-01	3.499381e+07	4.900112e+06	4.900112e+06
-8.000000e-01	-6.000000e-01	2.675996e+07	4.285024e+06	4.285024e+06
-6.000000e-01	-4.000000e-01	3.293535e+07	4.753807e+06	4.753807e+06
-4.000000e-01	-2.000000e-01	2.744612e+07	4.339613e+06	4.339613e+06
-2.000000e-01	0.000000e+00	2.813228e+07	4.393523e+06	4.393523e+06
0.000000e+00	2.000000e-01	3.087688e+07	4.602854e+06	4.602854e+06
2.000000e-01	4.000000e-01	2.401536e+07	4.059336e+06	4.059336e+06
4.000000e-01	6.000000e-01	2.538766e+07	4.173706e+06	4.173706e+06
6.000000e-01	8.000000e-01	3.019073e+07	4.551424e+06	4.551424e+06
8.000000e-01	1.000000e+00	3.362150e+07	4.803071e+06	4.803071e+06
1.000000e+00	1.200000e+00	3.293535e+07	4.753807e+06	4.753807e+06
1.200000e+00	1.400000e+00	2.744612e+07	4.339613e+06	4.339613e+06
1.400000e+00	1.600000e+00	2.744612e+07	4.339613e+06	4.339613e+06
1.600000e+00	1.800000e+00	2.127075e+07	3.820338e+06	3.820338e+06
1.800000e+00	2.000000e+00	2.058459e+07	3.758215e+06	3.758215e+06
2.000000e+00	2.200000e+00	2.264305e+07	3.941649e+06	3.941649e+06
2.200000e+00	2.400000e+00	2.058459e+07	3.758215e+06	3.758215e+06
2.400000e+00	2.600000e+00	1.646767e+07	3.361449e+06	3.361449e+06
2.600000e+00	2.800000e+00	1.578152e+07	3.290674e+06	3.290674e+06
2.800000e+00	3.000000e+00	1.303690e+07	2.990872e+06	2.990872e+06
3.000000e+00	3.200000e+00	1.783998e+07	3.498708e+06	3.498708e+06
3.200000e+00	3.400000e+00	1.097845e+07	2.744612e+06	2.744612e+06
3.400000e+00	3.600000e+00	1.852613e+07	3.565356e+06	3.565356e+06
3.600000e+00	3.800000e+00	1.166460e+07	2.829081e+06	2.829081e+06
3.800000e+00	4.000000e+00	6.861530e+06	2.169806e+06	2.169806e+06
4.000000e+00	4.200000e+00	9.606140e+06	2.567349e+06	2.567349e+06
4.200000e+00	4.400000e+00	5.489225e+06	1.940734e+06	1.940734e+06
4.400000e+00	4.600000e+00	4.116918e+06	1.680725e+06	1.680725e+06
4.600000e+00	4.800000e+00	3.430765e+06	1.534285e+06	1.534285e+06
4.800000e+00	5.000000e+00	1.372306e+06	9.703669e+05	9.703669e+05
# END HISTO1D

