# BEGIN PLOT
LegendXPos=0.3
XLabel=$y(\mathrm{jet~3})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}y(\mathrm{jet~3})$ [pb]
DrawOnly=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_y_3
Title=Rapidity of third jet
LegendYPos=0.5
Legend=1
LegendOnly=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_y_3
LogY=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_y_3
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_y_3
ScaledBy=2.00000000070667569e-05
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	1.029229e+06	5.942259e+05	5.942259e+05
-4.600000e+00	-4.200000e+00	6.861530e+05	4.851835e+05	4.851835e+05
-4.200000e+00	-3.800000e+00	6.861530e+05	4.851835e+05	4.851835e+05
-3.800000e+00	-3.400000e+00	1.715383e+06	7.671424e+05	7.671424e+05
-3.400000e+00	-3.000000e+00	1.029230e+06	5.942259e+05	5.942259e+05
-3.000000e+00	-2.600000e+00	2.401536e+06	9.076952e+05	9.076952e+05
-2.600000e+00	-2.200000e+00	2.058459e+06	8.403623e+05	8.403623e+05
-2.200000e+00	-1.800000e+00	4.803070e+06	1.283675e+06	1.283675e+06
-1.800000e+00	-1.400000e+00	3.773842e+06	1.137856e+06	1.137856e+06
-1.400000e+00	-1.000000e+00	3.430765e+06	1.084903e+06	1.084903e+06
-1.000000e+00	-6.000000e-01	5.146148e+06	1.328730e+06	1.328730e+06
-6.000000e-01	-2.000000e-01	6.861530e+06	1.534285e+06	1.534285e+06
-2.000000e-01	2.000000e-01	5.832300e+06	1.414541e+06	1.414541e+06
2.000000e-01	6.000000e-01	3.430765e+06	1.084903e+06	1.084903e+06
6.000000e-01	1.000000e+00	4.803070e+06	1.283675e+06	1.283675e+06
1.000000e+00	1.400000e+00	2.744613e+06	9.703669e+05	9.703669e+05
1.400000e+00	1.800000e+00	3.087687e+06	1.029229e+06	1.029229e+06
1.800000e+00	2.200000e+00	2.401535e+06	9.076952e+05	9.076952e+05
2.200000e+00	2.600000e+00	1.715383e+06	7.671424e+05	7.671424e+05
2.600000e+00	3.000000e+00	3.430765e+06	1.084903e+06	1.084903e+06
3.000000e+00	3.400000e+00	2.401536e+06	9.076952e+05	9.076952e+05
3.400000e+00	3.800000e+00	2.058459e+06	8.403623e+05	8.403623e+05
3.800000e+00	4.200000e+00	1.372306e+06	6.861530e+05	6.861530e+05
4.200000e+00	4.600000e+00	1.029230e+06	5.942259e+05	5.942259e+05
4.600000e+00	5.000000e+00	3.430765e+05	3.430765e+05	3.430765e+05
# END HISTO1D

