# BEGIN PLOT
LegendXPos=0.3
XLabel=$y(\mathrm{jet~4})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}y(\mathrm{jet~4})$ [pb]
DrawOnly=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_y_4
Title=Rapidity of fourth jet
LegendYPos=0.5
Legend=1
LegendOnly=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_y_4
LogY=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_y_4
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_y_4
ScaledBy=2.00000000070667569e-05
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.200000e+00	6.861530e+05	4.851835e+05	4.851835e+05
-4.200000e+00	-3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.800000e+00	-3.400000e+00	3.430765e+05	3.430765e+05	3.430765e+05
-3.400000e+00	-3.000000e+00	6.861530e+05	4.851835e+05	4.851835e+05
-3.000000e+00	-2.600000e+00	6.861530e+05	4.851835e+05	4.851835e+05
-2.600000e+00	-2.200000e+00	6.861530e+05	4.851835e+05	4.851835e+05
-2.200000e+00	-1.800000e+00	3.430765e+05	3.430765e+05	3.430765e+05
-1.800000e+00	-1.400000e+00	1.372306e+06	6.861530e+05	6.861530e+05
-1.400000e+00	-1.000000e+00	6.861530e+05	4.851835e+05	4.851835e+05
-1.000000e+00	-6.000000e-01	1.372306e+06	6.861530e+05	6.861530e+05
-6.000000e-01	-2.000000e-01	1.029230e+06	5.942259e+05	5.942259e+05
-2.000000e-01	2.000000e-01	1.372306e+06	6.861530e+05	6.861530e+05
2.000000e-01	6.000000e-01	1.029230e+06	5.942259e+05	5.942259e+05
6.000000e-01	1.000000e+00	6.861530e+05	4.851835e+05	4.851835e+05
1.000000e+00	1.400000e+00	1.372306e+06	6.861530e+05	6.861530e+05
1.400000e+00	1.800000e+00	2.401535e+06	9.076952e+05	9.076952e+05
1.800000e+00	2.200000e+00	3.430765e+05	3.430765e+05	3.430765e+05
2.200000e+00	2.600000e+00	3.430765e+05	3.430765e+05	3.430765e+05
2.600000e+00	3.000000e+00	3.430765e+05	3.430765e+05	3.430765e+05
3.000000e+00	3.400000e+00	6.861530e+05	4.851835e+05	4.851835e+05
3.400000e+00	3.800000e+00	6.861530e+05	4.851835e+05	4.851835e+05
3.800000e+00	4.200000e+00	3.430765e+05	3.430765e+05	3.430765e+05
4.200000e+00	4.600000e+00	3.430765e+05	3.430765e+05	3.430765e+05
4.600000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

