# BEGIN PLOT
LegendOnly=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_y_pmratio_1
DrawOnly=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_y_pmratio_1
Title=Rapidity $+/-$ ratio of first jet
LogY=1
XLabel=$|y(\mathrm{jet~1}|$
YLabel=$y(\mathrm{jet~1})_+/y(\mathrm{jet~1})_-$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_y_pmratio_1
ErrorBreakdown={0: {"": {up: 0.107935508865591, dn: 0.107935508865591}}, 1: {"": {up: 0.1000029209314822, dn: 0.1000029209314822}}, 2: {"": {up: 0.1545414387504374, dn: 0.1545414387504374}}, 3: {"": {up: 0.1304791145652227, dn: 0.1304791145652227}}, 4: {"": {up: 0.1445957042441913, dn: 0.1445957042441913}}, 5: {"": {up: 0.1242189149776371, dn: 0.1242189149776371}}, 6: {"": {up: 0.1118391707377424, dn: 0.1118391707377424}}, 7: {"": {up: 0.1277970229856206, dn: 0.1277970229856206}}, 8: {"": {up: 0.1569985057229584, dn: 0.1569985057229584}}, 9: {"": {up: 0.1536961384337346, dn: 0.1536961384337346}}, 10: {"": {up: 0.1719936561959478, dn: 0.1719936561959478}}, 11: {"": {up: 0.1430234924196785, dn: 0.1430234924196785}}, 12: {"": {up: 0.1439492547998363, dn: 0.1439492547998363}}, 13: {"": {up: 0.1648676569472322, dn: 0.1648676569472322}}, 14: {"": {up: 0.1571348402636772, dn: 0.1571348402636772}}, 15: {"": {up: 0.1822591116763781, dn: 0.1822591116763781}}, 16: {"": {up: 0.1381180746186355, dn: 0.1381180746186355}}, 17: {"": {up: 0.1397206709446129, dn: 0.1397206709446129}}, 18: {"": {up: 0.2282375420010995, dn: 0.2282375420010995}}, 19: {"": {up: 0.2681978967571013, dn: 0.2681978967571013}}, 20: {"": {up: 0.345010774327893, dn: 0.345010774327893}}, 21: {"": {up: 0.1459880132065643, dn: 0.1459880132065643}}, 22: {"": {up: 0.2530940086810952, dn: 0.2530940086810952}}, 23: {"": {up: 0.328062494046485, dn: 0.328062494046485}}, 24: {"": {up: 0.2067148502195167, dn: 0.2067148502195167}}}
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_y_pmratio_1
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	9.133333e-01	1.079355e-01	1.079355e-01
2.000000e-01	4.000000e-01	8.711656e-01	1.000029e-01	1.000029e-01
4.000000e-01	6.000000e-01	1.278689e+00	1.545414e-01	1.545414e-01
6.000000e-01	8.000000e-01	1.047619e+00	1.304791e-01	1.304791e-01
8.000000e-01	1.000000e+00	1.122807e+00	1.445957e-01	1.445957e-01
1.000000e+00	1.200000e+00	1.022388e+00	1.242189e-01	1.242189e-01
1.200000e+00	1.400000e+00	8.787879e-01	1.118392e-01	1.118392e-01
1.400000e+00	1.600000e+00	1.045802e+00	1.277970e-01	1.277970e-01
1.600000e+00	1.800000e+00	1.132653e+00	1.569985e-01	1.569985e-01
1.800000e+00	2.000000e+00	1.152381e+00	1.536961e-01	1.536961e-01
2.000000e+00	2.200000e+00	1.208791e+00	1.719937e-01	1.719937e-01
2.200000e+00	2.400000e+00	9.318182e-01	1.430235e-01	1.430235e-01
2.400000e+00	2.600000e+00	9.894737e-01	1.439493e-01	1.439493e-01
2.600000e+00	2.800000e+00	1.133333e+00	1.648677e-01	1.648677e-01
2.800000e+00	3.000000e+00	1.000000e+00	1.571348e-01	1.571348e-01
3.000000e+00	3.200000e+00	1.031250e+00	1.822591e-01	1.822591e-01
3.200000e+00	3.400000e+00	8.735632e-01	1.381181e-01	1.381181e-01
3.400000e+00	3.600000e+00	7.714286e-01	1.397207e-01	1.397207e-01
3.600000e+00	3.800000e+00	1.145833e+00	2.282375e-01	2.282375e-01
3.800000e+00	4.000000e+00	1.382979e+00	2.681979e-01	2.681979e-01
4.000000e+00	4.200000e+00	1.392857e+00	3.450108e-01	3.450108e-01
4.200000e+00	4.400000e+00	5.500000e-01	1.459880e-01	1.459880e-01
4.400000e+00	4.600000e+00	9.310345e-01	2.530940e-01	2.530940e-01
4.600000e+00	4.800000e+00	1.050000e+00	3.280625e-01	3.280625e-01
4.800000e+00	5.000000e+00	5.909091e-01	2.067149e-01	2.067149e-01
# END HISTO1D

