# BEGIN PLOT
LegendOnly=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_y_pmratio_2
DrawOnly=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_y_pmratio_2
Title=Rapidity $+/-$ ratio of second jet
LogY=1
XLabel=$|y(\mathrm{jet~2}|$
YLabel=$y(\mathrm{jet~2})_+/y(\mathrm{jet~2})_-$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_y_pmratio_2
ErrorBreakdown={0: {"": {up: 0.2369625405608522, dn: 0.2369625405608522}}, 1: {"": {up: 0.2025231468252456, dn: 0.2025231468252456}}, 2: {"": {up: 0.1686352919463029, dn: 0.1686352919463029}}, 3: {"": {up: 0.2481238286551684, dn: 0.2481238286551684}}, 4: {"": {up: 0.1921953056509033, dn: 0.1921953056509033}}, 5: {"": {up: 0.372379734500505, dn: 0.372379734500505}}, 6: {"": {up: 0.230805753556635, dn: 0.230805753556635}}, 7: {"": {up: 0.2104083575448897, dn: 0.2104083575448897}}, 8: {"": {up: 0.1747705855845711, dn: 0.1747705855845711}}, 9: {"": {up: 0.269395065394235, dn: 0.269395065394235}}, 10: {"": {up: 0.2896381853350807, dn: 0.2896381853350807}}, 11: {"": {up: 0.2210203380300527, dn: 0.2210203380300527}}, 12: {"": {up: 0.2104962798499943, dn: 0.2104962798499943}}, 13: {"": {up: 0.3305683835672004, dn: 0.3305683835672004}}, 14: {"": {up: 0.304343555870664, dn: 0.304343555870664}}, 15: {"": {up: 0.4428985460407925, dn: 0.4428985460407925}}, 16: {"": {up: 0.2264647127693299, dn: 0.2264647127693299}}, 17: {"": {up: 0.4917392089547548, dn: 0.4917392089547548}}, 18: {"": {up: 0.2804014978561991, dn: 0.2804014978561991}}, 19: {"": {up: 0.3568120160740313, dn: 0.3568120160740313}}, 20: {"": {up: 0.2972155193286147, dn: 0.2972155193286147}}, 21: {"": {up: 0.3794733192202056, dn: 0.3794733192202056}}, 22: {"": {up: 1.414213562373095, dn: 1.414213562373095}}, 23: {"": {up: 0.6324555320336759, dn: 0.6324555320336759}}, 24: {"": {up: nan, dn: nan}}}
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_y_pmratio_2
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.097561e+00	2.369625e-01	2.369625e-01
2.000000e-01	4.000000e-01	8.750000e-01	2.025231e-01	2.025231e-01
4.000000e-01	6.000000e-01	7.708333e-01	1.686353e-01	1.686353e-01
6.000000e-01	8.000000e-01	1.128205e+00	2.481238e-01	2.481238e-01
8.000000e-01	1.000000e+00	9.607843e-01	1.921953e-01	1.921953e-01
1.000000e+00	1.200000e+00	1.600000e+00	3.723797e-01	3.723797e-01
1.200000e+00	1.400000e+00	1.025641e+00	2.308058e-01	2.308058e-01
1.400000e+00	1.600000e+00	9.523810e-01	2.104084e-01	2.104084e-01
1.600000e+00	1.800000e+00	7.380952e-01	1.747706e-01	1.747706e-01
1.800000e+00	2.000000e+00	1.034483e+00	2.693951e-01	2.693951e-01
2.000000e+00	2.200000e+00	1.137931e+00	2.896382e-01	2.896382e-01
2.200000e+00	2.400000e+00	8.823529e-01	2.210203e-01	2.210203e-01
2.400000e+00	2.600000e+00	7.741935e-01	2.104963e-01	2.104963e-01
2.600000e+00	2.800000e+00	1.095238e+00	3.305684e-01	3.305684e-01
2.800000e+00	3.000000e+00	9.500000e-01	3.043436e-01	3.043436e-01
3.000000e+00	3.200000e+00	1.444444e+00	4.428985e-01	4.428985e-01
3.200000e+00	3.400000e+00	6.956522e-01	2.264647e-01	2.264647e-01
3.400000e+00	3.600000e+00	1.588235e+00	4.917392e-01	4.917392e-01
3.600000e+00	3.800000e+00	8.500000e-01	2.804015e-01	2.804015e-01
3.800000e+00	4.000000e+00	8.333333e-01	3.568120e-01	3.568120e-01
4.000000e+00	4.200000e+00	8.235294e-01	2.972155e-01	2.972155e-01
4.200000e+00	4.400000e+00	8.000000e-01	3.794733e-01	3.794733e-01
4.400000e+00	4.600000e+00	2.000000e+00	1.414214e+00	1.414214e+00
4.600000e+00	4.800000e+00	1.000000e+00	6.324555e-01	6.324555e-01
4.800000e+00	5.000000e+00	nan	nan	nan
# END HISTO1D

