# BEGIN PLOT
LegendOnly=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_y_pmratio_3
DrawOnly=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_y_pmratio_3
Title=Rapidity $+/-$ ratio of third jet
LogY=1
XLabel=$|y(\mathrm{jet~3}|$
YLabel=$y(\mathrm{jet~3})_+/y(\mathrm{jet~3})_-$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_y_pmratio_3
ErrorBreakdown={0: {"": {up: 0.3033826224835562, dn: 0.3033826224835562}}, 1: {"": {up: 0.2532586458365482, dn: 0.2532586458365482}}, 2: {"": {up: 0.3165733072956852, dn: 0.3165733072956852}}, 3: {"": {up: 0.3449637662132069, dn: 0.3449637662132069}}, 4: {"": {up: 0.7040076861494017, dn: 0.7040076861494017}}, 5: {"": {up: 0.2123178938622335, dn: 0.2123178938622335}}, 6: {"": {up: 0.3098386676965933, dn: 0.3098386676965933}}, 7: {"": {up: 0.4330127018922194, dn: 0.4330127018922194}}, 8: {"": {up: 0.8606629658238704, dn: 0.8606629658238704}}, 9: {"": {up: 1.610152971798827, dn: 1.610152971798827}}, 10: {"": {up: 3.464101615137754, dn: 3.464101615137754}}, 11: {"": {up: 0.4303314829119352, dn: 0.4303314829119352}}, 12: {"": {up: nan, dn: nan}}, 13: {"": {up: 1, dn: 1}}, 14: {"": {up: 0.3849001794597505, dn: 0.3849001794597505}}}
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_y_pmratio_3
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.333334e-01	8.125000e-01	3.033826e-01	3.033826e-01
3.333333e-01	6.666667e-01	5.714286e-01	2.532586e-01	2.532586e-01
6.666666e-01	1.000000e+00	7.857143e-01	3.165733e-01	3.165733e-01
1.000000e+00	1.333334e+00	7.000000e-01	3.449638e-01	3.449638e-01
1.333333e+00	1.666667e+00	1.428571e+00	7.040077e-01	7.040077e-01
1.666666e+00	2.000000e+00	3.636364e-01	2.123179e-01	2.123179e-01
2.000000e+00	2.333334e+00	6.000000e-01	3.098387e-01	3.098387e-01
2.333333e+00	2.666667e+00	5.000000e-01	4.330127e-01	4.330127e-01
2.666666e+00	3.000000e+00	1.666667e+00	8.606630e-01	8.606630e-01
3.000000e+00	3.333334e+00	2.333333e+00	1.610153e+00	1.610153e+00
3.333333e+00	3.666667e+00	3.000000e+00	3.464102e+00	3.464102e+00
3.666666e+00	4.000000e+00	6.666667e-01	4.303315e-01	4.303315e-01
4.000000e+00	4.333334e+00	nan	nan	nan
4.333333e+00	4.666667e+00	1.000000e+00	1.000000e+00	1.000000e+00
4.666666e+00	5.000000e+00	3.333333e-01	3.849002e-01	3.849002e-01
# END HISTO1D

