# BEGIN PLOT
LegendXPos=0.30
XLabel=$\Delta\eta(\mathrm{jet~1,~jet~2})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\eta(\mathrm{jet~1,~jet~2})$ [pb]
DrawOnly=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jets_deta_12
Title=Pseudorapidity separation between jets
LegendYPos=0.5
Legend=1
LegendOnly=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jets_deta_12
LogY=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jets_deta_12
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jets_deta_12
ScaledBy=2.00000000070667569e-05
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	3.430765e+06	1.084903e+06	1.084903e+06
-4.600000e+00	-4.200000e+00	8.919990e+06	1.749354e+06	1.749354e+06
-4.200000e+00	-3.800000e+00	1.200768e+07	2.029668e+06	2.029668e+06
-3.800000e+00	-3.400000e+00	1.029230e+07	1.879107e+06	1.879107e+06
-3.400000e+00	-3.000000e+00	1.646767e+07	2.376904e+06	2.376904e+06
-3.000000e+00	-2.600000e+00	1.578152e+07	2.326858e+06	2.326858e+06
-2.600000e+00	-2.200000e+00	1.955536e+07	2.590171e+06	2.590171e+06
-2.200000e+00	-1.800000e+00	2.195689e+07	2.744612e+06	2.744612e+06
-1.800000e+00	-1.400000e+00	2.264305e+07	2.787167e+06	2.787167e+06
-1.400000e+00	-1.000000e+00	2.367228e+07	2.849807e+06	2.849807e+06
-1.000000e+00	-6.000000e-01	2.435843e+07	2.890814e+06	2.890814e+06
-6.000000e-01	-2.000000e-01	2.367228e+07	2.849807e+06	2.849807e+06
-2.000000e-01	2.000000e-01	2.675998e+07	3.029970e+06	3.029970e+06
2.000000e-01	6.000000e-01	2.161382e+07	2.723085e+06	2.723085e+06
6.000000e-01	1.000000e+00	2.367228e+07	2.849807e+06	2.849807e+06
1.000000e+00	1.400000e+00	2.367228e+07	2.849807e+06	2.849807e+06
1.400000e+00	1.800000e+00	2.641690e+07	3.010484e+06	3.010484e+06
1.800000e+00	2.200000e+00	2.778920e+07	3.087688e+06	3.087688e+06
2.200000e+00	2.600000e+00	2.161382e+07	2.723085e+06	2.723085e+06
2.600000e+00	3.000000e+00	1.818306e+07	2.497635e+06	2.497635e+06
3.000000e+00	3.400000e+00	1.132153e+07	1.970824e+06	1.970824e+06
3.400000e+00	3.800000e+00	1.097845e+07	1.940734e+06	1.940734e+06
3.800000e+00	4.200000e+00	1.200768e+07	2.029668e+06	2.029668e+06
4.200000e+00	4.600000e+00	4.459995e+06	1.236980e+06	1.236980e+06
4.600000e+00	5.000000e+00	3.773842e+06	1.137856e+06	1.137856e+06
# END HISTO1D

