# BEGIN PLOT
LegendXPos=0.1
XLabel=$\Delta\phi(\mathrm{jet~2,~jet~3})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\phi(\mathrm{jet~2,~jet~3})$ [pb]
DrawOnly=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jets_dphi_23
Title=Azimuthal separation between jets
Legend=1
LegendOnly=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jets_dphi_23
LogY=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jets_dphi_23
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jets_dphi_23
ScaledBy=2.00000000070667569e-05
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.256637e-01	3.276139e+06	1.891480e+06	1.891480e+06
1.256637e-01	2.513274e-01	9.828415e+06	3.276139e+06	3.276139e+06
2.513274e-01	3.769911e-01	1.092046e+07	3.453354e+06	3.453354e+06
3.769911e-01	5.026548e-01	1.201251e+07	3.621908e+06	3.621908e+06
5.026548e-01	6.283185e-01	1.201251e+07	3.621908e+06	3.621908e+06
6.283185e-01	7.539822e-01	7.644325e+06	2.889284e+06	2.889284e+06
7.539822e-01	8.796459e-01	8.736373e+06	3.088774e+06	3.088774e+06
8.796459e-01	1.005310e+00	1.638064e+07	4.229465e+06	4.229465e+06
1.005310e+00	1.130973e+00	8.736422e+06	3.088791e+06	3.088791e+06
1.130973e+00	1.256637e+00	8.736352e+06	3.088766e+06	3.088766e+06
1.256637e+00	1.382301e+00	9.828392e+06	3.276131e+06	3.276131e+06
1.382301e+00	1.507964e+00	6.552315e+06	2.674971e+06	2.674971e+06
1.507964e+00	1.633628e+00	1.201249e+07	3.621900e+06	3.621900e+06
1.633628e+00	1.759292e+00	5.460219e+06	2.441884e+06	2.441884e+06
1.759292e+00	1.884956e+00	6.552263e+06	2.674950e+06	2.674950e+06
1.884956e+00	2.010619e+00	1.528873e+07	4.086086e+06	4.086086e+06
2.010619e+00	2.136283e+00	6.552263e+06	2.674950e+06	2.674950e+06
2.136283e+00	2.261947e+00	1.310452e+07	3.782951e+06	3.782951e+06
2.261947e+00	2.387610e+00	1.092053e+07	3.453374e+06	3.453374e+06
2.387610e+00	2.513274e+00	6.552263e+06	2.674950e+06	2.674950e+06
2.513274e+00	2.638938e+00	4.368175e+06	2.184088e+06	2.184088e+06
2.638938e+00	2.764602e+00	7.644307e+06	2.889277e+06	2.889277e+06
2.764602e+00	2.890265e+00	3.276158e+06	1.891490e+06	1.891490e+06
2.890265e+00	3.015929e+00	6.552263e+06	2.674950e+06	2.674950e+06
3.015929e+00	3.141593e+00	4.368175e+06	2.184088e+06	2.184088e+06
# END HISTO1D

