# BEGIN PLOT
LegendOnly=/ATLAS_2018_I1634970/d06-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2018_I1634970/d06-x01-y01
DrawOnly=/ATLAS_2018_I1634970/d06-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2018_I1634970/d06-x01-y01
Title=Inclusive jet cross section ($2.5 \leq |y| < 3.0$), $R = 0.4$
RatioPlotReference=/ATLAS_2018_I1634970/d06-x01-y01
RatioPlot=1
LogX=1
LogY=1
XLabel=$p_\mathrm{T}$ [GeV]
YLabel=$\mathrm{d}^2\sigma / \mathrm{d}p_\mathrm{T}\mathrm{d}y$ [pb/GeV]
YMin=0.000001
Legend=1
# END PLOT

# BEGIN HISTO1D /ATLAS_2018_I1634970/d06-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2018_I1634970/d06-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+02	1.160000e+02	4.884900e+03	4.332748e+02	4.401910e+02
1.160000e+02	1.340000e+02	2.188840e+03	1.897946e+02	1.875514e+02
1.340000e+02	1.520000e+02	1.021720e+03	8.376690e+01	8.147380e+01
1.520000e+02	1.720000e+02	4.960200e+02	4.035632e+01	3.845054e+01
1.720000e+02	1.940000e+02	2.456950e+02	2.096952e+01	1.986107e+01
1.940000e+02	2.160000e+02	1.201740e+02	1.035476e+01	9.972117e+00
2.160000e+02	2.400000e+02	5.958000e+01	4.985394e+00	4.977111e+00
2.400000e+02	2.640000e+02	2.974000e+01	2.423966e+00	2.519692e+00
2.640000e+02	2.900000e+02	1.485800e+01	1.239508e+00	1.283176e+00
2.900000e+02	3.180000e+02	7.262000e+00	6.421530e-01	6.292338e-01
3.180000e+02	3.460000e+02	3.495000e+00	3.267120e-01	3.051883e-01
3.460000e+02	3.760000e+02	1.693300e+00	1.695755e-01	1.598181e-01
3.760000e+02	4.080000e+02	8.194000e-01	8.728234e-02	8.589193e-02
4.080000e+02	4.420000e+02	3.749000e-01	4.150713e-02	4.186761e-02
4.420000e+02	4.780000e+02	1.573000e-01	1.794176e-02	1.756621e-02
4.780000e+02	5.160000e+02	6.508000e-02	8.667539e-03	7.709715e-03
5.160000e+02	5.560000e+02	2.459000e-02	4.276111e-03	3.392264e-03
5.560000e+02	5.980000e+02	7.960000e-03	1.778216e-03	1.327381e-03
5.980000e+02	6.420000e+02	2.586000e-03	6.650609e-04	4.893992e-04
6.420000e+02	6.880000e+02	7.740000e-04	2.149009e-04	1.614832e-04
6.880000e+02	7.360000e+02	2.449000e-04	7.680495e-05	6.097397e-05
7.360000e+02	8.940000e+02	2.650000e-05	1.390388e-05	1.194569e-05
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2018_I1634970/d06-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2018_I1634970/d06-x01-y01
ScaledBy=1.43580032793284487e+06
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+02	1.160000e+02	5.826745e+03	2.956491e+02	2.956491e+02
1.160000e+02	1.340000e+02	2.575528e+03	1.354553e+02	1.354553e+02
1.340000e+02	1.520000e+02	1.136407e+03	6.251817e+01	6.251817e+01
1.520000e+02	1.720000e+02	5.970875e+02	3.730768e+01	3.730768e+01
1.720000e+02	1.940000e+02	2.661395e+02	1.648146e+01	1.648146e+01
1.940000e+02	2.160000e+02	1.279170e+02	1.092329e+01	1.092329e+01
2.160000e+02	2.400000e+02	6.155013e+01	5.145849e+00	5.145849e+00
2.400000e+02	2.640000e+02	3.159840e+01	3.074379e+00	3.074379e+00
2.640000e+02	2.900000e+02	1.751078e+01	1.782868e+00	1.782868e+00
2.900000e+02	3.180000e+02	8.640189e+00	8.809100e-01	8.809100e-01
3.180000e+02	3.460000e+02	3.425507e+00	4.085969e-01	4.085969e-01
3.460000e+02	3.760000e+02	1.893880e+00	2.774410e-01	2.774410e-01
3.760000e+02	4.080000e+02	9.039759e-01	1.407240e-01	1.407240e-01
4.080000e+02	4.420000e+02	4.662332e-01	8.387037e-02	8.387037e-02
4.420000e+02	4.780000e+02	3.050411e-01	6.295201e-02	6.295201e-02
4.780000e+02	5.160000e+02	4.911600e-02	1.842793e-02	1.842793e-02
5.160000e+02	5.560000e+02	1.792422e-02	9.004957e-03	9.004957e-03
5.560000e+02	5.980000e+02	1.452393e-02	7.317994e-03	7.317994e-03
5.980000e+02	6.420000e+02	2.007568e-03	2.007568e-03	2.007568e-03
6.420000e+02	6.880000e+02	1.699185e-03	1.699185e-03	1.699185e-03
6.880000e+02	7.360000e+02	1.163425e-03	1.163425e-03	1.163425e-03
7.360000e+02	8.940000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

