# BEGIN PLOT
LegendOnly=/ATLAS_2018_I1634970/d08-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2018_I1634970/d08-x01-y01
DrawOnly=/ATLAS_2018_I1634970/d08-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2018_I1634970/d08-x01-y01
Title=Dijet cross section ($0.5 \leq y^\ast < 1.0$), R=0.4
RatioPlotReference=/ATLAS_2018_I1634970/d08-x01-y01
RatioPlot=1
LogX=1
LogY=1
XLabel=$m_{12} [GeV]$
YLabel=$d^2\sigma/dm_{jj}dy^\ast$ [pb/GeV]
YMin=0.000001
Legend=1
# END PLOT

# BEGIN HISTO1D /ATLAS_2018_I1634970/d08-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2018_I1634970/d08-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
3.100000e+02	3.700000e+02	2.005030e+03	1.263715e+02	1.231802e+02
3.700000e+02	4.400000e+02	8.511200e+02	4.959143e+01	4.808514e+01
4.400000e+02	5.100000e+02	3.753950e+02	2.089307e+01	2.100934e+01
5.100000e+02	5.900000e+02	1.751600e+02	9.208919e+00	9.424935e+00
5.900000e+02	6.700000e+02	8.407000e+01	4.299383e+00	4.500780e+00
6.700000e+02	7.600000e+02	4.168800e+01	2.025592e+00	2.165747e+00
7.600000e+02	8.500000e+02	2.140000e+01	1.050245e+00	1.109072e+00
8.500000e+02	9.500000e+02	1.131300e+01	5.950361e-01	5.948892e-01
9.500000e+02	1.060000e+03	5.960000e+00	3.282048e-01	3.155207e-01
1.060000e+03	1.180000e+03	3.163200e+00	1.761536e-01	1.703321e-01
1.180000e+03	1.310000e+03	1.651700e+00	9.296137e-02	9.212397e-02
1.310000e+03	1.450000e+03	8.946000e-01	5.232760e-02	5.185376e-02
1.450000e+03	1.600000e+03	4.719200e-01	2.914346e-02	2.914915e-02
1.600000e+03	1.760000e+03	2.533200e-01	1.613775e-02	1.667091e-02
1.760000e+03	1.940000e+03	1.350100e-01	8.756726e-03	9.200287e-03
1.940000e+03	2.120000e+03	7.217000e-02	4.916011e-03	5.043021e-03
2.120000e+03	2.330000e+03	3.845000e-02	2.849962e-03	2.791659e-03
2.330000e+03	2.550000e+03	1.985100e-02	1.583867e-03	1.533102e-03
2.550000e+03	2.780000e+03	1.067800e-02	9.011181e-04	8.829020e-04
2.780000e+03	3.040000e+03	5.415000e-03	4.895018e-04	4.731755e-04
3.040000e+03	3.310000e+03	2.684000e-03	2.667819e-04	2.542373e-04
3.310000e+03	3.610000e+03	1.445000e-03	1.586066e-04	1.524701e-04
3.610000e+03	3.930000e+03	6.830000e-04	8.660665e-05	8.372687e-05
3.930000e+03	4.270000e+03	3.344000e-04	5.026787e-05	4.833820e-05
4.270000e+03	4.640000e+03	1.351000e-04	2.524386e-05	2.428622e-05
4.640000e+03	5.040000e+03	7.230000e-05	1.604912e-05	1.546125e-05
5.040000e+03	5.470000e+03	2.240000e-05	7.098918e-06	6.940118e-06
5.470000e+03	7.630000e+03	3.630000e-06	1.399548e-06	1.366487e-06
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2018_I1634970/d08-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2018_I1634970/d08-x01-y01
ScaledBy=2.87160065586568974e+06
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
3.100000e+02	3.700000e+02	2.292803e+03	7.550412e+01	7.550412e+01
3.700000e+02	4.400000e+02	9.058564e+02	2.995115e+01	2.995115e+01
4.400000e+02	5.100000e+02	3.902087e+02	1.469186e+01	1.469186e+01
5.100000e+02	5.900000e+02	1.855340e+02	6.975853e+00	6.975853e+00
5.900000e+02	6.700000e+02	8.371683e+01	3.372082e+00	3.372082e+00
6.700000e+02	7.600000e+02	4.254313e+01	1.753573e+00	1.753573e+00
7.600000e+02	8.500000e+02	2.266706e+01	1.040388e+00	1.040388e+00
8.500000e+02	9.500000e+02	1.073802e+01	5.151683e-01	5.151683e-01
9.500000e+02	1.060000e+03	6.213769e+00	3.075023e-01	3.075023e-01
1.060000e+03	1.180000e+03	2.916278e+00	1.566279e-01	1.566279e-01
1.180000e+03	1.310000e+03	1.486153e+00	9.173541e-02	9.173541e-02
1.310000e+03	1.450000e+03	8.643350e-01	5.290674e-02	5.290674e-02
1.450000e+03	1.600000e+03	4.898802e-01	3.193798e-02	3.193798e-02
1.600000e+03	1.760000e+03	2.746393e-01	2.103424e-02	2.103424e-02
1.760000e+03	1.940000e+03	1.431248e-01	1.063437e-02	1.063437e-02
1.940000e+03	2.120000e+03	7.333878e-02	6.370963e-03	6.370963e-03
2.120000e+03	2.330000e+03	3.880538e-02	3.450123e-03	3.450123e-03
2.330000e+03	2.550000e+03	2.021358e-02	2.102293e-03	2.102293e-03
2.550000e+03	2.780000e+03	8.713857e-03	1.053304e-03	1.053304e-03
2.780000e+03	3.040000e+03	5.450019e-03	6.625232e-04	6.625232e-04
3.040000e+03	3.310000e+03	2.790341e-03	3.987871e-04	3.987871e-04
3.310000e+03	3.610000e+03	1.026073e-03	1.974593e-04	1.974593e-04
3.610000e+03	3.930000e+03	5.778947e-04	1.242530e-04	1.242530e-04
3.930000e+03	4.270000e+03	1.682393e-04	4.942251e-05	4.942251e-05
4.270000e+03	4.640000e+03	1.457282e-04	3.973786e-05	3.973786e-05
4.640000e+03	5.040000e+03	7.405297e-05	2.393154e-05	2.393154e-05
5.040000e+03	5.470000e+03	2.197493e-05	9.422328e-06	9.422328e-06
5.470000e+03	7.630000e+03	5.304759e-06	1.816443e-06	1.816443e-06
# END HISTO1D

