# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=Dijet selection, soft-dropped
RatioPlotReference=/ATLAS_2019_I1724098/d27-x01-y01
RatioPlot=1
LogY=1
LegendOnly=/ATLAS_2019_I1724098/d27-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1724098/d27-x01-y01
XLabel=ECF2$^\mathrm{norm}$
LegendAlign=r
YLabel=$\dfrac{1}{\sigma} \; \dfrac{\mathrm{d}\sigma}{\mathrm{d~ECF2}^\mathrm{norm}}$
DrawOnly=/ATLAS_2019_I1724098/d27-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1724098/d27-x01-y01
Legend=1
LeftMargin=2.0
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1724098/d27-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1724098/d27-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.100000e-02	1.697742e+01	2.163256e+00	2.245711e+00
2.100000e-02	4.200000e-02	9.093898e+00	1.387476e+00	1.073602e+00
4.200000e-02	6.300000e-02	5.573666e+00	5.546900e-01	5.215518e-01
6.300000e-02	8.400000e-02	4.107136e+00	2.595660e-01	3.136064e-01
8.400000e-02	1.050000e-01	3.045779e+00	1.337634e-01	2.799783e-01
1.050000e-01	1.260000e-01	2.296981e+00	8.082197e-02	2.594588e-01
1.260000e-01	1.470000e-01	1.767020e+00	5.909006e-02	2.117507e-01
1.470000e-01	1.680000e-01	1.387508e+00	4.826584e-02	1.911821e-01
1.680000e-01	1.890000e-01	1.059199e+00	3.565090e-02	1.574997e-01
1.890000e-01	2.100000e-01	8.091543e-01	3.016931e-02	9.737633e-02
2.100000e-01	2.310000e-01	6.031577e-01	2.660846e-02	1.051118e-01
2.310000e-01	2.590000e-01	4.125951e-01	2.194556e-02	8.316844e-02
2.590000e-01	2.940000e-01	1.634826e-01	9.931355e-03	4.960171e-02
2.940000e-01	3.500000e-01	2.832363e-02	1.780594e-03	8.391786e-03
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1724098/d27-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1724098/d27-x01-y01
ScaledBy=1.35934575793130921e+03
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.100000e-02	1.768305e+01	5.728399e-01	5.728399e-01
2.100000e-02	4.200000e-02	9.137138e+00	4.133257e-01	4.133257e-01
4.200000e-02	6.300000e-02	5.484329e+00	3.311142e-01	3.311142e-01
6.300000e-02	8.400000e-02	3.840526e+00	2.932459e-01	2.932459e-01
8.400000e-02	1.050000e-01	3.576844e+00	3.023472e-01	3.023472e-01
1.050000e-01	1.260000e-01	1.832839e+00	1.614607e-01	1.614607e-01
1.260000e-01	1.470000e-01	1.572256e+00	1.708783e-01	1.708783e-01
1.470000e-01	1.680000e-01	1.183723e+00	1.857280e-01	1.857280e-01
1.680000e-01	1.890000e-01	8.066176e-01	1.187101e-01	1.187101e-01
1.890000e-01	2.100000e-01	8.210457e-01	1.701191e-01	1.701191e-01
2.100000e-01	2.310000e-01	6.847781e-01	1.532132e-01	1.532132e-01
2.310000e-01	2.590000e-01	4.542304e-01	1.198671e-01	1.198671e-01
2.590000e-01	2.940000e-01	2.065846e-01	8.341960e-02	8.341960e-02
2.940000e-01	3.500000e-01	1.723397e-02	9.802165e-03	9.802165e-03
# END HISTO1D

