# BEGIN PLOT
LegendOnly=/ATLAS_2019_I1740909/d02-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d02-x01-y01
XLabel=$p_{\textrm{T}}^{\textrm{jet}}$ [GeV]
RatioPlotReference=/ATLAS_2019_I1740909/d02-x01-y01
YLabel=$<N_{\textrm{ch}}>$
DrawOnly=/ATLAS_2019_I1740909/d02-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d02-x01-y01
RatioPlot=1
Title=Central jets
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1740909/d02-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1740909/d02-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+02	2.000000e+02	1.066370e+01	3.443982e-01	3.401895e-01
2.000000e+02	3.000000e+02	1.351800e+01	3.016377e-01	3.000891e-01
3.000000e+02	4.000000e+02	1.527180e+01	2.487544e-01	2.487475e-01
4.000000e+02	5.000000e+02	1.656740e+01	2.447770e-01	2.445690e-01
5.000000e+02	6.000000e+02	1.756560e+01	2.595834e-01	2.590969e-01
6.000000e+02	7.000000e+02	1.834200e+01	2.718793e-01	2.716170e-01
7.000000e+02	8.000000e+02	1.900160e+01	2.772288e-01	2.772578e-01
8.000000e+02	9.000000e+02	1.953450e+01	2.727819e-01	2.727959e-01
9.000000e+02	1.000000e+03	2.000150e+01	2.648636e-01	2.647051e-01
1.000000e+03	1.200000e+03	2.051620e+01	2.642504e-01	2.641410e-01
1.200000e+03	1.400000e+03	2.106460e+01	2.689269e-01	2.690411e-01
1.400000e+03	1.600000e+03	2.162660e+01	2.694464e-01	2.694237e-01
1.600000e+03	2.000000e+03	2.207100e+01	2.899827e-01	2.897586e-01
2.000000e+03	2.500000e+03	2.276830e+01	4.521390e-01	4.513255e-01
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d02-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d02-x01-y01
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+02	2.000000e+02	1.123296e+01	6.582641e-02	6.582641e-02
2.000000e+02	3.000000e+02	1.380035e+01	9.912449e-02	9.912449e-02
3.000000e+02	4.000000e+02	1.568496e+01	1.351903e-01	1.351903e-01
4.000000e+02	5.000000e+02	1.701907e+01	1.801789e-01	1.801789e-01
5.000000e+02	6.000000e+02	1.807189e+01	2.367849e-01	2.367849e-01
6.000000e+02	7.000000e+02	1.904343e+01	2.928170e-01	2.928170e-01
7.000000e+02	8.000000e+02	1.998102e+01	3.681911e-01	3.681911e-01
8.000000e+02	9.000000e+02	2.005716e+01	4.281445e-01	4.281445e-01
9.000000e+02	1.000000e+03	2.087354e+01	5.068627e-01	5.068627e-01
1.000000e+03	1.200000e+03	2.144520e+01	5.374837e-01	5.374837e-01
1.200000e+03	1.400000e+03	2.191102e+01	7.650741e-01	7.650741e-01
1.400000e+03	1.600000e+03	2.348501e+01	1.307541e+00	1.307541e+00
1.600000e+03	2.000000e+03	2.170021e+01	1.045499e+00	1.045499e+00
2.000000e+03	2.500000e+03	2.012662e+01	1.363705e+00	1.363705e+00
# END HISTO1D

