# BEGIN PLOT
LegendOnly=/ATLAS_2019_I1740909/d09-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d09-x01-y01
XLabel=$p_{\textrm{T}}^{\textrm{jet}}$ [GeV]
RatioPlotReference=/ATLAS_2019_I1740909/d09-x01-y01
YLabel=$<N_{\textrm{ch}}>$
DrawOnly=/ATLAS_2019_I1740909/d09-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d09-x01-y01
RatioPlot=1
Title=Inclusive jets
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1740909/d09-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1740909/d09-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+02	2.000000e+02	1.062900e+01	4.015187e-01	3.979938e-01
2.000000e+02	3.000000e+02	1.340900e+01	3.622140e-01	3.606426e-01
3.000000e+02	4.000000e+02	1.502570e+01	3.065040e-01	3.063210e-01
4.000000e+02	5.000000e+02	1.622030e+01	2.940652e-01	2.941623e-01
5.000000e+02	6.000000e+02	1.711590e+01	3.091475e-01	3.091966e-01
6.000000e+02	7.000000e+02	1.784630e+01	3.374789e-01	3.374557e-01
7.000000e+02	8.000000e+02	1.848830e+01	3.596108e-01	3.595057e-01
8.000000e+02	9.000000e+02	1.901220e+01	3.560913e-01	3.558648e-01
9.000000e+02	1.000000e+03	1.949590e+01	3.332288e-01	3.328286e-01
1.000000e+03	1.200000e+03	2.003560e+01	3.126579e-01	3.121260e-01
1.200000e+03	1.400000e+03	2.064740e+01	3.000449e-01	2.994986e-01
1.400000e+03	1.600000e+03	2.130240e+01	2.931536e-01	2.925565e-01
1.600000e+03	2.000000e+03	2.182110e+01	2.992830e-01	2.984379e-01
2.000000e+03	2.500000e+03	2.273210e+01	3.598357e-01	3.587254e-01
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d09-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d09-x01-y01
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+02	2.000000e+02	1.111434e+01	4.629381e-02	4.629381e-02
2.000000e+02	3.000000e+02	1.351658e+01	6.898287e-02	6.898287e-02
3.000000e+02	4.000000e+02	1.514343e+01	9.518584e-02	9.518584e-02
4.000000e+02	5.000000e+02	1.654629e+01	1.267667e-01	1.267667e-01
5.000000e+02	6.000000e+02	1.741707e+01	1.618104e-01	1.618104e-01
6.000000e+02	7.000000e+02	1.808549e+01	2.069221e-01	2.069221e-01
7.000000e+02	8.000000e+02	1.912722e+01	2.575857e-01	2.575857e-01
8.000000e+02	9.000000e+02	1.989309e+01	3.124807e-01	3.124807e-01
9.000000e+02	1.000000e+03	2.009899e+01	3.527035e-01	3.527035e-01
1.000000e+03	1.200000e+03	2.099709e+01	3.579362e-01	3.579362e-01
1.200000e+03	1.400000e+03	2.153571e+01	5.091763e-01	5.091763e-01
1.400000e+03	1.600000e+03	2.215615e+01	8.336552e-01	8.336552e-01
1.600000e+03	2.000000e+03	2.181974e+01	7.419734e-01	7.419734e-01
2.000000e+03	2.500000e+03	2.083609e+01	9.397630e-01	9.397630e-01
# END HISTO1D

