# BEGIN PLOT
LegendOnly=/ATLAS_2019_I1740909/d107-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d107-x01-y01
XLabel=$\zeta$ 
RatioPlotReference=/ATLAS_2019_I1740909/d107-x01-y01
Title=Forward jets, $1200 < p_{\textrm{T}}^{\textrm{jet}} < 1400$ [GeV]
DrawOnly=/ATLAS_2019_I1740909/d107-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d107-x01-y01
RatioPlot=1
YLabel=fraction/bin
Legend=1
LogX=1
LogY=0
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1740909/d107-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1740909/d107-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
3.007290e-04	4.510930e-04	2.135200e-01	8.557212e-03	8.781222e-03
4.510930e-04	6.766390e-04	7.583500e-01	2.692492e-02	2.777059e-02
6.766390e-04	1.014960e-03	9.974640e-01	1.910339e-02	2.140427e-02
1.014960e-03	1.522440e-03	1.254410e+00	1.805595e-02	2.205222e-02
1.522440e-03	2.283660e-03	1.492190e+00	2.715440e-02	3.109783e-02
2.283660e-03	3.425490e-03	1.702900e+00	2.037680e-02	2.666401e-02
3.425490e-03	5.138230e-03	1.835120e+00	2.621430e-02	3.156159e-02
5.138230e-03	7.707350e-03	1.890790e+00	3.202045e-02	3.670421e-02
7.707350e-03	1.156100e-02	1.872590e+00	3.449584e-02	3.804760e-02
1.156100e-02	1.734150e-02	1.782560e+00	2.833020e-02	3.267845e-02
1.734150e-02	2.601230e-02	1.605480e+00	1.972102e-02	2.370869e-02
2.601230e-02	3.901840e-02	1.390340e+00	1.753987e-02	2.071568e-02
3.901840e-02	5.852770e-02	1.147590e+00	1.390465e-02	1.727975e-02
5.852770e-02	8.779150e-02	8.953710e-01	1.203465e-02	1.379057e-02
8.779145e-02	1.316869e-01	6.587880e-01	1.003725e-02	1.126610e-02
1.316870e-01	1.975310e-01	4.523240e-01	8.392058e-03	9.400066e-03
1.975310e-01	2.962960e-01	2.783280e-01	6.165703e-03	6.996484e-03
2.962960e-01	4.444440e-01	1.457910e-01	3.654588e-03	4.193790e-03
4.444440e-01	6.666670e-01	5.791750e-02	1.667486e-03	1.919473e-03
6.666670e-01	1.000000e+00	9.743820e-03	3.621229e-04	4.088147e-04
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d107-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d107-x01-y01
ScaledBy=1.06348233925282606e+06
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
3.007290e-04	4.510930e-04	2.308847e-01	3.300130e-02	3.300130e-02
4.510930e-04	6.766390e-04	8.043047e-01	6.089171e-02	6.089171e-02
6.766390e-04	1.014960e-03	9.440295e-01	6.406693e-02	6.406693e-02
1.014960e-03	1.522440e-03	1.247508e+00	7.453241e-02	7.453241e-02
1.522440e-03	2.283660e-03	1.654096e+00	8.665519e-02	8.665519e-02
2.283660e-03	3.425490e-03	1.811090e+00	9.048059e-02	9.048059e-02
3.425490e-03	5.138230e-03	2.037716e+00	9.793405e-02	9.793405e-02
5.138230e-03	7.707350e-03	2.152108e+00	1.002620e-01	1.002620e-01
7.707350e-03	1.156100e-02	2.003038e+00	9.442168e-02	9.442168e-02
1.156100e-02	1.734150e-02	1.665487e+00	8.507420e-02	8.507420e-02
1.734150e-02	2.601230e-02	1.545013e+00	8.528197e-02	8.528197e-02
2.601230e-02	3.901840e-02	1.319481e+00	7.899132e-02	7.899132e-02
3.901840e-02	5.852770e-02	1.079323e+00	6.958142e-02	6.958142e-02
5.852770e-02	8.779150e-02	1.008691e+00	6.954020e-02	6.954020e-02
8.779145e-02	1.316869e-01	6.516245e-01	5.422758e-02	5.422758e-02
1.316870e-01	1.975310e-01	4.968700e-01	4.827350e-02	4.827350e-02
1.975310e-01	2.962960e-01	2.625737e-01	3.297136e-02	3.297136e-02
2.962960e-01	4.444440e-01	1.636396e-01	2.964779e-02	2.964779e-02
4.444440e-01	6.666670e-01	6.746520e-02	1.682433e-02	1.682433e-02
6.666670e-01	1.000000e+00	1.380213e-02	8.105113e-03	8.105113e-03
# END HISTO1D

