# BEGIN PLOT
LegendOnly=/ATLAS_2019_I1740909/d116-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d116-x01-y01
DrawOnly=/ATLAS_2019_I1740909/d116-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d116-x01-y01
RatioPlotReference=/ATLAS_2019_I1740909/d116-x01-y01
RatioPlot=1
LogY=0
XLabel=$p_{\textrm{T}}^{\textrm{rel}}$ (positive values only)
YLabel=fraction/bin
Legend=1
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1740909/d116-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1740909/d116-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e-01	2.636960e+00	5.327873e-02	5.784120e-02
1.500000e-01	3.000000e-01	1.857910e+00	2.947289e-02	3.405049e-02
3.000000e-01	4.500000e-01	1.137870e+00	1.708946e-02	1.991982e-02
4.500000e-01	6.000000e-01	7.288690e-01	1.105315e-02	1.290815e-02
6.000000e-01	7.500000e-01	4.938240e-01	8.027665e-03	9.141596e-03
7.500000e-01	9.000000e-01	3.522460e-01	5.948242e-03	6.613630e-03
9.000000e-01	1.050000e+00	2.613420e-01	4.256601e-03	4.697758e-03
1.050000e+00	1.200000e+00	2.009200e-01	3.259443e-03	3.581029e-03
1.200000e+00	1.350000e+00	1.587990e-01	2.737615e-03	2.969886e-03
1.350000e+00	1.500000e+00	1.270870e-01	2.341423e-03	2.506879e-03
1.500000e+00	1.650000e+00	1.047170e-01	1.976251e-03	2.106575e-03
1.650000e+00	1.800000e+00	8.660270e-02	1.629041e-03	1.737818e-03
1.800000e+00	1.950000e+00	7.293490e-02	1.390914e-03	1.501481e-03
1.950000e+00	2.100000e+00	6.264460e-02	1.295588e-03	1.401103e-03
2.100000e+00	2.250000e+00	5.357610e-02	1.255544e-03	1.337548e-03
2.250000e+00	2.400000e+00	4.632110e-02	1.182585e-03	1.244136e-03
2.400000e+00	2.550000e+00	4.039440e-02	1.083528e-03	1.135762e-03
2.550000e+00	2.700000e+00	3.519750e-02	1.013581e-03	1.062096e-03
2.700000e+00	2.850000e+00	3.120190e-02	9.482020e-04	9.900494e-04
2.850000e+00	3.000000e+00	2.777490e-02	9.041332e-04	9.395478e-04
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d116-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d116-x01-y01
ScaledBy=1.75543529413161923e+04
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e-01	2.515580e+00	5.526232e-02	5.526232e-02
1.500000e-01	3.000000e-01	1.834749e+00	4.626629e-02	4.626629e-02
3.000000e-01	4.500000e-01	1.135496e+00	3.706293e-02	3.706293e-02
4.500000e-01	6.000000e-01	7.496727e-01	2.964149e-02	2.964149e-02
6.000000e-01	7.500000e-01	5.820546e-01	2.701149e-02	2.701149e-02
7.500000e-01	9.000000e-01	3.414495e-01	1.965455e-02	1.965455e-02
9.000000e-01	1.050000e+00	2.508638e-01	1.680252e-02	1.680252e-02
1.050000e+00	1.200000e+00	1.719211e-01	1.320287e-02	1.320287e-02
1.200000e+00	1.350000e+00	1.428800e-01	1.399491e-02	1.399491e-02
1.350000e+00	1.500000e+00	1.148398e-01	1.171788e-02	1.171788e-02
1.500000e+00	1.650000e+00	1.017047e-01	1.106185e-02	1.106185e-02
1.650000e+00	1.800000e+00	7.458153e-02	9.127090e-03	9.127090e-03
1.800000e+00	1.950000e+00	5.945359e-02	7.827533e-03	7.827533e-03
1.950000e+00	2.100000e+00	6.884887e-02	9.172514e-03	9.172514e-03
2.100000e+00	2.250000e+00	4.523317e-02	7.260462e-03	7.260462e-03
2.250000e+00	2.400000e+00	2.875333e-02	5.256184e-03	5.256184e-03
2.400000e+00	2.550000e+00	1.728512e-02	4.629947e-03	4.629947e-03
2.550000e+00	2.700000e+00	2.948335e-02	5.765258e-03	5.765258e-03
2.700000e+00	2.850000e+00	3.018418e-02	5.546173e-03	5.546173e-03
2.850000e+00	3.000000e+00	2.199933e-02	5.731411e-03	5.731411e-03
# END HISTO1D

