# BEGIN PLOT
LegendOnly=/ATLAS_2019_I1740909/d134-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d134-x01-y01
XLabel=$N_{\textrm{ch}}$ 
RatioPlotReference=/ATLAS_2019_I1740909/d134-x01-y01
Title=Central jets, $1000 < p_{\textrm{T}}^{\textrm{jet}} < 1200$ [GeV]
DrawOnly=/ATLAS_2019_I1740909/d134-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d134-x01-y01
RatioPlot=1
YLabel=fraction/bin
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1740909/d134-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1740909/d134-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	3.500000e+00	5.368250e-03	5.146987e-04	5.153512e-04
3.500000e+00	7.500000e+00	4.370720e-02	2.612297e-03	2.611453e-03
7.500000e+00	1.150000e+01	1.382940e-01	3.543315e-03	3.554778e-03
1.150000e+01	1.550000e+01	1.749400e-01	2.932488e-03	2.932603e-03
1.550000e+01	1.950000e+01	1.608440e-01	1.509243e-03	1.498072e-03
1.950000e+01	2.350000e+01	1.394200e-01	1.438626e-03	1.444127e-03
2.350000e+01	2.750000e+01	1.126160e-01	2.126061e-03	2.128692e-03
2.750000e+01	3.150000e+01	8.366550e-02	2.538268e-03	2.538159e-03
3.150000e+01	3.550000e+01	5.766480e-02	2.463933e-03	2.462141e-03
3.550000e+01	3.950000e+01	3.693200e-02	2.075087e-03	2.064031e-03
3.950000e+01	4.350000e+01	2.194060e-02	1.553692e-03	1.527674e-03
4.350000e+01	4.750000e+01	1.190060e-02	1.042321e-03	1.024822e-03
4.750000e+01	5.150000e+01	6.086800e-03	6.727607e-04	6.623412e-04
5.150000e+01	5.550000e+01	3.124490e-03	4.445960e-04	4.370037e-04
5.550000e+01	5.950000e+01	1.574810e-03	2.913383e-04	2.874643e-04
5.950000e+01	6.350000e+01	1.498310e-03	3.372951e-04	3.354434e-04
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d134-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d134-x01-y01
ScaledBy=2.77745590949675068e+05
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	3.500000e+00	1.219694e-03	1.219694e-03	1.219694e-03
3.500000e+00	7.500000e+00	2.947983e-02	9.381115e-03	9.381115e-03
7.500000e+00	1.150000e+01	1.452837e-01	1.841598e-02	1.841598e-02
1.150000e+01	1.550000e+01	1.652303e-01	2.096750e-02	2.096750e-02
1.550000e+01	1.950000e+01	1.647900e-01	2.094112e-02	2.094112e-02
1.950000e+01	2.350000e+01	1.538982e-01	1.936193e-02	1.936193e-02
2.350000e+01	2.750000e+01	7.831647e-02	1.303565e-02	1.303565e-02
2.750000e+01	3.150000e+01	7.051910e-02	1.288440e-02	1.288440e-02
3.150000e+01	3.550000e+01	8.875748e-02	1.759789e-02	1.759789e-02
3.550000e+01	3.950000e+01	3.453593e-02	8.629191e-03	8.629191e-03
3.950000e+01	4.350000e+01	3.495238e-02	8.359534e-03	8.359534e-03
4.350000e+01	4.750000e+01	1.380041e-02	5.672079e-03	5.672079e-03
4.750000e+01	5.150000e+01	1.158950e-02	8.004889e-03	8.004889e-03
5.150000e+01	5.550000e+01	2.711893e-03	2.711893e-03	2.711893e-03
5.550000e+01	5.950000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.950000e+01	6.350000e+01	4.915185e-03	4.915184e-03	4.915184e-03
# END HISTO1D

