# BEGIN PLOT
LegendOnly=/ATLAS_2019_I1740909/d146-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d146-x01-y01
XLabel=$r$ 
RatioPlotReference=/ATLAS_2019_I1740909/d146-x01-y01
Title=Central jets, $800 < p_{\textrm{T}}^{\textrm{jet}} < 900$ [GeV]
DrawOnly=/ATLAS_2019_I1740909/d146-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d146-x01-y01
RatioPlot=1
YLabel=fraction/bin
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1740909/d146-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1740909/d146-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	5.241840e+01	1.542743e+00	1.598304e+00
2.000000e-02	4.000000e-02	1.409290e+01	2.507858e-01	2.781039e-01
4.000000e-02	6.000000e-02	6.387420e+00	7.858533e-02	9.814282e-02
6.000000e-02	8.000000e-02	3.633000e+00	4.865612e-02	5.938721e-02
8.000000e-02	1.000000e-01	2.336360e+00	3.188024e-02	3.882827e-02
1.000000e-01	1.200000e-01	1.620250e+00	1.589196e-02	2.179580e-02
1.200000e-01	1.400000e-01	1.187570e+00	1.139175e-02	1.612049e-02
1.400000e-01	1.600000e-01	9.029910e-01	8.672370e-03	1.229026e-02
1.600000e-01	1.800000e-01	7.079760e-01	7.030189e-03	9.776070e-03
1.800000e-01	2.000000e-01	5.670930e-01	5.588081e-03	7.565134e-03
2.000000e-01	2.200000e-01	4.632220e-01	4.645755e-03	6.450615e-03
2.200000e-01	2.400000e-01	3.871060e-01	4.140730e-03	5.501956e-03
2.400000e-01	2.600000e-01	3.253260e-01	3.411712e-03	4.556502e-03
2.600000e-01	2.800000e-01	2.757930e-01	2.761747e-03	3.774335e-03
2.800000e-01	3.000000e-01	2.357080e-01	2.378183e-03	3.286842e-03
3.000000e-01	3.200000e-01	2.043260e-01	2.139665e-03	2.860270e-03
3.200000e-01	3.400000e-01	1.780620e-01	1.820135e-03	2.462520e-03
3.400000e-01	3.600000e-01	1.574590e-01	1.603273e-03	2.229236e-03
3.600000e-01	3.800000e-01	1.431790e-01	3.397688e-03	3.655055e-03
3.800000e-01	4.000000e-01	1.253940e-01	4.005261e-03	4.184327e-03
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d146-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d146-x01-y01
ScaledBy=9.77118110623871471e+04
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	5.674330e+01	1.435582e+00	1.435582e+00
2.000000e-02	4.000000e-02	1.596700e+01	4.432783e-01	4.432783e-01
4.000000e-02	6.000000e-02	6.296855e+00	2.119470e-01	2.119470e-01
6.000000e-02	8.000000e-02	3.514586e+00	1.311980e-01	1.311980e-01
8.000000e-02	1.000000e-01	2.235084e+00	9.191665e-02	9.191665e-02
1.000000e-01	1.200000e-01	1.589753e+00	7.059371e-02	7.059371e-02
1.200000e-01	1.400000e-01	1.237795e+00	5.884879e-02	5.884879e-02
1.400000e-01	1.600000e-01	8.921230e-01	4.638073e-02	4.638073e-02
1.600000e-01	1.800000e-01	6.793205e-01	3.786063e-02	3.786063e-02
1.800000e-01	2.000000e-01	5.590845e-01	3.196819e-02	3.196819e-02
2.000000e-01	2.200000e-01	4.740095e-01	2.725023e-02	2.725023e-02
2.200000e-01	2.400000e-01	3.765498e-01	2.450286e-02	2.450286e-02
2.400000e-01	2.600000e-01	2.914081e-01	1.972076e-02	1.972076e-02
2.600000e-01	2.800000e-01	2.605860e-01	1.928275e-02	1.928275e-02
2.800000e-01	3.000000e-01	2.479627e-01	1.773563e-02	1.773563e-02
3.000000e-01	3.200000e-01	2.122504e-01	1.501234e-02	1.501234e-02
3.200000e-01	3.400000e-01	1.793579e-01	1.339117e-02	1.339117e-02
3.400000e-01	3.600000e-01	1.581141e-01	1.268363e-02	1.268363e-02
3.600000e-01	3.800000e-01	1.249039e-01	1.042831e-02	1.042831e-02
3.800000e-01	4.000000e-01	1.252911e-01	1.047933e-02	1.047933e-02
# END HISTO1D

