# BEGIN PLOT
LegendOnly=/ATLAS_2019_I1740909/d179-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d179-x01-y01
XLabel=$p_{\textrm{T}}^{\textrm{rel}}$ (positive values only)
RatioPlotReference=/ATLAS_2019_I1740909/d179-x01-y01
Title=Central jets, $1600 < p_{\textrm{T}}^{\textrm{jet}} < 2000$ [GeV]
DrawOnly=/ATLAS_2019_I1740909/d179-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d179-x01-y01
RatioPlot=1
YLabel=fraction/bin
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1740909/d179-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1740909/d179-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e-01	2.899680e+00	6.789479e-02	7.616018e-02
1.500000e-01	3.000000e-01	2.051240e+00	3.811503e-02	4.581430e-02
3.000000e-01	4.500000e-01	1.324670e+00	2.473219e-02	2.983001e-02
4.500000e-01	6.000000e-01	9.005480e-01	2.001275e-02	2.305897e-02
6.000000e-01	7.500000e-01	6.357060e-01	1.611412e-02	1.797270e-02
7.500000e-01	9.000000e-01	4.658550e-01	1.217773e-02	1.345589e-02
9.000000e-01	1.050000e+00	3.617650e-01	9.213030e-03	1.011103e-02
1.050000e+00	1.200000e+00	2.864980e-01	7.390396e-03	8.028492e-03
1.200000e+00	1.350000e+00	2.358190e-01	5.925027e-03	6.423730e-03
1.350000e+00	1.500000e+00	1.974590e-01	5.216065e-03	5.661959e-03
1.500000e+00	1.650000e+00	1.666810e-01	4.483710e-03	4.872964e-03
1.650000e+00	1.800000e+00	1.419650e-01	3.772099e-03	4.073919e-03
1.800000e+00	1.950000e+00	1.213250e-01	3.507346e-03	3.733346e-03
1.950000e+00	2.100000e+00	1.037970e-01	3.332246e-03	3.514257e-03
2.100000e+00	2.250000e+00	9.206410e-02	3.136313e-03	3.282149e-03
2.250000e+00	2.400000e+00	8.367370e-02	2.910331e-03	3.035588e-03
2.400000e+00	2.550000e+00	7.519750e-02	2.725352e-03	2.832258e-03
2.550000e+00	2.700000e+00	6.844300e-02	2.864291e-03	2.953911e-03
2.700000e+00	2.850000e+00	6.098700e-02	2.998391e-03	3.065138e-03
2.850000e+00	3.000000e+00	5.565070e-02	2.867316e-03	2.924041e-03
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d179-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d179-x01-y01
ScaledBy=6.79301319512466062e+06
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e-01	2.541959e+00	1.558346e-01	1.558346e-01
1.500000e-01	3.000000e-01	2.177484e+00	1.514469e-01	1.514469e-01
3.000000e-01	4.500000e-01	1.464785e+00	1.163484e-01	1.163484e-01
4.500000e-01	6.000000e-01	1.090257e+00	1.096584e-01	1.096584e-01
6.000000e-01	7.500000e-01	6.439542e-01	7.526073e-02	7.526073e-02
7.500000e-01	9.000000e-01	4.796017e-01	7.325957e-02	7.325957e-02
9.000000e-01	1.050000e+00	3.183538e-01	5.371398e-02	5.371398e-02
1.050000e+00	1.200000e+00	1.807158e-01	3.946824e-02	3.946824e-02
1.200000e+00	1.350000e+00	1.797803e-01	5.199787e-02	5.199787e-02
1.350000e+00	1.500000e+00	1.668056e-01	3.904362e-02	3.904362e-02
1.500000e+00	1.650000e+00	1.117041e-01	3.411758e-02	3.411758e-02
1.650000e+00	1.800000e+00	1.244971e-01	3.390936e-02	3.390936e-02
1.800000e+00	1.950000e+00	1.262285e-01	3.574391e-02	3.574391e-02
1.950000e+00	2.100000e+00	1.446505e-01	3.844837e-02	3.844837e-02
2.100000e+00	2.250000e+00	5.298901e-02	1.982373e-02	1.982373e-02
2.250000e+00	2.400000e+00	5.935339e-02	2.633235e-02	2.633235e-02
2.400000e+00	2.550000e+00	5.175035e-02	1.921515e-02	1.921515e-02
2.550000e+00	2.700000e+00	2.736561e-02	1.290059e-02	1.290059e-02
2.700000e+00	2.850000e+00	5.285027e-02	2.286868e-02	2.286868e-02
2.850000e+00	3.000000e+00	1.914235e-02	1.181001e-02	1.181001e-02
# END HISTO1D

