# BEGIN PLOT
LegendOnly=/ATLAS_2019_I1740909/d62-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d62-x01-y01
XLabel=$p_{\textrm{T}}^{\textrm{rel}}$ (positive values only)
RatioPlotReference=/ATLAS_2019_I1740909/d62-x01-y01
Title=Inclusive jets, $800 < p_{\textrm{T}}^{\textrm{jet}} < 900$ [GeV]
DrawOnly=/ATLAS_2019_I1740909/d62-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d62-x01-y01
RatioPlot=1
YLabel=fraction/bin
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1740909/d62-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1740909/d62-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e-01	5.534330e+00	7.733895e-02	9.317511e-02
1.500000e-01	3.000000e-01	3.918760e+00	4.468349e-02	5.848501e-02
3.000000e-01	4.500000e-01	2.433830e+00	2.700768e-02	3.561340e-02
4.500000e-01	6.000000e-01	1.587360e+00	1.910048e-02	2.449235e-02
6.000000e-01	7.500000e-01	1.095840e+00	1.562688e-02	1.864418e-02
7.500000e-01	9.000000e-01	7.911550e-01	1.221828e-02	1.404730e-02
9.000000e-01	1.050000e+00	5.957240e-01	8.856132e-03	1.016891e-02
1.050000e+00	1.200000e+00	4.618120e-01	6.523075e-03	7.578801e-03
1.200000e+00	1.350000e+00	3.669020e-01	5.319610e-03	6.163600e-03
1.350000e+00	1.500000e+00	3.002810e-01	4.815467e-03	5.431186e-03
1.500000e+00	1.650000e+00	2.484360e-01	4.567855e-03	4.975420e-03
1.650000e+00	1.800000e+00	2.083660e-01	4.218472e-03	4.584664e-03
1.800000e+00	1.950000e+00	1.769690e-01	3.700522e-03	3.973027e-03
1.950000e+00	2.100000e+00	1.530860e-01	3.284914e-03	3.538203e-03
2.100000e+00	2.250000e+00	1.321900e-01	3.050421e-03	3.285749e-03
2.250000e+00	2.400000e+00	1.146000e-01	2.914676e-03	3.118981e-03
2.400000e+00	2.550000e+00	1.002730e-01	2.781028e-03	2.960482e-03
2.550000e+00	2.700000e+00	8.834330e-02	2.531894e-03	2.683024e-03
2.700000e+00	2.850000e+00	7.791440e-02	2.193266e-03	2.301341e-03
2.850000e+00	3.000000e+00	7.002840e-02	2.030298e-03	2.104711e-03
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d62-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d62-x01-y01
ScaledBy=1.01240926554558129e+05
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e-01	5.651967e+00	1.148363e-01	1.148363e-01
1.500000e-01	3.000000e-01	4.300945e+00	9.878862e-02	9.878862e-02
3.000000e-01	4.500000e-01	2.603919e+00	7.706880e-02	7.706880e-02
4.500000e-01	6.000000e-01	1.800610e+00	6.486827e-02	6.486827e-02
6.000000e-01	7.500000e-01	1.185128e+00	5.197460e-02	5.197460e-02
7.500000e-01	9.000000e-01	8.179660e-01	4.219883e-02	4.219883e-02
9.000000e-01	1.050000e+00	5.940488e-01	3.686807e-02	3.686807e-02
1.050000e+00	1.200000e+00	4.748357e-01	3.341975e-02	3.341975e-02
1.200000e+00	1.350000e+00	3.800010e-01	2.898281e-02	2.898281e-02
1.350000e+00	1.500000e+00	2.822936e-01	2.402661e-02	2.402661e-02
1.500000e+00	1.650000e+00	2.586756e-01	2.445088e-02	2.445088e-02
1.650000e+00	1.800000e+00	2.094599e-01	2.123058e-02	2.123058e-02
1.800000e+00	1.950000e+00	1.603679e-01	1.956802e-02	1.956802e-02
1.950000e+00	2.100000e+00	1.245053e-01	1.711086e-02	1.711086e-02
2.100000e+00	2.250000e+00	1.315398e-01	1.828179e-02	1.828179e-02
2.250000e+00	2.400000e+00	1.210787e-01	1.812803e-02	1.812803e-02
2.400000e+00	2.550000e+00	8.447973e-02	1.582239e-02	1.582239e-02
2.550000e+00	2.700000e+00	8.603327e-02	1.334347e-02	1.334347e-02
2.700000e+00	2.850000e+00	7.785880e-02	1.449598e-02	1.449598e-02
2.850000e+00	3.000000e+00	3.714990e-02	8.080528e-03	8.080528e-03
# END HISTO1D

