# BEGIN PLOT
LegendOnly=/ATLAS_2019_I1740909/d73-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d73-x01-y01
XLabel=$N_{\textrm{ch}}$ 
RatioPlotReference=/ATLAS_2019_I1740909/d73-x01-y01
Title=Forward jets, $500 < p_{\textrm{T}}^{\textrm{jet}} < 600$ [GeV]
DrawOnly=/ATLAS_2019_I1740909/d73-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d73-x01-y01
RatioPlot=1
YLabel=fraction/bin
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1740909/d73-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1740909/d73-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	3.500000e+00	5.944780e-03	1.254738e-03	1.254321e-03
3.500000e+00	7.500000e+00	8.095380e-02	7.576806e-03	7.602754e-03
7.500000e+00	1.150000e+01	2.028180e-01	9.359528e-03	9.379719e-03
1.150000e+01	1.550000e+01	2.148190e-01	9.854766e-03	9.841416e-03
1.550000e+01	1.950000e+01	1.805880e-01	4.187497e-03	4.181712e-03
1.950000e+01	2.350000e+01	1.340710e-01	3.499535e-03	3.504293e-03
2.350000e+01	2.750000e+01	8.655680e-02	4.376261e-03	4.401789e-03
2.750000e+01	3.150000e+01	4.903930e-02	5.036409e-03	5.054532e-03
3.150000e+01	3.550000e+01	2.479250e-02	3.847643e-03	3.855804e-03
3.550000e+01	3.950000e+01	1.150550e-02	2.017437e-03	2.023179e-03
3.950000e+01	4.350000e+01	4.836400e-03	8.245194e-04	8.304242e-04
4.350000e+01	4.750000e+01	1.880180e-03	5.599723e-04	5.617326e-04
4.750000e+01	5.150000e+01	8.681630e-04	4.672104e-04	4.676293e-04
5.150000e+01	5.550000e+01	4.390670e-04	3.036361e-04	3.039221e-04
5.550000e+01	5.950000e+01	2.962460e-04	2.071306e-04	2.070961e-04
5.950000e+01	6.350000e+01	1.035330e-03	6.510352e-04	6.510795e-04
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d73-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d73-x01-y01
ScaledBy=6.58056411693331029e+03
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	3.500000e+00	3.827602e-03	1.957706e-03	1.957706e-03
3.500000e+00	7.500000e+00	7.009218e-02	7.416813e-03	7.416813e-03
7.500000e+00	1.150000e+01	2.146079e-01	1.410792e-02	1.410792e-02
1.150000e+01	1.550000e+01	2.045375e-01	1.362997e-02	1.362997e-02
1.550000e+01	1.950000e+01	1.840098e-01	1.227122e-02	1.227122e-02
1.950000e+01	2.350000e+01	1.380471e-01	1.113481e-02	1.113481e-02
2.350000e+01	2.750000e+01	8.733138e-02	8.597801e-03	8.597801e-03
2.750000e+01	3.150000e+01	6.105000e-02	7.301557e-03	7.301557e-03
3.150000e+01	3.550000e+01	2.514523e-02	4.602465e-03	4.602465e-03
3.550000e+01	3.950000e+01	8.285175e-03	2.503933e-03	2.503933e-03
3.950000e+01	4.350000e+01	3.066190e-03	1.320400e-03	1.320400e-03
4.350000e+01	4.750000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.750000e+01	5.150000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.150000e+01	5.550000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.550000e+01	5.950000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.950000e+01	6.350000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

