# BEGIN PLOT
LegendOnly=/ATLAS_2019_I1740909/d91-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d91-x01-y01
XLabel=$r$ 
RatioPlotReference=/ATLAS_2019_I1740909/d91-x01-y01
Title=Forward jets, $900 < p_{\textrm{T}}^{\textrm{jet}} < 1000$ [GeV]
DrawOnly=/ATLAS_2019_I1740909/d91-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d91-x01-y01
RatioPlot=1
YLabel=fraction/bin
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1740909/d91-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1740909/d91-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	5.754530e+01	1.765738e+00	1.820778e+00
2.000000e-02	4.000000e-02	1.382970e+01	2.839251e-01	3.046536e-01
4.000000e-02	6.000000e-02	6.075700e+00	8.951212e-02	1.033061e-01
6.000000e-02	8.000000e-02	3.422970e+00	4.794401e-02	5.635522e-02
8.000000e-02	1.000000e-01	2.189470e+00	2.870706e-02	3.481865e-02
1.000000e-01	1.200000e-01	1.516110e+00	1.393252e-02	1.910343e-02
1.200000e-01	1.400000e-01	1.111280e+00	1.085064e-02	1.446775e-02
1.400000e-01	1.600000e-01	8.466210e-01	9.007685e-03	1.122359e-02
1.600000e-01	1.800000e-01	6.642000e-01	7.957492e-03	9.676207e-03
1.800000e-01	2.000000e-01	5.332930e-01	6.599396e-03	7.928880e-03
2.000000e-01	2.200000e-01	4.388650e-01	4.876765e-03	6.135366e-03
2.200000e-01	2.400000e-01	3.647070e-01	3.440319e-03	4.750860e-03
2.400000e-01	2.600000e-01	3.065410e-01	2.719144e-03	3.862470e-03
2.600000e-01	2.800000e-01	2.613060e-01	2.355922e-03	3.347481e-03
2.800000e-01	3.000000e-01	2.243550e-01	1.960800e-03	2.881474e-03
3.000000e-01	3.200000e-01	1.942350e-01	1.610290e-03	2.304619e-03
3.200000e-01	3.400000e-01	1.688840e-01	1.351393e-03	2.005119e-03
3.400000e-01	3.600000e-01	1.491790e-01	1.132913e-03	1.718498e-03
3.600000e-01	3.800000e-01	1.354730e-01	2.597338e-03	2.870769e-03
3.800000e-01	4.000000e-01	1.139740e-01	3.090210e-03	3.263916e-03
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d91-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d91-x01-y01
ScaledBy=2.12943389072329563e+05
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	5.905065e+01	1.666073e+00	1.666073e+00
2.000000e-02	4.000000e-02	1.349743e+01	4.572206e-01	4.572206e-01
4.000000e-02	6.000000e-02	5.902480e+00	2.276451e-01	2.276451e-01
6.000000e-02	8.000000e-02	3.204245e+00	1.450810e-01	1.450810e-01
8.000000e-02	1.000000e-01	2.532185e+00	1.167757e-01	1.167757e-01
1.000000e-01	1.200000e-01	1.659175e+00	8.894573e-02	8.894573e-02
1.200000e-01	1.400000e-01	1.064184e+00	6.535738e-02	6.535738e-02
1.400000e-01	1.600000e-01	8.509445e-01	5.399981e-02	5.399981e-02
1.600000e-01	1.800000e-01	6.201350e-01	4.169415e-02	4.169415e-02
1.800000e-01	2.000000e-01	4.990980e-01	3.513066e-02	3.513066e-02
2.000000e-01	2.200000e-01	4.382897e-01	3.156136e-02	3.156136e-02
2.200000e-01	2.400000e-01	3.154762e-01	2.562021e-02	2.562021e-02
2.400000e-01	2.600000e-01	3.154182e-01	2.502221e-02	2.502221e-02
2.600000e-01	2.800000e-01	2.897571e-01	2.346571e-02	2.346571e-02
2.800000e-01	3.000000e-01	2.521163e-01	2.195376e-02	2.195376e-02
3.000000e-01	3.200000e-01	1.921883e-01	1.686470e-02	1.686470e-02
3.200000e-01	3.400000e-01	1.904875e-01	1.707027e-02	1.707027e-02
3.400000e-01	3.600000e-01	1.732265e-01	1.603122e-02	1.603122e-02
3.600000e-01	3.800000e-01	1.339610e-01	1.440701e-02	1.440701e-02
3.800000e-01	4.000000e-01	1.085068e-01	1.107958e-02	1.107958e-02
# END HISTO1D

