# BEGIN PLOT
LegendOnly=/ATLAS_2020_I1790256/d01-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1790256/d01-x01-y01
XLabel=$\ln (R/\Delta R)$
YMax=5.96
XMax=4.33
Title=$\frac{1}{N_{jets}}\frac{d^{2} N_{emissions}}{d\ln (R/\Delta R) d\ln (1/z)}$
DrawOnly=/ATLAS_2020_I1790256/d01-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1790256/d01-x01-y01
YLabel=$\ln (1/z)$
LogY=0
# END PLOT

# BEGIN HISTO2D /ATLAS_2020_I1790256/d01-x01-y01
IsRef=1
Path=/ATLAS_2020_I1790256/d01-x01-y01
Title=Data
# xlow	 xhigh	 ylow	 yhigh	 val	 errminus	 errplus
0.000000e+00	3.333330e-01	6.931470e-01	9.704060e-01	2.097660e-01	2.467304e-02	2.460275e-02
0.000000e+00	3.333330e-01	9.704060e-01	1.247660e+00	2.702970e-01	4.140396e-02	4.139539e-02
0.000000e+00	3.333330e-01	1.247660e+00	1.524920e+00	2.308450e-01	2.628147e-02	2.632987e-02
0.000000e+00	3.333330e-01	1.524920e+00	1.802180e+00	2.058460e-01	2.108782e-02	2.117614e-02
0.000000e+00	3.333330e-01	1.802180e+00	2.079440e+00	1.964410e-01	2.081111e-02	2.091025e-02
0.000000e+00	3.333330e-01	2.079440e+00	2.356700e+00	1.942240e-01	2.214298e-02	2.228302e-02
0.000000e+00	3.333330e-01	2.356700e+00	2.633960e+00	2.010710e-01	2.381726e-02	2.377688e-02
0.000000e+00	3.333330e-01	2.633960e+00	2.911220e+00	2.149030e-01	2.666867e-02	2.663392e-02
0.000000e+00	3.333330e-01	2.911220e+00	3.188480e+00	2.361530e-01	3.129392e-02	3.132014e-02
0.000000e+00	3.333330e-01	3.188480e+00	3.465740e+00	2.660240e-01	3.374151e-02	3.379026e-02
0.000000e+00	3.333330e-01	3.465740e+00	3.742990e+00	3.039880e-01	3.466258e-02	3.480105e-02
0.000000e+00	3.333330e-01	3.742990e+00	4.020250e+00	3.524840e-01	3.763484e-02	3.776031e-02
0.000000e+00	3.333330e-01	4.020250e+00	4.297510e+00	4.076690e-01	3.064859e-02	3.083018e-02
0.000000e+00	3.333330e-01	4.297510e+00	4.574770e+00	4.705740e-01	2.743793e-02	2.774633e-02
0.000000e+00	3.333330e-01	4.574770e+00	4.852030e+00	5.370670e-01	3.431436e-02	3.435170e-02
0.000000e+00	3.333330e-01	4.852030e+00	5.129290e+00	5.984470e-01	3.798449e-02	3.782161e-02
0.000000e+00	3.333330e-01	5.129290e+00	5.406550e+00	6.497210e-01	4.312642e-02	4.273158e-02
0.000000e+00	3.333330e-01	5.406550e+00	5.683810e+00	6.793270e-01	5.215412e-02	5.202484e-02
0.000000e+00	3.333330e-01	5.683810e+00	5.961070e+00	6.745250e-01	7.167170e-02	7.148466e-02
3.333330e-01	6.666670e-01	6.931470e-01	9.704060e-01	2.300830e-01	2.664848e-02	2.682123e-02
3.333330e-01	6.666670e-01	9.704060e-01	1.247660e+00	2.478760e-01	3.238535e-02	3.247965e-02
3.333330e-01	6.666670e-01	1.247660e+00	1.524920e+00	2.204220e-01	2.025067e-02	2.044723e-02
3.333330e-01	6.666670e-01	1.524920e+00	1.802180e+00	2.085330e-01	1.830867e-02	1.829829e-02
3.333330e-01	6.666670e-01	1.802180e+00	2.079440e+00	2.088030e-01	1.978161e-02	1.984534e-02
3.333330e-01	6.666670e-01	2.079440e+00	2.356700e+00	2.159040e-01	2.127596e-02	2.128349e-02
3.333330e-01	6.666670e-01	2.356700e+00	2.633960e+00	2.291380e-01	2.222533e-02	2.229088e-02
3.333330e-01	6.666670e-01	2.633960e+00	2.911220e+00	2.488230e-01	2.634154e-02	2.650572e-02
3.333330e-01	6.666670e-01	2.911220e+00	3.188480e+00	2.717310e-01	2.670327e-02	2.681076e-02
3.333330e-01	6.666670e-01	3.188480e+00	3.465740e+00	3.063640e-01	2.709396e-02	2.716291e-02
3.333330e-01	6.666670e-01	3.465740e+00	3.742990e+00	3.450360e-01	2.444513e-02	2.454925e-02
3.333330e-01	6.666670e-01	3.742990e+00	4.020250e+00	3.899590e-01	2.269291e-02	2.288397e-02
3.333330e-01	6.666670e-01	4.020250e+00	4.297510e+00	4.369310e-01	2.428411e-02	2.481894e-02
3.333330e-01	6.666670e-01	4.297510e+00	4.574770e+00	4.825330e-01	3.322953e-02	3.363409e-02
3.333330e-01	6.666670e-01	4.574770e+00	4.852030e+00	5.233020e-01	3.675922e-02	3.721562e-02
3.333330e-01	6.666670e-01	4.852030e+00	5.129290e+00	5.482240e-01	3.404671e-02	3.414174e-02
3.333330e-01	6.666670e-01	5.129290e+00	5.406550e+00	5.520930e-01	3.023496e-02	3.058813e-02
3.333330e-01	6.666670e-01	5.406550e+00	5.683810e+00	5.294960e-01	3.044629e-02	3.049457e-02
3.333330e-01	6.666670e-01	5.683810e+00	5.961070e+00	4.817030e-01	4.124513e-02	4.126689e-02
6.666670e-01	1.000000e+00	6.931470e-01	9.704060e-01	2.390130e-01	2.744886e-02	2.750841e-02
6.666670e-01	1.000000e+00	9.704060e-01	1.247660e+00	2.320440e-01	2.592113e-02	2.602589e-02
6.666670e-01	1.000000e+00	1.247660e+00	1.524920e+00	2.115510e-01	1.780765e-02	1.777732e-02
6.666670e-01	1.000000e+00	1.524920e+00	1.802180e+00	2.042060e-01	1.929209e-02	1.933556e-02
6.666670e-01	1.000000e+00	1.802180e+00	2.079440e+00	2.063020e-01	2.052305e-02	2.055767e-02
6.666670e-01	1.000000e+00	2.079440e+00	2.356700e+00	2.143430e-01	2.206452e-02	2.211909e-02
6.666670e-01	1.000000e+00	2.356700e+00	2.633960e+00	2.297120e-01	2.681104e-02	2.689322e-02
6.666670e-01	1.000000e+00	2.633960e+00	2.911220e+00	2.520130e-01	2.688460e-02	2.699513e-02
6.666670e-01	1.000000e+00	2.911220e+00	3.188480e+00	2.794320e-01	2.487429e-02	2.500899e-02
6.666670e-01	1.000000e+00	3.188480e+00	3.465740e+00	3.123170e-01	2.116616e-02	2.138497e-02
6.666670e-01	1.000000e+00	3.465740e+00	3.742990e+00	3.516830e-01	1.928750e-02	1.969761e-02
