# BEGIN PLOT
XLabel=$\ln (R/\Delta R)$
YMax=5.96
XMax=4.33
Title=$\frac{1}{N_{jets}}\frac{d^{2} N_{emissions}}{d\ln (R/\Delta R) d\ln (1/z)}$
YLabel=$\ln (1/z)$
LogY=0
# END PLOT

# BEGIN HISTO2D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1790256/d01-x01-y01
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1790256/d01-x01-y01
ScaledBy=7.52506948932304022e+03
Title=25Dec2022_py8
# xlow	 xhigh	 ylow	 yhigh	 val	 errminus	 errplus
0.000000e+00	3.333330e-01	6.931470e-01	9.704060e-01	2.108818e-01	3.232730e-02	3.232730e-02
0.000000e+00	3.333330e-01	9.704060e-01	1.247660e+00	1.635058e-01	2.423837e-02	2.423837e-02
0.000000e+00	3.333330e-01	1.247660e+00	1.524920e+00	1.759914e-01	2.883048e-02	2.883048e-02
0.000000e+00	3.333330e-01	1.524920e+00	1.802180e+00	1.243557e-01	1.841676e-02	1.841676e-02
0.000000e+00	3.333330e-01	1.802180e+00	2.079440e+00	1.471169e-01	1.933723e-02	1.933723e-02
0.000000e+00	3.333330e-01	2.079440e+00	2.356700e+00	1.168939e-01	1.738181e-02	1.738181e-02
0.000000e+00	3.333330e-01	2.356700e+00	2.633960e+00	1.980197e-01	2.643773e-02	2.643773e-02
0.000000e+00	3.333330e-01	2.633960e+00	2.911220e+00	2.024508e-01	2.473267e-02	2.473267e-02
0.000000e+00	3.333330e-01	2.911220e+00	3.188480e+00	2.151317e-01	2.641982e-02	2.641982e-02
0.000000e+00	3.333330e-01	3.188480e+00	3.465740e+00	2.257933e-01	3.064869e-02	3.064869e-02
0.000000e+00	3.333330e-01	3.465740e+00	3.742990e+00	2.589260e-01	2.798133e-02	2.798133e-02
0.000000e+00	3.333330e-01	3.742990e+00	4.020250e+00	3.025269e-01	3.102319e-02	3.102319e-02
0.000000e+00	3.333330e-01	4.020250e+00	4.297510e+00	4.770803e-01	4.423943e-02	4.423943e-02
0.000000e+00	3.333330e-01	4.297510e+00	4.574770e+00	5.105253e-01	3.997272e-02	3.997272e-02
0.000000e+00	3.333330e-01	4.574770e+00	4.852030e+00	8.238057e-01	5.910928e-02	5.910928e-02
0.000000e+00	3.333330e-01	4.852030e+00	5.129290e+00	8.552605e-01	5.579410e-02	5.579410e-02
0.000000e+00	3.333330e-01	5.129290e+00	5.406550e+00	9.768501e-01	5.492893e-02	5.492893e-02
0.000000e+00	3.333330e-01	5.406550e+00	5.683810e+00	8.061851e-01	4.651055e-02	4.651055e-02
0.000000e+00	3.333330e-01	5.683810e+00	5.961070e+00	9.304244e-01	5.554855e-02	5.554855e-02
3.333330e-01	6.666670e-01	6.931470e-01	9.704060e-01	1.879202e-01	2.639105e-02	2.639105e-02
3.333330e-01	6.666670e-01	9.704060e-01	1.247660e+00	1.804342e-01	3.123608e-02	3.123608e-02
3.333330e-01	6.666670e-01	1.247660e+00	1.524920e+00	1.848564e-01	2.975627e-02	2.975627e-02
3.333330e-01	6.666670e-01	1.524920e+00	1.802180e+00	2.018600e-01	2.440386e-02	2.440386e-02
3.333330e-01	6.666670e-01	1.802180e+00	2.079440e+00	1.914298e-01	2.524075e-02	2.524075e-02
3.333330e-01	6.666670e-01	2.079440e+00	2.356700e+00	1.624097e-01	2.044873e-02	2.044873e-02
3.333330e-01	6.666670e-01	2.356700e+00	2.633960e+00	2.115798e-01	3.144213e-02	3.144213e-02
3.333330e-01	6.666670e-01	2.633960e+00	2.911220e+00	2.064001e-01	2.586977e-02	2.586977e-02
3.333330e-01	6.666670e-01	2.911220e+00	3.188480e+00	2.888292e-01	2.953927e-02	2.953927e-02
3.333330e-01	6.666670e-01	3.188480e+00	3.465740e+00	3.339080e-01	3.617808e-02	3.617808e-02
3.333330e-01	6.666670e-01	3.465740e+00	3.742990e+00	3.385130e-01	3.808537e-02	3.808537e-02
3.333330e-01	6.666670e-01	3.742990e+00	4.020250e+00	4.666798e-01	4.385262e-02	4.385262e-02
3.333330e-01	6.666670e-01	4.020250e+00	4.297510e+00	5.089931e-01	4.074164e-02	4.074164e-02
3.333330e-01	6.666670e-01	4.297510e+00	4.574770e+00	5.254324e-01	4.056661e-02	4.056661e-02
3.333330e-01	6.666670e-01	4.574770e+00	4.852030e+00	7.507697e-01	5.092647e-02	5.092647e-02
3.333330e-01	6.666670e-01	4.852030e+00	5.129290e+00	6.926306e-01	4.801941e-02	4.801941e-02
3.333330e-01	6.666670e-01	5.129290e+00	5.406550e+00	7.868454e-01	4.927587e-02	4.927587e-02
3.333330e-01	6.666670e-01	5.406550e+00	5.683810e+00	7.344516e-01	5.031096e-02	5.031096e-02
3.333330e-01	6.666670e-01	5.683810e+00	5.961070e+00	6.177920e-01	4.546332e-02	4.546332e-02
6.666670e-01	1.000000e+00	6.931470e-01	9.704060e-01	1.644950e-01	2.399323e-02	2.399323e-02
6.666670e-01	1.000000e+00	9.704060e-01	1.247660e+00	1.934755e-01	3.344009e-02	3.344009e-02
6.666670e-01	1.000000e+00	1.247660e+00	1.524920e+00	1.271691e-01	1.764673e-02	1.764673e-02
6.666670e-01	1.000000e+00	1.524920e+00	1.802180e+00	1.860821e-01	2.404875e-02	2.404875e-02
6.666670e-01	1.000000e+00	1.802180e+00	2.079440e+00	1.754332e-01	2.490085e-02	2.490085e-02
6.666670e-01	1.000000e+00	2.079440e+00	2.356700e+00	1.720948e-01	2.512087e-02	2.512087e-02
6.666670e-01	1.000000e+00	2.356700e+00	2.633960e+00	1.617802e-01	2.381605e-02	2.381605e-02
6.666670e-01	1.000000e+00	2.633960e+00	2.911220e+00	1.683668e-01	2.203163e-02	2.203163e-02
