# BEGIN PLOT
RatioPlotReference=/ATLAS_2020_I1790256/d15-x01-y01
LegendOnly=/ATLAS_2020_I1790256/d15-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1790256/d15-x01-y01
XLabel=$\ln (1/z)$
YMax=2.0
YLabel=$\frac{1}{N_{jets}}\frac{d^{2} N_{emissions}}{d\ln (R/\Delta R) d\ln (1/z)}$
DrawOnly=/ATLAS_2020_I1790256/d15-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1790256/d15-x01-y01
RatioPlot=1
Title=Vertical slice, $4.00 < \ln (R/\Delta R) < 4.33$
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /ATLAS_2020_I1790256/d15-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2020_I1790256/d15-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
6.931470e-01	9.704060e-01	9.709810e-01	1.433137e-01	1.437363e-01
9.704060e-01	1.247660e+00	7.560290e-01	1.050091e-01	1.052871e-01
1.247660e+00	1.524920e+00	5.975000e-01	7.508062e-02	7.527581e-02
1.524920e+00	1.802180e+00	4.703230e-01	4.486754e-02	4.511216e-02
1.802180e+00	2.079440e+00	3.613970e-01	3.521698e-02	3.535738e-02
2.079440e+00	2.356700e+00	2.677890e-01	2.592588e-02	2.609683e-02
2.356700e+00	2.633960e+00	1.888340e-01	1.748305e-02	1.757361e-02
2.633960e+00	2.911220e+00	1.282150e-01	1.025851e-02	1.027736e-02
2.911220e+00	3.188480e+00	8.405530e-02	4.892985e-03	4.919820e-03
3.188480e+00	3.465740e+00	5.344950e-02	2.707467e-03	2.721363e-03
3.465740e+00	3.742990e+00	3.267580e-02	1.972269e-03	1.978591e-03
3.742990e+00	4.020250e+00	1.993790e-02	1.082231e-03	1.075764e-03
4.020250e+00	4.297510e+00	1.200510e-02	8.716912e-04	8.054559e-04
4.297510e+00	4.574770e+00	7.278330e-03	6.788168e-04	6.732499e-04
4.574770e+00	4.852030e+00	4.450690e-03	6.427161e-04	6.413549e-04
4.852030e+00	5.129290e+00	2.732400e-03	3.852769e-04	3.846292e-04
5.129290e+00	5.406550e+00	1.673920e-03	3.079426e-04	3.075333e-04
5.406550e+00	5.683810e+00	1.042600e-03	3.079482e-04	3.083620e-04
5.683810e+00	5.961070e+00	6.412780e-04	1.300785e-04	1.307025e-04
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1790256/d15-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1790256/d15-x01-y01
ScaledBy=2.25978062742433613e+04
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
6.931470e-01	9.704060e-01	1.022170e+00	5.744319e-02	5.744319e-02
9.704060e-01	1.247660e+00	7.942764e-01	5.112891e-02	5.112891e-02
1.247660e+00	1.524920e+00	5.769289e-01	4.163193e-02	4.163193e-02
1.524920e+00	1.802180e+00	4.714531e-01	3.670397e-02	3.670397e-02
1.802180e+00	2.079440e+00	3.604164e-01	3.261531e-02	3.261531e-02
2.079440e+00	2.356700e+00	3.081303e-01	3.014173e-02	3.014173e-02
2.356700e+00	2.633960e+00	1.629969e-01	1.967325e-02	1.967325e-02
2.633960e+00	2.911220e+00	1.178032e-01	1.700202e-02	1.700202e-02
2.911220e+00	3.188480e+00	8.812259e-02	1.706645e-02	1.706645e-02
3.188480e+00	3.465740e+00	6.126185e-02	1.257971e-02	1.257971e-02
3.465740e+00	3.742990e+00	3.315664e-02	7.977226e-03	7.977226e-03
3.742990e+00	4.020250e+00	2.145892e-02	5.755097e-03	5.755097e-03
4.020250e+00	4.297510e+00	1.904494e-02	6.426605e-03	6.426605e-03
4.297510e+00	4.574770e+00	1.105269e-02	5.694964e-03	5.694964e-03
4.574770e+00	4.852030e+00	1.001811e-02	4.095445e-03	4.095445e-03
4.852030e+00	5.129290e+00	4.883802e-03	2.481379e-03	2.481379e-03
5.129290e+00	5.406550e+00	5.196859e-03	3.589537e-03	3.589537e-03
5.406550e+00	5.683810e+00	1.211908e-04	8.593869e-05	8.593869e-05
5.683810e+00	5.961070e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

