# BEGIN PLOT
LegendOnly=/ATLAS_2020_I1808726/d01-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d01-x01-y01
DrawOnly=/ATLAS_2020_I1808726/d01-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d01-x01-y01
Title=Transverse Thrust for $n^{\mathrm{jet}} = 3$, 1.0 TeV $< H_{T2} <$ 1.5 TeV
RatioPlotReference=/ATLAS_2020_I1808726/d01-x01-y01
RatioPlot=1
LogY=1
XLabel=$\tau_\perp$
YLabel=$(1/\sigma(n^{\mathrm{jet}} \geq 2) d\sigma/d\tau_\perp$
Legend=1
# END PLOT

# BEGIN HISTO1D /ATLAS_2020_I1808726/d01-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2020_I1808726/d01-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	8.446840e+00	6.965200e-02	7.658178e-02
1.000000e-02	2.000000e-02	4.399170e+00	4.029837e-02	4.183381e-02
2.000000e-02	3.000000e-02	2.688920e+00	2.530523e-02	2.615614e-02
3.000000e-02	4.000000e-02	1.973750e+00	1.876553e-02	1.931003e-02
4.000000e-02	5.000000e-02	1.621940e+00	1.535674e-02	1.574193e-02
5.000000e-02	6.000000e-02	1.405850e+00	1.313766e-02	1.341752e-02
6.000000e-02	7.000000e-02	1.265860e+00	1.179695e-02	1.199600e-02
7.000000e-02	8.000000e-02	1.142610e+00	1.066168e-02	1.079321e-02
8.000000e-02	9.000000e-02	9.964600e-01	9.345185e-03	9.419182e-03
9.000000e-02	1.000000e-01	8.109420e-01	7.705757e-03	7.735295e-03
1.000000e-01	1.100000e-01	6.458120e-01	6.108380e-03	6.111000e-03
1.100000e-01	1.200000e-01	5.169870e-01	5.018951e-03	5.007771e-03
1.200000e-01	1.300000e-01	4.141830e-01	4.025398e-03	4.009132e-03
1.300000e-01	1.400000e-01	3.393850e-01	3.446344e-03	3.430952e-03
1.400000e-01	1.500000e-01	2.814250e-01	2.863657e-03	2.851700e-03
1.500000e-01	1.600000e-01	2.302820e-01	2.376314e-03	2.369940e-03
1.600000e-01	1.700000e-01	1.900240e-01	2.050791e-03	2.050535e-03
1.700000e-01	1.800000e-01	1.604430e-01	1.840822e-03	1.846175e-03
1.800000e-01	2.000000e-01	1.215570e-01	1.237658e-03	1.273497e-03
2.000000e-01	2.200000e-01	8.448790e-02	8.950180e-04	9.208614e-04
2.200000e-01	2.400000e-01	5.818440e-02	7.582292e-04	7.739434e-04
2.400000e-01	2.600000e-01	3.988710e-02	5.705510e-04	5.811843e-04
2.600000e-01	2.900000e-01	2.386070e-02	3.601931e-04	3.661739e-04
2.900000e-01	3.300000e-01	7.640510e-03	1.774869e-04	1.787674e-04
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d01-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d01-x01-y01
ScaledBy=4.00450954117010724e+03
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	9.349690e+00	6.366781e-01	6.366781e-01
1.000000e-02	2.000000e-02	4.807469e+00	4.427677e-01	4.427677e-01
2.000000e-02	3.000000e-02	2.168759e+00	2.898949e-01	2.898949e-01
3.000000e-02	4.000000e-02	1.786508e+00	2.422400e-01	2.422400e-01
4.000000e-02	5.000000e-02	1.831710e+00	2.779273e-01	2.779273e-01
5.000000e-02	6.000000e-02	1.437749e+00	2.656781e-01	2.656781e-01
6.000000e-02	7.000000e-02	1.292078e+00	2.300114e-01	2.300114e-01
7.000000e-02	8.000000e-02	1.219642e+00	2.170112e-01	2.170112e-01
8.000000e-02	9.000000e-02	7.251560e-01	1.721942e-01	1.721942e-01
9.000000e-02	1.000000e-01	1.099713e+00	2.164566e-01	2.164566e-01
1.000000e-01	1.100000e-01	9.997752e-01	2.098268e-01	2.098268e-01
1.100000e-01	1.200000e-01	5.847062e-01	1.468530e-01	1.468530e-01
1.200000e-01	1.300000e-01	3.420646e-01	1.089691e-01	1.089691e-01
1.300000e-01	1.400000e-01	2.353514e-01	8.178951e-02	8.178951e-02
1.400000e-01	1.500000e-01	4.248846e-01	1.600675e-01	1.600675e-01
1.500000e-01	1.600000e-01	1.414668e-01	8.950197e-02	8.950197e-02
1.600000e-01	1.700000e-01	3.717693e-01	1.140320e-01	1.140320e-01
1.700000e-01	1.800000e-01	3.008885e-01	1.161030e-01	1.161030e-01
1.800000e-01	2.000000e-01	1.584546e-01	5.943797e-02	5.943797e-02
2.000000e-01	2.200000e-01	5.055580e-02	2.411682e-02	2.411682e-02
2.200000e-01	2.400000e-01	1.242130e-01	5.364874e-02	5.364874e-02
2.400000e-01	2.600000e-01	5.537560e-02	3.916559e-02	3.916559e-02
2.600000e-01	2.900000e-01	2.446470e-02	1.859769e-02	1.859769e-02
2.900000e-01	3.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

