# BEGIN PLOT
LegendOnly=/ATLAS_2020_I1808726/d09-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d09-x01-y01
DrawOnly=/ATLAS_2020_I1808726/d09-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d09-x01-y01
Title=Transverse Thrust for $n^{\mathrm{jet}} = 3$, $H_{T2} >$ 2.0 TeV
RatioPlotReference=/ATLAS_2020_I1808726/d09-x01-y01
RatioPlot=1
LogY=1
XLabel=$\tau_\perp$
YLabel=$(1/\sigma(n^{\mathrm{jet}} \geq 2) d\sigma/d\tau_\perp$
Legend=1
# END PLOT

# BEGIN HISTO1D /ATLAS_2020_I1808726/d09-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2020_I1808726/d09-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	1.341880e+01	2.442093e-01	2.466581e-01
1.000000e-02	2.000000e-02	5.274830e+00	1.189320e-01	1.191802e-01
2.000000e-02	3.000000e-02	3.335880e+00	7.697414e-02	7.707945e-02
3.000000e-02	4.000000e-02	2.543110e+00	6.018080e-02	6.024805e-02
4.000000e-02	5.000000e-02	1.984060e+00	4.784684e-02	4.788835e-02
5.000000e-02	6.000000e-02	1.356240e+00	3.335985e-02	3.337968e-02
6.000000e-02	7.000000e-02	9.172170e-01	2.326707e-02	2.327377e-02
7.000000e-02	8.000000e-02	6.760240e-01	1.807100e-02	1.807039e-02
8.000000e-02	9.000000e-02	5.075420e-01	1.399332e-02	1.398822e-02
9.000000e-02	1.000000e-01	3.885460e-01	1.096009e-02	1.095209e-02
1.000000e-01	1.100000e-01	2.912870e-01	8.826091e-03	8.817029e-03
1.100000e-01	1.200000e-01	2.234800e-01	6.865952e-03	6.855973e-03
1.200000e-01	1.300000e-01	1.768970e-01	6.120632e-03	6.111041e-03
1.300000e-01	1.400000e-01	1.323610e-01	4.259228e-03	4.249099e-03
1.400000e-01	1.500000e-01	1.108210e-01	4.218139e-03	4.209011e-03
1.500000e-01	1.600000e-01	9.231310e-02	3.566091e-03	3.556771e-03
1.600000e-01	1.700000e-01	7.822240e-02	3.040425e-03	3.030850e-03
1.700000e-01	1.800000e-01	6.264630e-02	2.662678e-03	2.654270e-03
1.800000e-01	2.000000e-01	4.558630e-02	1.890910e-03	1.886311e-03
2.000000e-01	2.200000e-01	3.084220e-02	1.606347e-03	1.603535e-03
2.200000e-01	2.400000e-01	1.857760e-02	1.078475e-03	1.076764e-03
2.400000e-01	2.600000e-01	1.177410e-02	8.140055e-04	8.129863e-04
2.600000e-01	2.900000e-01	7.293710e-03	5.428807e-04	5.424245e-04
2.900000e-01	3.300000e-01	2.570050e-03	3.159001e-04	3.158251e-04
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d09-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d09-x01-y01
ScaledBy=2.04476505276740034e+05
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	1.336298e+01	1.354130e+00	1.354130e+00
1.000000e-02	2.000000e-02	4.671652e+00	7.204417e-01	7.204417e-01
2.000000e-02	3.000000e-02	4.795888e+00	7.890972e-01	7.890972e-01
3.000000e-02	4.000000e-02	2.495259e+00	6.204078e-01	6.204078e-01
4.000000e-02	5.000000e-02	1.534632e+00	5.595241e-01	5.595241e-01
5.000000e-02	6.000000e-02	5.782043e-01	2.814559e-01	2.814559e-01
6.000000e-02	7.000000e-02	6.086018e-01	3.104391e-01	3.104391e-01
7.000000e-02	8.000000e-02	1.120891e+00	4.235822e-01	4.235822e-01
8.000000e-02	9.000000e-02	5.404317e-01	2.674250e-01	2.674250e-01
9.000000e-02	1.000000e-01	8.334394e-02	8.334394e-02	8.334394e-02
1.000000e-01	1.100000e-01	5.567284e-01	2.629273e-01	2.629273e-01
1.100000e-01	1.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e-01	1.300000e-01	7.594138e-02	7.594139e-02	7.594139e-02
1.300000e-01	1.400000e-01	3.697556e-01	2.215903e-01	2.215903e-01
1.400000e-01	1.500000e-01	6.201255e-01	3.230274e-01	3.230274e-01
1.500000e-01	1.600000e-01	2.600580e-01	1.870019e-01	1.870019e-01
1.600000e-01	1.700000e-01	1.455032e-01	1.249684e-01	1.249684e-01
1.700000e-01	1.800000e-01	2.915249e-01	2.155799e-01	2.155799e-01
1.800000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	2.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.200000e-01	2.400000e-01	9.397325e-02	9.397325e-02	9.397325e-02
2.400000e-01	2.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e-01	2.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.900000e-01	3.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

