# BEGIN PLOT
LegendOnly=/ATLAS_2020_I1808726/d12-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d12-x01-y01
DrawOnly=/ATLAS_2020_I1808726/d12-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d12-x01-y01
Title=Transverse Thrust for $n^{\mathrm{jet}} \geq 6$, $H_{T2} >$ 2.0 TeV
RatioPlotReference=/ATLAS_2020_I1808726/d12-x01-y01
RatioPlot=1
LogY=1
XLabel=$\tau_\perp$
YLabel=$(1/\sigma(n^{\mathrm{jet}} \geq 2) d\sigma/d\tau_\perp$
Legend=1
# END PLOT

# BEGIN HISTO1D /ATLAS_2020_I1808726/d12-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2020_I1808726/d12-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	6.293080e-03	8.360481e-04	8.616963e-04
1.000000e-02	2.000000e-02	2.463550e-02	2.399584e-03	2.451694e-03
2.000000e-02	3.000000e-02	3.508840e-02	3.066026e-03	3.149949e-03
3.000000e-02	4.000000e-02	4.437900e-02	3.648396e-03	3.762698e-03
4.000000e-02	5.000000e-02	5.058240e-02	3.751684e-03	3.897370e-03
5.000000e-02	6.000000e-02	5.077410e-02	3.697167e-03	3.847432e-03
6.000000e-02	7.000000e-02	5.211890e-02	3.827199e-03	3.981121e-03
7.000000e-02	8.000000e-02	5.326520e-02	3.759155e-03	3.922896e-03
8.000000e-02	9.000000e-02	5.287070e-02	3.820500e-03	3.978942e-03
9.000000e-02	1.000000e-01	4.825400e-02	3.468515e-03	3.612639e-03
1.000000e-01	1.100000e-01	4.162000e-02	3.116651e-03	3.234348e-03
1.100000e-01	1.200000e-01	3.297320e-02	2.514868e-03	2.604345e-03
1.200000e-01	1.300000e-01	2.892830e-02	2.254133e-03	2.328502e-03
1.300000e-01	1.400000e-01	2.798140e-02	2.259879e-03	2.326249e-03
1.400000e-01	1.500000e-01	2.264460e-02	1.889278e-03	1.938239e-03
1.500000e-01	1.600000e-01	2.019310e-02	1.806543e-03	1.844160e-03
1.600000e-01	1.700000e-01	1.724820e-02	1.599311e-03	1.627193e-03
1.700000e-01	1.800000e-01	1.441260e-02	1.339836e-03	1.359987e-03
1.800000e-01	2.000000e-01	1.114310e-02	9.875426e-04	9.959218e-04
2.000000e-01	2.200000e-01	7.346270e-03	7.315780e-04	7.351846e-04
2.200000e-01	2.400000e-01	5.069750e-03	6.006774e-04	6.019457e-04
2.400000e-01	2.600000e-01	4.359830e-03	5.494630e-04	5.497722e-04
2.600000e-01	2.900000e-01	2.479900e-03	3.521318e-04	3.525735e-04
2.900000e-01	3.300000e-01	1.083090e-03	1.959224e-04	1.947954e-04
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d12-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d12-x01-y01
ScaledBy=2.04476505276740034e+05
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-02	2.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-02	3.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-02	4.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-02	5.000000e-02	5.009905e-02	3.583089e-02	3.583089e-02
5.000000e-02	6.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-02	7.000000e-02	1.398543e-02	1.398544e-02	1.398544e-02
7.000000e-02	8.000000e-02	8.906503e-02	8.906503e-02	8.906503e-02
8.000000e-02	9.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e-02	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	1.100000e-01	6.942183e-02	6.942183e-02	6.942183e-02
1.100000e-01	1.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e-01	1.300000e-01	1.927931e-01	1.491672e-01	1.491672e-01
1.300000e-01	1.400000e-01	5.961526e-02	5.961527e-02	5.961527e-02
1.400000e-01	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e-01	1.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e-01	1.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.700000e-01	1.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	2.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.200000e-01	2.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e-01	2.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e-01	2.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.900000e-01	3.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

