# BEGIN PLOT
LegendOnly=/ATLAS_2020_I1808726/d16-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d16-x01-y01
DrawOnly=/ATLAS_2020_I1808726/d16-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d16-x01-y01
Title=Thrust Minor for $n^{\mathrm{jet}} \geq 6$, 1.0 TeV $< H_{T2} <$ 1.5 TeV
RatioPlotReference=/ATLAS_2020_I1808726/d16-x01-y01
RatioPlot=1
LogY=1
XLabel=$T_{m}$
YLabel=$(1/\sigma(n^{\mathrm{jet}} \geq 2) d\sigma/dT_{m}$
Legend=1
# END PLOT

# BEGIN HISTO1D /ATLAS_2020_I1808726/d16-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2020_I1808726/d16-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-02	4.000000e-02	6.346960e-06	3.014904e-06	3.014048e-06
4.000000e-02	6.000000e-02	3.417020e-05	9.274804e-06	9.268338e-06
6.000000e-02	8.000000e-02	1.719240e-04	2.285133e-05	2.280241e-05
8.000000e-02	1.000000e-01	4.556130e-04	3.601900e-05	3.588348e-05
1.000000e-01	1.200000e-01	9.320570e-04	6.396675e-05	6.385060e-05
1.200000e-01	1.400000e-01	1.479080e-03	9.753355e-05	9.768687e-05
1.400000e-01	1.600000e-01	2.553510e-03	1.541122e-04	1.550623e-04
1.600000e-01	1.800000e-01	3.799630e-03	2.240938e-04	2.265501e-04
1.800000e-01	2.000000e-01	5.056540e-03	2.797062e-04	2.846083e-04
2.000000e-01	2.200000e-01	6.196750e-03	3.407752e-04	3.485320e-04
2.200000e-01	2.400000e-01	7.439400e-03	4.110535e-04	4.223083e-04
2.400000e-01	2.600000e-01	8.287850e-03	4.676184e-04	4.819829e-04
2.600000e-01	2.800000e-01	9.019210e-03	5.098717e-04	5.276155e-04
2.800000e-01	3.000000e-01	9.809740e-03	5.572770e-04	5.786579e-04
3.000000e-01	3.200000e-01	1.003260e-02	5.796404e-04	6.031849e-04
3.200000e-01	3.400000e-01	1.001180e-02	5.865180e-04	6.115400e-04
3.400000e-01	3.600000e-01	1.018470e-02	6.076999e-04	6.343834e-04
3.600000e-01	3.800000e-01	9.891300e-03	5.980265e-04	6.250679e-04
3.800000e-01	4.000000e-01	8.891840e-03	5.405811e-04	5.659291e-04
4.000000e-01	4.200000e-01	8.231510e-03	5.013329e-04	5.257242e-04
4.200000e-01	4.400000e-01	7.710530e-03	4.719407e-04	4.954857e-04
4.400000e-01	4.600000e-01	7.238340e-03	4.571562e-04	4.792692e-04
4.600000e-01	4.800000e-01	6.650090e-03	4.319406e-04	4.522549e-04
4.800000e-01	5.200000e-01	5.363440e-03	3.143463e-04	3.257091e-04
5.200000e-01	5.700000e-01	3.956660e-03	2.297216e-04	2.373227e-04
5.700000e-01	6.600000e-01	1.869550e-03	1.169997e-04	1.229118e-04
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d16-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d16-x01-y01
ScaledBy=4.00450954117010724e+03
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-02	4.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-02	6.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-02	8.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-02	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	1.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e-01	1.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.400000e-01	1.600000e-01	4.452109e-03	4.452109e-03	4.452109e-03
1.600000e-01	1.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e-01	2.000000e-01	6.067305e-03	6.067304e-03	6.067304e-03
2.000000e-01	2.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.200000e-01	2.400000e-01	2.699626e-03	2.699625e-03	2.699625e-03
2.400000e-01	2.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e-01	2.800000e-01	1.514383e-03	1.514383e-03	1.514383e-03
2.800000e-01	3.000000e-01	7.915950e-03	5.636785e-03	5.636785e-03
3.000000e-01	3.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e-01	3.400000e-01	9.592860e-03	9.592862e-03	9.592862e-03
3.400000e-01	3.600000e-01	1.115819e-01	8.815485e-02	8.815485e-02
3.600000e-01	3.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.800000e-01	4.000000e-01	1.712424e-02	1.004596e-02	1.004596e-02
4.000000e-01	4.200000e-01	4.648756e-02	3.258965e-02	3.258965e-02
4.200000e-01	4.400000e-01	5.438125e-03	4.011527e-03	4.011527e-03
4.400000e-01	4.600000e-01	2.665475e-03	2.665476e-03	2.665476e-03
4.600000e-01	4.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e-01	5.200000e-01	4.484302e-03	3.453523e-03	3.453523e-03
5.200000e-01	5.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.700000e-01	6.600000e-01	4.783638e-04	4.783639e-04	4.783639e-04
# END HISTO1D

