# BEGIN PLOT
LegendOnly=/ATLAS_2020_I1808726/d18-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d18-x01-y01
DrawOnly=/ATLAS_2020_I1808726/d18-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d18-x01-y01
Title=Thrust Minor for $n^{\mathrm{jet}} = 4$, 1.5 TeV $< H_{T2} <$ 2.0 TeV
RatioPlotReference=/ATLAS_2020_I1808726/d18-x01-y01
RatioPlot=1
LogY=1
XLabel=$T_{m}$
YLabel=$(1/\sigma(n^{\mathrm{jet}} \geq 2) d\sigma/dT_{m}$
Legend=1
# END PLOT

# BEGIN HISTO1D /ATLAS_2020_I1808726/d18-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2020_I1808726/d18-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	9.930700e-03	4.171940e-04	4.303418e-04
2.000000e-02	4.000000e-02	5.544560e-02	1.704685e-03	1.735055e-03
4.000000e-02	6.000000e-02	1.328500e-01	3.833082e-03	3.912261e-03
6.000000e-02	8.000000e-02	2.203800e-01	5.948047e-03	6.090967e-03
8.000000e-02	1.000000e-01	3.032120e-01	7.758932e-03	7.969487e-03
1.000000e-01	1.200000e-01	3.756940e-01	9.418134e-03	9.687932e-03
1.200000e-01	1.400000e-01	4.147780e-01	1.032146e-02	1.062473e-02
1.400000e-01	1.600000e-01	4.189170e-01	1.045315e-02	1.076109e-02
1.600000e-01	1.800000e-01	3.985340e-01	9.920478e-03	1.021566e-02
1.800000e-01	2.000000e-01	3.718710e-01	9.309028e-03	9.583624e-03
2.000000e-01	2.200000e-01	3.379180e-01	8.496038e-03	8.744432e-03
2.200000e-01	2.400000e-01	2.994940e-01	7.558105e-03	7.776798e-03
2.400000e-01	2.600000e-01	2.619330e-01	6.629516e-03	6.819159e-03
2.600000e-01	2.800000e-01	2.233480e-01	5.657700e-03	5.817958e-03
2.800000e-01	3.000000e-01	1.898290e-01	4.827306e-03	4.961554e-03
3.000000e-01	3.200000e-01	1.617930e-01	4.259775e-03	4.368953e-03
3.200000e-01	3.400000e-01	1.369840e-01	3.613137e-03	3.704010e-03
3.400000e-01	3.600000e-01	1.155960e-01	3.069709e-03	3.144561e-03
3.600000e-01	3.800000e-01	9.600660e-02	2.566593e-03	2.627161e-03
3.800000e-01	4.000000e-01	7.790690e-02	2.126456e-03	2.173591e-03
4.000000e-01	4.200000e-01	6.489640e-02	1.811033e-03	1.848564e-03
4.200000e-01	4.400000e-01	5.287870e-02	1.521737e-03	1.550678e-03
4.400000e-01	4.600000e-01	4.340680e-02	1.263372e-03	1.286245e-03
4.600000e-01	4.800000e-01	3.434070e-02	1.069655e-03	1.086110e-03
4.800000e-01	5.200000e-01	2.461770e-02	7.314533e-04	7.444967e-04
5.200000e-01	5.700000e-01	1.285210e-02	4.087217e-04	4.150628e-04
5.700000e-01	6.600000e-01	3.838390e-03	1.531952e-04	1.547013e-04
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d18-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d18-x01-y01
ScaledBy=4.16271872778093239e+04
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-02	4.000000e-02	1.103323e-01	4.963532e-02	4.963532e-02
4.000000e-02	6.000000e-02	2.374057e-01	1.062360e-01	1.062360e-01
6.000000e-02	8.000000e-02	3.638707e-01	1.600318e-01	1.600318e-01
8.000000e-02	1.000000e-01	3.680757e-01	1.145734e-01	1.145734e-01
1.000000e-01	1.200000e-01	2.530968e-01	9.392654e-02	9.392654e-02
1.200000e-01	1.400000e-01	7.985225e-01	2.551662e-01	2.551662e-01
1.400000e-01	1.600000e-01	4.902596e-01	1.468247e-01	1.468247e-01
1.600000e-01	1.800000e-01	3.696925e-01	1.292340e-01	1.292340e-01
1.800000e-01	2.000000e-01	3.038324e-01	1.064097e-01	1.064097e-01
2.000000e-01	2.200000e-01	2.551397e-01	1.325933e-01	1.325933e-01
2.200000e-01	2.400000e-01	2.052472e-01	8.308791e-02	8.308791e-02
2.400000e-01	2.600000e-01	1.894537e-01	7.279456e-02	7.279456e-02
2.600000e-01	2.800000e-01	7.082240e-02	4.459196e-02	4.459196e-02
2.800000e-01	3.000000e-01	8.431200e-02	4.510382e-02	4.510382e-02
3.000000e-01	3.200000e-01	3.724033e-01	1.420172e-01	1.420172e-01
3.200000e-01	3.400000e-01	1.970168e-01	9.423154e-02	9.423154e-02
3.400000e-01	3.600000e-01	5.990245e-02	3.194241e-02	3.194241e-02
3.600000e-01	3.800000e-01	1.474345e-01	5.830860e-02	5.830860e-02
3.800000e-01	4.000000e-01	8.211230e-02	6.211715e-02	6.211715e-02
4.000000e-01	4.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e-01	4.400000e-01	2.764439e-02	2.068011e-02	2.068011e-02
4.400000e-01	4.600000e-01	1.870920e-02	1.870921e-02	1.870921e-02
4.600000e-01	4.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e-01	5.200000e-01	2.824680e-02	2.216621e-02	2.216621e-02
5.200000e-01	5.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.700000e-01	6.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

