# BEGIN PLOT
LegendOnly=/ATLAS_2020_I1808726/d19-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d19-x01-y01
DrawOnly=/ATLAS_2020_I1808726/d19-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d19-x01-y01
RatioPlotReference=/ATLAS_2020_I1808726/d19-x01-y01
RatioPlot=1
LogY=1
Legend=1
# END PLOT

# BEGIN HISTO1D /ATLAS_2020_I1808726/d19-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2020_I1808726/d19-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	1.102720e-04	3.615906e-05	3.617612e-05
2.000000e-02	4.000000e-02	1.327130e-03	1.473562e-04	1.495077e-04
4.000000e-02	6.000000e-02	5.958900e-03	3.518151e-04	3.690612e-04
6.000000e-02	8.000000e-02	1.492290e-02	7.176755e-04	7.681167e-04
8.000000e-02	1.000000e-01	2.704870e-02	1.241983e-03	1.333695e-03
1.000000e-01	1.200000e-01	4.225940e-02	1.937749e-03	2.075320e-03
1.200000e-01	1.400000e-01	5.784790e-02	2.557726e-03	2.744178e-03
1.400000e-01	1.600000e-01	7.100580e-02	2.988712e-03	3.217556e-03
1.600000e-01	1.800000e-01	7.870790e-02	3.227903e-03	3.475619e-03
1.800000e-01	2.000000e-01	8.446190e-02	3.492558e-03	3.743502e-03
2.000000e-01	2.200000e-01	8.872700e-02	3.633967e-03	3.886465e-03
2.200000e-01	2.400000e-01	8.463490e-02	3.472815e-03	3.700608e-03
2.400000e-01	2.600000e-01	8.299070e-02	3.384625e-03	3.597050e-03
2.600000e-01	2.800000e-01	7.604120e-02	3.120258e-03	3.302931e-03
2.800000e-01	3.000000e-01	6.772980e-02	2.793876e-03	2.946457e-03
3.000000e-01	3.200000e-01	6.123590e-02	2.529108e-03	2.658813e-03
3.200000e-01	3.400000e-01	5.435980e-02	2.240820e-03	2.349312e-03
3.400000e-01	3.600000e-01	4.849190e-02	1.991122e-03	2.082440e-03
3.600000e-01	3.800000e-01	4.140590e-02	1.743584e-03	1.815134e-03
3.800000e-01	4.000000e-01	3.402780e-02	1.415167e-03	1.471149e-03
4.000000e-01	4.200000e-01	2.932440e-02	1.272135e-03	1.315762e-03
4.200000e-01	4.400000e-01	2.489150e-02	1.104875e-03	1.139058e-03
4.400000e-01	4.600000e-01	2.160540e-02	9.698545e-04	9.976299e-04
4.600000e-01	4.800000e-01	1.776540e-02	7.722549e-04	7.946369e-04
4.800000e-01	5.200000e-01	1.340910e-02	5.907254e-04	6.168129e-04
5.200000e-01	5.700000e-01	7.901360e-03	3.531677e-04	3.692144e-04
5.700000e-01	6.600000e-01	2.784240e-03	1.408435e-04	1.461397e-04
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d19-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d19-x01-y01
ScaledBy=4.16271872778093239e+04
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-02	4.000000e-02	1.462853e-02	1.462853e-02	1.462853e-02
4.000000e-02	6.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-02	8.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-02	1.000000e-01	4.899672e-02	3.475411e-02	3.475411e-02
1.000000e-01	1.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e-01	1.400000e-01	7.758760e-02	4.081477e-02	4.081477e-02
1.400000e-01	1.600000e-01	1.351199e-01	8.030548e-02	8.030548e-02
1.600000e-01	1.800000e-01	1.204894e-01	5.397045e-02	5.397045e-02
1.800000e-01	2.000000e-01	2.654930e-02	2.654930e-02	2.654930e-02
2.000000e-01	2.200000e-01	1.661521e-01	9.480059e-02	9.480059e-02
2.200000e-01	2.400000e-01	5.774875e-02	3.086860e-02	3.086860e-02
2.400000e-01	2.600000e-01	5.242270e-02	5.242271e-02	5.242271e-02
2.600000e-01	2.800000e-01	6.101030e-02	3.599620e-02	3.599620e-02
2.800000e-01	3.000000e-01	1.059871e-01	6.789630e-02	6.789630e-02
3.000000e-01	3.200000e-01	5.506840e-02	3.368374e-02	3.368374e-02
3.200000e-01	3.400000e-01	1.228166e-02	1.228166e-02	1.228166e-02
3.400000e-01	3.600000e-01	1.082472e-01	6.335677e-02	6.335677e-02
3.600000e-01	3.800000e-01	5.769885e-02	4.572926e-02	4.572926e-02
3.800000e-01	4.000000e-01	3.227975e-02	2.526556e-02	2.526556e-02
4.000000e-01	4.200000e-01	5.274085e-02	3.817349e-02	3.817349e-02
4.200000e-01	4.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e-01	4.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.600000e-01	4.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e-01	5.200000e-01	3.187815e-02	2.270873e-02	2.270873e-02
5.200000e-01	5.700000e-01	5.958924e-03	5.958924e-03	5.958924e-03
5.700000e-01	6.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

