# BEGIN PLOT
LegendOnly=/ATLAS_2020_I1808726/d23-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d23-x01-y01
DrawOnly=/ATLAS_2020_I1808726/d23-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d23-x01-y01
Title=Thrust Minor for $n^{\mathrm{jet}} = 5$, $H_{T2} >$ 2.0 TeV
RatioPlotReference=/ATLAS_2020_I1808726/d23-x01-y01
RatioPlot=1
LogY=1
XLabel=$T_{m}$
YLabel=$(1/\sigma(n^{\mathrm{jet}} \geq 2) d\sigma/dT_{m}$
Legend=1
# END PLOT

# BEGIN HISTO1D /ATLAS_2020_I1808726/d23-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2020_I1808726/d23-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	3.942780e-04	1.472653e-04	1.472063e-04
2.000000e-02	4.000000e-02	4.600440e-03	5.487659e-04	5.509239e-04
4.000000e-02	6.000000e-02	1.608300e-02	1.046718e-03	1.060253e-03
6.000000e-02	8.000000e-02	3.717480e-02	1.883637e-03	1.922817e-03
8.000000e-02	1.000000e-01	6.514520e-02	3.051274e-03	3.123518e-03
1.000000e-01	1.200000e-01	8.844330e-02	4.152226e-03	4.247066e-03
1.200000e-01	1.400000e-01	1.013340e-01	4.633182e-03	4.740648e-03
1.400000e-01	1.600000e-01	1.164600e-01	5.307353e-03	5.425998e-03
1.600000e-01	1.800000e-01	1.191530e-01	5.375269e-03	5.491855e-03
1.800000e-01	2.000000e-01	1.131930e-01	5.128202e-03	5.232276e-03
2.000000e-01	2.200000e-01	1.070440e-01	4.908090e-03	4.999040e-03
2.200000e-01	2.400000e-01	9.809850e-02	4.497371e-03	4.574526e-03
2.400000e-01	2.600000e-01	8.590060e-02	4.014949e-03	4.075551e-03
2.600000e-01	2.800000e-01	7.380510e-02	3.529650e-03	3.575499e-03
2.800000e-01	3.000000e-01	6.645890e-02	3.161392e-03	3.198069e-03
3.000000e-01	3.200000e-01	5.767570e-02	2.788746e-03	2.815753e-03
3.200000e-01	3.400000e-01	4.795580e-02	2.442318e-03	2.460083e-03
3.400000e-01	3.600000e-01	3.681100e-02	1.919578e-03	1.930104e-03
3.600000e-01	3.800000e-01	3.070660e-02	1.655179e-03	1.661332e-03
3.800000e-01	4.000000e-01	2.706320e-02	1.422418e-03	1.425774e-03
4.000000e-01	4.200000e-01	2.279360e-02	1.299981e-03	1.300803e-03
4.200000e-01	4.400000e-01	1.748330e-02	1.059829e-03	1.059083e-03
4.400000e-01	4.600000e-01	1.401340e-02	8.803880e-04	8.787319e-04
4.600000e-01	4.800000e-01	1.214610e-02	8.000038e-04	7.977042e-04
4.800000e-01	5.200000e-01	8.710260e-03	6.196514e-04	6.196966e-04
5.200000e-01	5.700000e-01	4.204480e-03	3.509909e-04	3.510600e-04
5.700000e-01	6.600000e-01	1.169620e-03	1.318691e-04	1.318938e-04
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d23-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d23-x01-y01
ScaledBy=2.04476505276740034e+05
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-02	4.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-02	6.000000e-02	6.220855e-02	6.220856e-02	6.220856e-02
6.000000e-02	8.000000e-02	4.281132e-02	4.281132e-02	4.281132e-02
8.000000e-02	1.000000e-01	9.879950e-02	6.784532e-02	6.784532e-02
1.000000e-01	1.200000e-01	5.339140e-02	3.540536e-02	3.540536e-02
1.200000e-01	1.400000e-01	9.425860e-02	6.859134e-02	6.859134e-02
1.400000e-01	1.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e-01	1.800000e-01	1.438006e-01	9.435215e-02	9.435215e-02
1.800000e-01	2.000000e-01	1.304335e-01	8.337506e-02	8.337506e-02
2.000000e-01	2.200000e-01	1.926168e-02	1.526548e-02	1.526548e-02
2.200000e-01	2.400000e-01	8.786285e-02	8.280512e-02	8.280512e-02
2.400000e-01	2.600000e-01	2.866326e-01	2.542589e-01	2.542589e-01
2.600000e-01	2.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e-01	3.000000e-01	2.074890e-02	2.074890e-02	2.074890e-02
3.000000e-01	3.200000e-01	2.234452e-02	2.234452e-02	2.234452e-02
3.200000e-01	3.400000e-01	6.044815e-02	6.044812e-02	6.044812e-02
3.400000e-01	3.600000e-01	1.362548e-01	1.003291e-01	1.003291e-01
3.600000e-01	3.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.800000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	4.200000e-01	9.682230e-02	7.175920e-02	7.175920e-02
4.200000e-01	4.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e-01	4.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.600000e-01	4.800000e-01	4.451529e-02	4.451529e-02	4.451529e-02
4.800000e-01	5.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e-01	5.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.700000e-01	6.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

