# BEGIN PLOT
LegendOnly=/ATLAS_2020_I1808726/d25-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d25-x01-y01
DrawOnly=/ATLAS_2020_I1808726/d25-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d25-x01-y01
Title=Transverse Sphericity for $n^{\mathrm{jet}} = 3$, 1.0 TeV $< H_{T2} <$ 1.5 TeV
RatioPlotReference=/ATLAS_2020_I1808726/d25-x01-y01
RatioPlot=1
LogY=1
XLabel=$S_\perp$
YLabel=$(1/\sigma(n^{\mathrm{jet}} \geq 2) d\sigma/dS_\perp$
Legend=1
# END PLOT

# BEGIN HISTO1D /ATLAS_2020_I1808726/d25-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2020_I1808726/d25-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e-02	2.329400e+00	3.327310e-02	3.446182e-02
3.000000e-02	6.000000e-02	1.415890e+00	2.086313e-02	2.112275e-02
6.000000e-02	9.000000e-02	9.388270e-01	1.404592e-02	1.418816e-02
9.000000e-02	1.200000e-01	7.124120e-01	1.076795e-02	1.085473e-02
1.200000e-01	1.600000e-01	6.203600e-01	9.963223e-03	1.000195e-02
1.600000e-01	2.000000e-01	5.882440e-01	9.564104e-03	9.596294e-03
2.000000e-01	2.400000e-01	4.703490e-01	7.773212e-03	7.797194e-03
2.400000e-01	2.800000e-01	3.338700e-01	5.640369e-03	5.657629e-03
2.800000e-01	3.200000e-01	2.410680e-01	4.172669e-03	4.186507e-03
3.200000e-01	3.600000e-01	1.777160e-01	3.151245e-03	3.163421e-03
3.600000e-01	4.000000e-01	1.327370e-01	2.434597e-03	2.445794e-03
4.000000e-01	4.400000e-01	1.017160e-01	1.912256e-03	1.923076e-03
4.400000e-01	4.800000e-01	7.914640e-02	1.549265e-03	1.559698e-03
4.800000e-01	5.200000e-01	6.189900e-02	1.248112e-03	1.258221e-03
5.200000e-01	5.600000e-01	4.821500e-02	1.006518e-03	1.016079e-03
5.600000e-01	6.000000e-01	3.819810e-02	8.294585e-04	8.384655e-04
6.000000e-01	6.400000e-01	3.033330e-02	6.833223e-04	6.917110e-04
6.400000e-01	6.800000e-01	2.327550e-02	5.485188e-04	5.558892e-04
6.800000e-01	7.200000e-01	1.868830e-02	4.620523e-04	4.687101e-04
7.200000e-01	7.600000e-01	1.462840e-02	3.971985e-04	4.027266e-04
7.600000e-01	8.000000e-01	1.115710e-02	3.247271e-04	3.292498e-04
8.000000e-01	8.400000e-01	8.793130e-03	2.975888e-04	3.010757e-04
8.400000e-01	8.800000e-01	5.720290e-03	2.045960e-04	2.070082e-04
8.800000e-01	9.200000e-01	3.961940e-03	1.807502e-04	1.822102e-04
9.200000e-01	9.600000e-01	2.258950e-03	1.205320e-04	1.213172e-04
9.600000e-01	1.000000e+00	7.416230e-04	6.728412e-05	6.744400e-05
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d25-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d25-x01-y01
ScaledBy=4.00450954117010724e+03
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e-02	2.733190e+00	2.002694e-01	2.002694e-01
3.000000e-02	6.000000e-02	1.325414e+00	1.288425e-01	1.288425e-01
6.000000e-02	9.000000e-02	9.831810e-01	1.187634e-01	1.187634e-01
9.000000e-02	1.200000e-01	6.232310e-01	8.910016e-02	8.910016e-02
1.200000e-01	1.600000e-01	4.987240e-01	6.509593e-02	6.509593e-02
1.600000e-01	2.000000e-01	6.257035e-01	7.986316e-02	7.986316e-02
2.000000e-01	2.400000e-01	5.486103e-01	7.769617e-02	7.769617e-02
2.400000e-01	2.800000e-01	2.946630e-01	5.603718e-02	5.603718e-02
2.800000e-01	3.200000e-01	3.169500e-01	5.482597e-02	5.482597e-02
3.200000e-01	3.600000e-01	2.411958e-01	5.152083e-02	5.152083e-02
3.600000e-01	4.000000e-01	1.539646e-01	4.416080e-02	4.416080e-02
4.000000e-01	4.400000e-01	1.020907e-01	3.100482e-02	3.100482e-02
4.400000e-01	4.800000e-01	8.484265e-02	2.870221e-02	2.870221e-02
4.800000e-01	5.200000e-01	1.055749e-01	4.059667e-02	4.059667e-02
5.200000e-01	5.600000e-01	9.725887e-02	3.466315e-02	3.466315e-02
5.600000e-01	6.000000e-01	3.563575e-02	1.678500e-02	1.678500e-02
6.000000e-01	6.400000e-01	3.453620e-02	2.066128e-02	2.066128e-02
6.400000e-01	6.800000e-01	2.555775e-02	1.388941e-02	1.388941e-02
6.800000e-01	7.200000e-01	3.333560e-02	1.973267e-02	1.973267e-02
7.200000e-01	7.600000e-01	1.259610e-02	1.002498e-02	1.002498e-02
7.600000e-01	8.000000e-01	1.414306e-02	1.414306e-02	1.414306e-02
8.000000e-01	8.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e-01	8.800000e-01	1.834852e-02	1.394826e-02	1.394826e-02
8.800000e-01	9.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e-01	9.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

