# BEGIN PLOT
LegendOnly=/ATLAS_2020_I1808726/d35-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d35-x01-y01
DrawOnly=/ATLAS_2020_I1808726/d35-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d35-x01-y01
Title=Transverse Sphericity for $n^{\mathrm{jet}} = 5$, $H_{T2} >$ 2.0 TeV
RatioPlotReference=/ATLAS_2020_I1808726/d35-x01-y01
RatioPlot=1
LogY=1
XLabel=$S_\perp$
YLabel=$(1/\sigma(n^{\mathrm{jet}} \geq 2) d\sigma/dS_\perp$
Legend=1
# END PLOT

# BEGIN HISTO1D /ATLAS_2020_I1808726/d35-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2020_I1808726/d35-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e-02	2.339730e-02	1.234717e-03	1.263663e-03
3.000000e-02	6.000000e-02	5.995730e-02	2.801710e-03	2.892517e-03
6.000000e-02	9.000000e-02	7.781780e-02	3.534643e-03	3.654322e-03
9.000000e-02	1.200000e-01	9.088480e-02	4.157586e-03	4.295356e-03
1.200000e-01	1.600000e-01	9.245710e-02	3.809654e-03	4.008415e-03
1.600000e-01	2.000000e-01	8.493010e-02	3.494576e-03	3.684920e-03
2.000000e-01	2.400000e-01	7.371920e-02	3.016794e-03	3.190465e-03
2.400000e-01	2.800000e-01	5.921020e-02	2.467759e-03	2.611669e-03
2.800000e-01	3.200000e-01	4.534330e-02	1.876646e-03	1.993416e-03
3.200000e-01	3.600000e-01	3.678690e-02	1.615177e-03	1.709670e-03
3.600000e-01	4.000000e-01	2.753370e-02	1.186448e-03	1.262425e-03
4.000000e-01	4.400000e-01	2.128910e-02	9.941397e-04	1.051607e-03
4.400000e-01	4.800000e-01	1.590800e-02	7.698824e-04	8.136411e-04
4.800000e-01	5.200000e-01	1.253800e-02	6.326589e-04	6.675322e-04
5.200000e-01	5.600000e-01	9.508110e-03	5.280094e-04	5.533347e-04
5.600000e-01	6.000000e-01	7.946700e-03	5.044379e-04	5.239036e-04
6.000000e-01	6.400000e-01	5.977950e-03	4.038435e-04	4.182023e-04
6.400000e-01	6.800000e-01	4.187300e-03	3.181491e-04	3.274532e-04
6.800000e-01	7.200000e-01	3.496910e-03	2.932528e-04	3.005344e-04
7.200000e-01	7.600000e-01	2.163030e-03	2.113106e-04	2.152925e-04
7.600000e-01	8.000000e-01	1.612360e-03	1.746881e-04	1.774263e-04
8.000000e-01	8.400000e-01	1.202660e-03	1.740281e-04	1.755874e-04
8.400000e-01	8.800000e-01	9.421100e-04	1.507908e-04	1.519082e-04
8.800000e-01	9.200000e-01	5.270980e-04	1.126021e-04	1.130741e-04
9.200000e-01	9.600000e-01	5.296260e-04	1.258922e-04	1.263192e-04
9.600000e-01	1.000000e+00	1.574230e-04	6.840061e-05	6.846768e-05
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d35-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d35-x01-y01
ScaledBy=2.04476505276740034e+05
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e-02	5.658427e-02	4.413987e-02	4.413987e-02
3.000000e-02	6.000000e-02	7.929530e-02	5.130287e-02	5.130287e-02
6.000000e-02	9.000000e-02	3.559427e-02	2.360357e-02	2.360357e-02
9.000000e-02	1.200000e-01	2.378291e-02	2.378290e-02	2.378290e-02
1.200000e-01	1.600000e-01	7.323315e-02	4.750426e-02	4.750426e-02
1.600000e-01	2.000000e-01	7.297472e-02	4.221530e-02	4.221530e-02
2.000000e-01	2.400000e-01	4.982400e-02	3.390922e-02	3.390922e-02
2.400000e-01	2.800000e-01	1.672559e-01	1.325412e-01	1.325412e-01
2.800000e-01	3.200000e-01	1.117226e-02	1.117226e-02	1.117226e-02
3.200000e-01	3.600000e-01	5.433285e-02	4.516604e-02	4.516604e-02
3.600000e-01	4.000000e-01	5.439302e-02	3.869926e-02	3.869926e-02
4.000000e-01	4.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e-01	4.800000e-01	3.180578e-02	3.180579e-02	3.180579e-02
4.800000e-01	5.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e-01	5.600000e-01	1.660535e-02	1.660535e-02	1.660535e-02
5.600000e-01	6.000000e-01	2.225765e-02	2.225765e-02	2.225765e-02
6.000000e-01	6.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.400000e-01	6.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.800000e-01	7.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e-01	7.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e-01	8.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-01	8.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e-01	8.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.800000e-01	9.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e-01	9.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

