# BEGIN PLOT
LegendOnly=/ATLAS_2020_I1808726/d53-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d53-x01-y01
DrawOnly=/ATLAS_2020_I1808726/d53-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d53-x01-y01
Title=C for $n^{\mathrm{jet}} = 3$, 1.5 TeV $< H_{T2} <$ 2.0 TeV
RatioPlotReference=/ATLAS_2020_I1808726/d53-x01-y01
RatioPlot=1
LogY=1
XLabel=$C$
YLabel=$(1/\sigma(n^{\mathrm{jet}} \geq 2) d\sigma/dC$
Legend=1
# END PLOT

# BEGIN HISTO1D /ATLAS_2020_I1808726/d53-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2020_I1808726/d53-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e-02	5.073990e-02	7.311431e-04	7.457117e-04
3.000000e-02	6.000000e-02	2.033600e-01	2.028456e-03	2.085789e-03
6.000000e-02	9.000000e-02	2.874500e-01	2.749490e-03	2.833956e-03
9.000000e-02	1.200000e-01	3.184730e-01	3.139240e-03	3.230087e-03
1.200000e-01	1.600000e-01	3.437260e-01	3.505158e-03	3.596199e-03
1.600000e-01	2.000000e-01	3.582780e-01	3.705887e-03	3.797025e-03
2.000000e-01	2.400000e-01	3.662110e-01	3.750253e-03	3.840936e-03
2.400000e-01	2.800000e-01	3.692370e-01	3.908384e-03	3.992566e-03
2.800000e-01	3.200000e-01	3.741130e-01	3.962397e-03	4.041982e-03
3.200000e-01	3.600000e-01	3.717670e-01	3.965286e-03	4.036774e-03
3.600000e-01	4.000000e-01	3.725000e-01	4.124337e-03	4.184914e-03
4.000000e-01	4.400000e-01	3.843980e-01	4.394112e-03	4.444330e-03
4.400000e-01	4.800000e-01	4.003290e-01	4.583794e-03	4.623054e-03
4.800000e-01	5.200000e-01	4.195310e-01	4.979202e-03	5.003389e-03
5.200000e-01	5.600000e-01	4.435130e-01	5.377646e-03	5.383958e-03
5.600000e-01	6.000000e-01	4.733330e-01	5.788536e-03	5.772446e-03
6.000000e-01	6.400000e-01	4.984880e-01	6.375016e-03	6.332837e-03
6.400000e-01	6.800000e-01	5.208370e-01	6.902618e-03	6.830843e-03
6.800000e-01	7.200000e-01	5.334090e-01	7.239511e-03	7.135470e-03
7.200000e-01	7.600000e-01	5.025160e-01	6.979359e-03	6.851219e-03
7.600000e-01	8.000000e-01	1.865060e-01	2.780188e-03	2.723878e-03
8.000000e-01	8.400000e-01	6.260480e-02	1.121864e-03	1.102621e-03
8.400000e-01	9.200000e-01	1.448740e-02	2.781681e-04	2.759189e-04
9.200000e-01	1.000000e+00	1.379160e-03	7.410079e-05	7.407785e-05
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d53-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d53-x01-y01
ScaledBy=4.16271872778093239e+04
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e-02	5.709553e-02	4.280492e-02	4.280492e-02
3.000000e-02	6.000000e-02	1.564781e-01	5.292640e-02	5.292640e-02
6.000000e-02	9.000000e-02	2.348093e-01	7.238893e-02	7.238893e-02
9.000000e-02	1.200000e-01	4.374587e-01	1.078114e-01	1.078114e-01
1.200000e-01	1.600000e-01	3.841417e-01	8.206396e-02	8.206396e-02
1.600000e-01	2.000000e-01	3.691197e-01	9.913778e-02	9.913778e-02
2.000000e-01	2.400000e-01	4.625980e-01	9.653108e-02	9.653108e-02
2.400000e-01	2.800000e-01	4.758702e-01	1.118898e-01	1.118898e-01
2.800000e-01	3.200000e-01	3.173700e-01	8.939460e-02	8.939460e-02
3.200000e-01	3.600000e-01	3.020253e-01	8.033531e-02	8.033531e-02
3.600000e-01	4.000000e-01	4.118805e-01	8.426591e-02	8.426591e-02
4.000000e-01	4.400000e-01	4.005240e-01	9.290294e-02	9.290294e-02
4.400000e-01	4.800000e-01	3.294190e-01	8.013524e-02	8.013524e-02
4.800000e-01	5.200000e-01	4.240082e-01	9.981571e-02	9.981571e-02
5.200000e-01	5.600000e-01	4.084082e-01	9.114703e-02	9.114703e-02
5.600000e-01	6.000000e-01	4.050495e-01	1.017989e-01	1.017989e-01
6.000000e-01	6.400000e-01	5.848185e-01	1.294236e-01	1.294236e-01
6.400000e-01	6.800000e-01	5.374600e-01	1.070459e-01	1.070459e-01
6.800000e-01	7.200000e-01	5.334888e-01	1.121757e-01	1.121757e-01
7.200000e-01	7.600000e-01	5.617392e-01	1.142878e-01	1.142878e-01
7.600000e-01	8.000000e-01	1.378154e-01	4.839229e-02	4.839229e-02
8.000000e-01	8.400000e-01	2.857493e-02	2.857493e-02	2.857493e-02
8.400000e-01	9.200000e-01	8.316225e-03	8.316225e-03	8.316225e-03
9.200000e-01	1.000000e+00	7.678919e-03	7.678918e-03	7.678918e-03
# END HISTO1D

