# BEGIN PLOT
LegendOnly=/ATLAS_2020_I1808726/d56-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d56-x01-y01
DrawOnly=/ATLAS_2020_I1808726/d56-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d56-x01-y01
Title=C for $n^{\mathrm{jet}} \geq 6$, 1.5 TeV $< H_{T2} <$ 2.0 TeV
RatioPlotReference=/ATLAS_2020_I1808726/d56-x01-y01
RatioPlot=1
LogY=1
XLabel=$C$
YLabel=$(1/\sigma(n^{\mathrm{jet}} \geq 2) d\sigma/dC$
Legend=1
# END PLOT

# BEGIN HISTO1D /ATLAS_2020_I1808726/d56-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2020_I1808726/d56-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e-02	6.000000e-02	1.945160e-06	3.444390e-06	3.444345e-06
6.000000e-02	9.000000e-02	2.211670e-05	1.247556e-05	1.247403e-05
9.000000e-02	1.200000e-01	6.286290e-05	2.271433e-05	2.270795e-05
1.200000e-01	1.600000e-01	2.003990e-04	3.403139e-05	3.400995e-05
1.600000e-01	2.000000e-01	6.358340e-04	7.292166e-05	7.285482e-05
2.000000e-01	2.400000e-01	9.399730e-04	9.338152e-05	9.333337e-05
2.400000e-01	2.800000e-01	1.375370e-03	1.227400e-04	1.227813e-04
2.800000e-01	3.200000e-01	2.352610e-03	1.812517e-04	1.815934e-04
3.200000e-01	3.600000e-01	3.247680e-03	2.459158e-04	2.467879e-04
3.600000e-01	4.000000e-01	3.976680e-03	2.810482e-04	2.827359e-04
4.000000e-01	4.400000e-01	5.000370e-03	3.456050e-04	3.485006e-04
4.400000e-01	4.800000e-01	6.576310e-03	4.226744e-04	4.278148e-04
4.800000e-01	5.200000e-01	7.654670e-03	4.909880e-04	4.982123e-04
5.200000e-01	5.600000e-01	8.851020e-03	5.537294e-04	5.637326e-04
5.600000e-01	6.000000e-01	1.025870e-02	6.117064e-04	6.255683e-04
6.000000e-01	6.400000e-01	1.137210e-02	6.920167e-04	7.088649e-04
6.400000e-01	6.800000e-01	1.251700e-02	7.483879e-04	7.691470e-04
6.800000e-01	7.200000e-01	1.422400e-02	8.427321e-04	8.685599e-04
7.200000e-01	7.600000e-01	1.633640e-02	9.546336e-04	9.868716e-04
7.600000e-01	8.000000e-01	1.498260e-02	8.847393e-04	9.158061e-04
8.000000e-01	8.400000e-01	1.089670e-02	6.593025e-04	6.825206e-04
8.400000e-01	9.200000e-01	4.675040e-03	2.959781e-04	3.010163e-04
9.200000e-01	1.000000e+00	5.816220e-04	5.143604e-05	5.281480e-05
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d56-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d56-x01-y01
ScaledBy=4.16271872778093239e+04
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e-02	6.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-02	9.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e-02	1.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e-01	1.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	2.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e-01	2.800000e-01	9.313572e-03	9.313572e-03	9.313572e-03
2.800000e-01	3.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e-01	3.600000e-01	3.487863e-02	3.487863e-02	3.487863e-02
3.600000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	4.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e-01	4.800000e-01	2.742785e-03	2.742786e-03	2.742786e-03
4.800000e-01	5.200000e-01	1.509486e-02	1.153834e-02	1.153834e-02
5.200000e-01	5.600000e-01	1.771457e-02	1.273596e-02	1.273596e-02
5.600000e-01	6.000000e-01	3.397523e-03	3.397522e-03	3.397522e-03
6.000000e-01	6.400000e-01	1.490951e-02	1.193506e-02	1.193506e-02
6.400000e-01	6.800000e-01	1.816667e-02	1.816667e-02	1.816667e-02
6.800000e-01	7.200000e-01	1.058894e-02	7.518463e-03	7.518463e-03
7.200000e-01	7.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e-01	8.000000e-01	4.318715e-03	4.318714e-03	4.318714e-03
8.000000e-01	8.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e-01	9.200000e-01	5.046984e-03	4.646694e-03	4.646694e-03
9.200000e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

