# BEGIN PLOT
LegendOnly=/ATLAS_2020_I1808726/d57-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d57-x01-y01
DrawOnly=/ATLAS_2020_I1808726/d57-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d57-x01-y01
Title=C for $n^{\mathrm{jet}} = 3$, $H_{T2} >$ 2.0 TeV
RatioPlotReference=/ATLAS_2020_I1808726/d57-x01-y01
RatioPlot=1
LogY=1
XLabel=$C$
YLabel=$(1/\sigma(n^{\mathrm{jet}} \geq 2) d\sigma/dC$
Legend=1
# END PLOT

# BEGIN HISTO1D /ATLAS_2020_I1808726/d57-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2020_I1808726/d57-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e-02	7.637530e-02	2.091875e-03	2.126905e-03
3.000000e-02	6.000000e-02	3.000600e-01	6.035313e-03	6.091895e-03
6.000000e-02	9.000000e-02	3.949270e-01	7.538835e-03	7.616268e-03
9.000000e-02	1.200000e-01	4.367370e-01	8.348791e-03	8.433000e-03
1.200000e-01	1.600000e-01	4.559170e-01	8.668835e-03	8.748114e-03
1.600000e-01	2.000000e-01	4.656350e-01	8.829491e-03	8.907966e-03
2.000000e-01	2.400000e-01	4.548040e-01	8.687870e-03	8.760972e-03
2.400000e-01	2.800000e-01	4.484690e-01	8.633353e-03	8.701576e-03
2.800000e-01	3.200000e-01	4.337180e-01	8.318971e-03	8.381579e-03
3.200000e-01	3.600000e-01	4.200840e-01	8.081735e-03	8.138318e-03
3.600000e-01	4.000000e-01	4.093450e-01	7.857482e-03	7.908568e-03
4.000000e-01	4.400000e-01	3.978630e-01	7.734986e-03	7.779655e-03
4.400000e-01	4.800000e-01	3.902880e-01	7.645744e-03	7.684678e-03
4.800000e-01	5.200000e-01	3.884220e-01	7.637293e-03	7.671140e-03
5.200000e-01	5.600000e-01	3.938730e-01	7.707500e-03	7.736969e-03
5.600000e-01	6.000000e-01	3.978770e-01	7.699194e-03	7.724109e-03
6.000000e-01	6.400000e-01	4.159270e-01	8.101368e-03	8.121933e-03
6.400000e-01	6.800000e-01	4.344840e-01	8.794136e-03	8.809706e-03
6.800000e-01	7.200000e-01	4.660340e-01	9.081978e-03	9.094086e-03
7.200000e-01	7.600000e-01	4.555620e-01	9.069877e-03	9.077079e-03
7.600000e-01	8.000000e-01	1.480480e-01	3.437657e-03	3.438669e-03
8.000000e-01	8.400000e-01	4.155790e-02	1.323060e-03	1.323120e-03
8.400000e-01	9.200000e-01	9.238030e-03	3.712986e-04	3.716672e-04
9.200000e-01	1.000000e+00	1.074690e-03	1.273519e-04	1.273726e-04
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d57-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d57-x01-y01
ScaledBy=2.04476505276740034e+05
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e-02	9.723933e-02	5.140580e-02	5.140580e-02
3.000000e-02	6.000000e-02	2.667331e-01	9.120004e-02	9.120004e-02
6.000000e-02	9.000000e-02	3.307550e-01	1.015446e-01	1.015446e-01
9.000000e-02	1.200000e-01	5.561840e-01	1.558316e-01	1.558316e-01
1.200000e-01	1.600000e-01	2.870142e-01	8.997757e-02	8.997757e-02
1.600000e-01	2.000000e-01	4.051952e-01	9.875649e-02	9.875649e-02
2.000000e-01	2.400000e-01	2.583625e-01	7.667046e-02	7.667046e-02
2.400000e-01	2.800000e-01	3.269182e-01	9.779577e-02	9.779577e-02
2.800000e-01	3.200000e-01	3.183445e-01	9.074439e-02	9.074439e-02
3.200000e-01	3.600000e-01	3.906548e-01	1.056324e-01	1.056324e-01
3.600000e-01	4.000000e-01	4.734050e-01	1.559423e-01	1.559423e-01
4.000000e-01	4.400000e-01	3.004093e-01	9.268977e-02	9.268977e-02
4.400000e-01	4.800000e-01	3.342098e-01	9.273767e-02	9.273767e-02
4.800000e-01	5.200000e-01	5.083877e-01	1.300343e-01	1.300343e-01
5.200000e-01	5.600000e-01	2.756920e-01	1.098665e-01	1.098665e-01
5.600000e-01	6.000000e-01	4.061530e-01	1.189372e-01	1.189372e-01
6.000000e-01	6.400000e-01	6.551592e-01	1.415133e-01	1.415133e-01
6.400000e-01	6.800000e-01	4.356370e-01	1.174290e-01	1.174290e-01
6.800000e-01	7.200000e-01	8.320360e-01	2.188861e-01	2.188861e-01
7.200000e-01	7.600000e-01	6.848202e-01	1.601380e-01	1.601380e-01
7.600000e-01	8.000000e-01	1.871835e-01	7.514750e-02	7.514750e-02
8.000000e-01	8.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e-01	9.200000e-01	2.855082e-02	2.855082e-02	2.855082e-02
9.200000e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

