# BEGIN PLOT
LegendOnly=/ATLAS_2020_I1808726/d68-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d68-x01-y01
DrawOnly=/ATLAS_2020_I1808726/d68-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d68-x01-y01
Title=D for $n^{\mathrm{jet}} \geq 6$, 1.5 TeV $< H_{T2} <$ 2.0 TeV
RatioPlotReference=/ATLAS_2020_I1808726/d68-x01-y01
RatioPlot=1
LogY=1
XLabel=$D$
YLabel=$(1/\sigma(n^{\mathrm{jet}} \geq 2) d\sigma/dD$
Legend=1
# END PLOT

# BEGIN HISTO1D /ATLAS_2020_I1808726/d68-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2020_I1808726/d68-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e-02	6.511530e-03	4.599334e-04	4.227197e-04
3.000000e-02	6.000000e-02	1.597810e-02	9.752154e-04	1.012501e-03
6.000000e-02	9.000000e-02	1.949330e-02	1.146277e-03	1.192227e-03
9.000000e-02	1.200000e-01	2.063040e-02	1.157870e-03	1.207263e-03
1.200000e-01	1.600000e-01	2.059600e-02	1.165259e-03	1.205940e-03
1.600000e-01	2.000000e-01	1.891550e-02	1.070988e-03	1.105864e-03
2.000000e-01	2.400000e-01	1.721760e-02	9.887209e-04	1.017521e-03
2.400000e-01	2.800000e-01	1.528120e-02	8.915449e-04	9.142125e-04
2.800000e-01	3.200000e-01	1.334430e-02	7.889601e-04	8.060452e-04
3.200000e-01	3.600000e-01	1.105290e-02	6.467469e-04	6.587106e-04
3.600000e-01	4.000000e-01	9.591790e-03	5.671606e-04	5.751729e-04
4.000000e-01	4.400000e-01	7.991500e-03	4.898524e-04	4.942455e-04
4.400000e-01	4.800000e-01	6.550820e-03	4.025825e-04	4.043045e-04
4.800000e-01	5.200000e-01	5.088260e-03	3.308667e-04	3.306104e-04
5.200000e-01	5.600000e-01	4.130710e-03	2.794870e-04	2.779903e-04
5.600000e-01	6.000000e-01	3.488590e-03	2.537877e-04	2.515126e-04
6.000000e-01	6.400000e-01	2.598330e-03	1.981977e-04	1.957517e-04
6.400000e-01	6.800000e-01	2.047760e-03	1.705562e-04	1.681660e-04
6.800000e-01	7.600000e-01	1.175790e-03	9.717463e-05	9.643609e-05
7.600000e-01	8.500000e-01	5.625770e-04	5.520132e-05	5.487687e-05
8.500000e-01	1.000000e+00	9.954150e-05	1.717637e-05	1.714390e-05
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d68-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d68-x01-y01
ScaledBy=4.16271872778093239e+04
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e-02	5.892293e-02	4.813429e-02	4.813429e-02
3.000000e-02	6.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-02	9.000000e-02	1.234820e-02	8.738241e-03	8.738241e-03
9.000000e-02	1.200000e-01	4.207433e-02	2.831236e-02	2.831236e-02
1.200000e-01	1.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e-01	2.000000e-01	2.111209e-02	1.318135e-02	1.318135e-02
2.000000e-01	2.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e-01	2.800000e-01	7.817525e-03	5.558145e-03	5.558145e-03
2.800000e-01	3.200000e-01	1.141070e-02	1.141070e-02	1.141070e-02
3.200000e-01	3.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e-01	4.000000e-01	5.776365e-03	5.776366e-03	5.776366e-03
4.000000e-01	4.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e-01	4.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e-01	5.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e-01	5.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e-01	6.000000e-01	9.255488e-03	9.255488e-03	9.255488e-03
6.000000e-01	6.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.400000e-01	6.800000e-01	8.384810e-04	8.384808e-04	8.384808e-04
6.800000e-01	7.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e-01	8.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.500000e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

