# BEGIN PLOT
LegendOnly=/ATLAS_2020_I1808726/d69-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d69-x01-y01
DrawOnly=/ATLAS_2020_I1808726/d69-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d69-x01-y01
Title=D for $n^{\mathrm{jet}} = 3$, $H_{T2} >$ 2.0 TeV
RatioPlotReference=/ATLAS_2020_I1808726/d69-x01-y01
RatioPlot=1
LogY=1
XLabel=$D$
YLabel=$(1/\sigma(n^{\mathrm{jet}} \geq 2) d\sigma/dD$
Legend=1
# END PLOT

# BEGIN HISTO1D /ATLAS_2020_I1808726/d69-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2020_I1808726/d69-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e-02	8.906820e+00	8.363492e-02	7.667531e-02
3.000000e-02	6.000000e-02	1.883440e+00	2.495258e-02	2.412421e-02
6.000000e-02	9.000000e-02	1.006570e+00	1.428906e-02	1.381980e-02
9.000000e-02	1.200000e-01	6.241830e-01	9.684517e-03	9.387916e-03
1.200000e-01	1.600000e-01	3.982030e-01	6.895507e-03	6.640918e-03
1.600000e-01	2.000000e-01	2.413680e-01	4.558468e-03	4.401343e-03
2.000000e-01	2.400000e-01	1.496790e-01	2.977850e-03	2.874846e-03
2.400000e-01	2.800000e-01	9.842470e-02	2.333101e-03	2.269956e-03
2.800000e-01	3.200000e-01	6.592580e-02	2.115792e-03	2.081111e-03
3.200000e-01	3.600000e-01	4.582480e-02	1.386646e-03	1.358029e-03
3.600000e-01	4.000000e-01	3.292830e-02	1.087308e-03	1.066270e-03
4.000000e-01	4.400000e-01	2.286420e-02	8.374505e-04	8.227544e-04
4.400000e-01	4.800000e-01	1.731520e-02	7.664801e-04	7.562239e-04
4.800000e-01	5.200000e-01	1.197440e-02	6.181181e-04	6.113462e-04
5.200000e-01	5.600000e-01	8.380910e-03	5.157443e-04	5.113249e-04
5.600000e-01	6.000000e-01	6.147780e-03	4.027312e-04	3.993493e-04
6.000000e-01	6.400000e-01	4.215220e-03	3.599641e-04	3.579963e-04
6.400000e-01	6.800000e-01	2.962050e-03	2.891920e-04	2.878563e-04
6.800000e-01	7.600000e-01	1.740150e-03	1.671312e-04	1.665369e-04
7.600000e-01	8.500000e-01	9.157960e-04	1.255529e-04	1.253301e-04
8.500000e-01	1.000000e+00	1.773040e-04	4.733167e-05	4.730753e-05
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d69-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d69-x01-y01
ScaledBy=2.04476505276740034e+05
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e-02	6.953820e+00	5.647057e-01	5.647057e-01
3.000000e-02	6.000000e-02	1.046454e+00	2.045814e-01	2.045814e-01
6.000000e-02	9.000000e-02	7.966887e-01	2.089271e-01	2.089271e-01
9.000000e-02	1.200000e-01	3.355620e-01	1.163819e-01	1.163819e-01
1.200000e-01	1.600000e-01	5.491682e-01	1.388990e-01	1.388990e-01
1.600000e-01	2.000000e-01	8.174847e-02	4.145712e-02	4.145712e-02
2.000000e-01	2.400000e-01	5.579853e-02	3.994032e-02	3.994032e-02
2.400000e-01	2.800000e-01	2.343954e-01	8.750514e-02	8.750514e-02
2.800000e-01	3.200000e-01	1.691753e-01	8.760169e-02	8.760169e-02
3.200000e-01	3.600000e-01	4.759480e-02	4.759481e-02	4.759481e-02
3.600000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	4.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e-01	4.800000e-01	3.049045e-02	2.581637e-02	2.581637e-02
4.800000e-01	5.200000e-01	5.710165e-02	5.710165e-02	5.710165e-02
5.200000e-01	5.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e-01	6.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-01	6.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.400000e-01	6.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.800000e-01	7.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e-01	8.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.500000e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

