# BEGIN PLOT
LegendOnly=/ATLAS_2020_I1808726/d72-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d72-x01-y01
DrawOnly=/ATLAS_2020_I1808726/d72-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d72-x01-y01
Title=D for $n^{\mathrm{jet}} \geq 6$, $H_{T2} >$ 2.0 TeV
RatioPlotReference=/ATLAS_2020_I1808726/d72-x01-y01
RatioPlot=1
LogY=1
XLabel=$D$
YLabel=$(1/\sigma(n^{\mathrm{jet}} \geq 2) d\sigma/dD$
Legend=1
# END PLOT

# BEGIN HISTO1D /ATLAS_2020_I1808726/d72-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2020_I1808726/d72-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e-02	1.094490e-02	1.005501e-03	1.010020e-03
3.000000e-02	6.000000e-02	2.366330e-02	1.844440e-03	1.902821e-03
6.000000e-02	9.000000e-02	2.903400e-02	2.134516e-03	2.211716e-03
9.000000e-02	1.200000e-01	2.957990e-02	2.139614e-03	2.220917e-03
1.200000e-01	1.600000e-01	2.680070e-02	1.696213e-03	1.782325e-03
1.600000e-01	2.000000e-01	2.451820e-02	1.587413e-03	1.665420e-03
2.000000e-01	2.400000e-01	1.988410e-02	1.228524e-03	1.295463e-03
2.400000e-01	2.800000e-01	1.745470e-02	1.192362e-03	1.246446e-03
2.800000e-01	3.200000e-01	1.447940e-02	9.870552e-04	1.032646e-03
3.200000e-01	3.600000e-01	1.209750e-02	8.610490e-04	8.981954e-04
3.600000e-01	4.000000e-01	1.013120e-02	7.013042e-04	7.338719e-04
4.000000e-01	4.400000e-01	7.609570e-03	5.829286e-04	6.056460e-04
4.400000e-01	4.800000e-01	6.139430e-03	4.576022e-04	4.769603e-04
4.800000e-01	5.200000e-01	4.924610e-03	4.100869e-04	4.245304e-04
5.200000e-01	5.600000e-01	3.868760e-03	3.736825e-04	3.839236e-04
5.600000e-01	6.000000e-01	2.687190e-03	3.087976e-04	3.151010e-04
6.000000e-01	6.400000e-01	1.997610e-03	2.563365e-04	2.607854e-04
6.400000e-01	6.800000e-01	1.538150e-03	2.070187e-04	2.105021e-04
6.800000e-01	7.600000e-01	8.716460e-04	1.205917e-04	1.225398e-04
7.600000e-01	8.500000e-01	4.114760e-04	7.750455e-05	7.819945e-05
8.500000e-01	1.000000e+00	1.074680e-04	3.825653e-05	3.840419e-05
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d72-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d72-x01-y01
ScaledBy=2.04476505276740034e+05
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-02	6.000000e-02	9.616857e-03	9.616856e-03	9.616856e-03
6.000000e-02	9.000000e-02	3.677117e-02	3.052154e-02	3.052154e-02
9.000000e-02	1.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e-01	1.600000e-01	3.496357e-03	3.496359e-03	3.496359e-03
1.600000e-01	2.000000e-01	1.490381e-02	1.490382e-02	1.490382e-02
2.000000e-01	2.400000e-01	1.339537e-02	1.339537e-02	1.339537e-02
2.400000e-01	2.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e-01	3.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e-01	3.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e-01	4.000000e-01	3.480290e-02	3.480290e-02	3.480290e-02
4.000000e-01	4.400000e-01	1.735546e-02	1.735546e-02	1.735546e-02
4.400000e-01	4.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e-01	5.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e-01	5.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e-01	6.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-01	6.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.400000e-01	6.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.800000e-01	7.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e-01	8.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.500000e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

