# BEGIN PLOT
LegendOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_HT
XLabel=$H_\mathrm{T}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}H_\mathrm{T}$ [pb/GeV]
DrawOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_HT
Title=Scalar sum of jet transverse momenta ($H_\mathrm{T}$)
Legend=1
LogX=1
LogY=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_HT
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_HT
ScaledBy=1.43580032793284487e+06
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	2.245265e+01	7.576748e+07	2.055177e+06	2.055177e+06
2.245265e+01	2.520608e+01	4.866181e+07	1.478985e+06	1.478985e+06
2.520608e+01	2.829717e+01	2.769576e+07	9.887647e+05	9.887647e+05
2.829717e+01	3.176733e+01	1.485608e+07	6.338375e+05	6.338375e+05
3.176733e+01	3.566304e+01	7.404242e+06	3.918766e+05	3.918766e+05
3.566304e+01	4.003649e+01	2.350387e+06	1.569199e+05	1.569199e+05
4.003649e+01	4.494627e+01	8.754787e+06	4.065378e+05	4.065378e+05
4.494627e+01	5.045815e+01	1.274657e+07	4.399700e+05	4.399700e+05
5.045815e+01	5.664597e+01	9.256533e+06	2.924250e+05	2.924250e+05
5.664597e+01	6.359261e+01	5.976983e+06	1.730377e+05	1.730377e+05
6.359261e+01	7.139114e+01	4.032759e+06	1.241436e+05	1.241436e+05
7.139114e+01	8.014603e+01	2.945081e+06	9.936222e+04	9.936222e+04
8.014603e+01	8.997455e+01	1.905477e+06	7.433854e+04	7.433854e+04
8.997455e+01	1.010084e+02	1.217227e+06	4.352374e+04	4.352374e+04
1.010084e+02	1.133953e+02	8.017735e+05	2.899353e+04	2.899353e+04
1.133953e+02	1.273013e+02	4.934555e+05	1.917275e+04	1.917275e+04
1.273013e+02	1.429125e+02	3.208413e+05	1.056298e+04	1.056298e+04
1.429125e+02	1.604383e+02	1.912829e+05	6.569602e+03	6.569602e+03
1.604383e+02	1.801133e+02	1.100762e+05	3.224899e+03	3.224899e+03
1.801133e+02	2.022010e+02	7.318752e+04	2.702531e+03	2.702531e+03
2.022010e+02	2.269975e+02	3.854493e+04	1.195406e+03	1.195406e+03
2.269975e+02	2.548348e+02	2.244843e+04	6.844864e+02	6.844864e+02
2.548348e+02	2.860858e+02	1.274797e+04	3.779385e+02	3.779385e+02
2.860858e+02	3.211693e+02	7.010871e+03	2.140518e+02	2.140518e+02
3.211693e+02	3.605551e+02	3.862098e+03	1.185811e+02	1.185811e+02
3.605551e+02	4.047710e+02	2.084163e+03	6.899853e+01	6.899853e+01
4.047710e+02	4.544091e+02	1.200054e+03	4.182271e+01	4.182271e+01
4.544091e+02	5.101345e+02	6.282781e+02	2.208143e+01	2.208143e+01
5.101345e+02	5.726936e+02	3.123462e+02	9.762313e+00	9.762313e+00
5.726936e+02	6.429246e+02	1.637707e+02	5.026387e+00	5.026387e+00
6.429246e+02	7.217681e+02	8.163341e+01	2.550446e+00	2.550446e+00
7.217681e+02	8.102804e+02	4.263423e+01	1.496808e+00	1.496808e+00
8.102804e+02	9.096473e+02	2.094445e+01	7.253036e-01	7.253036e-01
9.096473e+02	1.021200e+03	1.121588e+01	4.106005e-01	4.106005e-01
1.021200e+03	1.146432e+03	4.875331e+00	1.910357e-01	1.910357e-01
1.146432e+03	1.287022e+03	2.562973e+00	1.121418e-01	1.121418e-01
1.287022e+03	1.444853e+03	1.111802e+00	5.334677e-02	5.334677e-02
1.444853e+03	1.622039e+03	5.034994e-01	2.287216e-02	2.287216e-02
1.622039e+03	1.820954e+03	2.359204e-01	1.199314e-02	1.199314e-02
1.820954e+03	2.044263e+03	1.012815e-01	6.065308e-03	6.065308e-03
2.044263e+03	2.294956e+03	4.113872e-02	2.649419e-03	2.649419e-03
2.294956e+03	2.576392e+03	1.766972e-02	1.243518e-03	1.243518e-03
2.576392e+03	2.892342e+03	7.955138e-03	8.203096e-04	8.203096e-04
2.892342e+03	3.247038e+03	2.701166e-03	2.496453e-04	2.496453e-04
3.247038e+03	3.645231e+03	9.540145e-04	1.013132e-04	1.013132e-04
3.645231e+03	4.092255e+03	2.941142e-04	4.561004e-05	4.561004e-05
4.092255e+03	4.594099e+03	1.031454e-04	1.504254e-05	1.504254e-05
4.594099e+03	5.157486e+03	3.596418e-05	7.725062e-06	7.725062e-06
5.157486e+03	5.789962e+03	8.938676e-06	3.555353e-06	3.555353e-06
5.789962e+03	6.500000e+03	8.484547e-07	5.055938e-07	5.055938e-07
# END HISTO1D

