# BEGIN PLOT
LegendXPos=0.30
XLabel=$\eta(\mathrm{jet~1})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta(\mathrm{jet~1})$ [pb]
DrawOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_eta_1
Title=Pseudorapidity of leading jet
LegendYPos=0.5
Legend=1
LegendOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_eta_1
LogY=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_eta_1
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_eta_1
ScaledBy=1.43580032793284487e+06
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	1.238172e+07	2.160437e+06	2.160437e+06
-4.800000e+00	-4.600000e+00	2.306395e+07	3.260091e+06	3.260091e+06
-4.600000e+00	-4.400000e+00	2.148813e+07	2.910895e+06	2.910895e+06
-4.400000e+00	-4.200000e+00	3.088829e+07	3.678723e+06	3.678723e+06
-4.200000e+00	-4.000000e+00	3.548599e+07	4.007983e+06	4.007983e+06
-4.000000e+00	-3.800000e+00	4.877205e+07	4.872596e+06	4.872596e+06
-3.800000e+00	-3.600000e+00	5.082560e+07	4.824101e+06	4.824101e+06
-3.600000e+00	-3.400000e+00	5.558310e+07	4.892472e+06	4.892472e+06
-3.400000e+00	-3.200000e+00	5.395680e+07	4.516550e+06	4.516550e+06
-3.200000e+00	-3.000000e+00	6.724955e+07	5.558287e+06	5.558287e+06
-3.000000e+00	-2.800000e+00	7.810245e+07	5.902538e+06	5.902538e+06
-2.800000e+00	-2.600000e+00	7.792905e+07	5.672731e+06	5.672731e+06
-2.600000e+00	-2.400000e+00	8.725910e+07	6.410138e+06	6.410138e+06
-2.400000e+00	-2.200000e+00	9.569845e+07	6.502749e+06	6.502749e+06
-2.200000e+00	-2.000000e+00	9.346580e+07	6.359473e+06	6.359473e+06
-2.000000e+00	-1.800000e+00	1.015936e+08	7.068833e+06	7.068833e+06
-1.800000e+00	-1.600000e+00	1.096637e+08	6.908858e+06	6.908858e+06
-1.600000e+00	-1.400000e+00	1.124640e+08	7.393152e+06	7.393152e+06
-1.400000e+00	-1.200000e+00	1.214356e+08	7.641152e+06	7.641152e+06
-1.200000e+00	-1.000000e+00	1.323727e+08	7.746031e+06	7.746031e+06
-1.000000e+00	-8.000000e-01	1.214479e+08	7.640815e+06	7.640815e+06
-8.000000e-01	-6.000000e-01	1.151849e+08	6.856450e+06	6.856450e+06
-6.000000e-01	-4.000000e-01	1.248469e+08	7.618238e+06	7.618238e+06
-4.000000e-01	-2.000000e-01	1.233049e+08	7.753067e+06	7.753067e+06
-2.000000e-01	0.000000e+00	1.453026e+08	9.018548e+06	9.018548e+06
0.000000e+00	2.000000e-01	1.386274e+08	8.188874e+06	8.188874e+06
2.000000e-01	4.000000e-01	1.346248e+08	8.052908e+06	8.052908e+06
4.000000e-01	6.000000e-01	1.410473e+08	8.202867e+06	8.202867e+06
6.000000e-01	8.000000e-01	1.244622e+08	7.242460e+06	7.242460e+06
8.000000e-01	1.000000e+00	1.145559e+08	6.817952e+06	6.817952e+06
1.000000e+00	1.200000e+00	1.326687e+08	8.186932e+06	8.186932e+06
1.200000e+00	1.400000e+00	1.111002e+08	6.755302e+06	6.755302e+06
1.400000e+00	1.600000e+00	1.040314e+08	6.535599e+06	6.535599e+06
1.600000e+00	1.800000e+00	1.053478e+08	7.009638e+06	7.009638e+06
1.800000e+00	2.000000e+00	1.076267e+08	6.765129e+06	6.765129e+06
2.000000e+00	2.200000e+00	9.668675e+07	6.719230e+06	6.719230e+06
2.200000e+00	2.400000e+00	8.702865e+07	6.058213e+06	6.058213e+06
2.400000e+00	2.600000e+00	8.984170e+07	6.346706e+06	6.346706e+06
2.600000e+00	2.800000e+00	7.951070e+07	6.024888e+06	6.024888e+06
2.800000e+00	3.000000e+00	8.765730e+07	6.569977e+06	6.569977e+06
3.000000e+00	3.200000e+00	6.603780e+07	5.353875e+06	5.353875e+06
3.200000e+00	3.400000e+00	6.594655e+07	5.885527e+06	5.885527e+06
3.400000e+00	3.600000e+00	7.439640e+07	6.541076e+06	6.541076e+06
3.600000e+00	3.800000e+00	3.975286e+07	4.048429e+06	4.048429e+06
3.800000e+00	4.000000e+00	5.001445e+07	4.913530e+06	4.913530e+06
4.000000e+00	4.200000e+00	3.376143e+07	3.552480e+06	3.552480e+06
4.200000e+00	4.400000e+00	3.086190e+07	3.733703e+06	3.733703e+06
4.400000e+00	4.600000e+00	2.435843e+07	3.469557e+06	3.469557e+06
4.600000e+00	4.800000e+00	1.565821e+07	2.713778e+06	2.713778e+06
4.800000e+00	5.000000e+00	1.688599e+07	2.625418e+06	2.625418e+06
# END HISTO1D

