# BEGIN PLOT
LegendXPos=0.30
XLabel=$\eta(\mathrm{jet~2})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta(\mathrm{jet~2})$ [pb]
DrawOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_eta_2
Title=Pseudorapidity of second jet
LegendYPos=0.5
Legend=1
LegendOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_eta_2
LogY=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_eta_2
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_eta_2
ScaledBy=1.43580032793284487e+06
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	4.262072e+06	1.028084e+06	1.028084e+06
-4.800000e+00	-4.600000e+00	6.409460e+06	1.118782e+06	1.118782e+06
-4.600000e+00	-4.400000e+00	8.852750e+06	1.335141e+06	1.335141e+06
-4.400000e+00	-4.200000e+00	1.416823e+07	2.034781e+06	2.034781e+06
-4.200000e+00	-4.000000e+00	1.884037e+07	2.555612e+06	2.555612e+06
-4.000000e+00	-3.800000e+00	1.722605e+07	2.289599e+06	2.289599e+06
-3.800000e+00	-3.600000e+00	2.231355e+07	2.457931e+06	2.457931e+06
-3.600000e+00	-3.400000e+00	2.299537e+07	2.203473e+06	2.203473e+06
-3.400000e+00	-3.200000e+00	1.964380e+07	2.057172e+06	2.057172e+06
-3.200000e+00	-3.000000e+00	2.580837e+07	2.811531e+06	2.811531e+06
-3.000000e+00	-2.800000e+00	3.210836e+07	2.809092e+06	2.809092e+06
-2.800000e+00	-2.600000e+00	3.941257e+07	3.503967e+06	3.503967e+06
-2.600000e+00	-2.400000e+00	3.498899e+07	2.689657e+06	2.689657e+06
-2.400000e+00	-2.200000e+00	4.013282e+07	3.459198e+06	3.459198e+06
-2.200000e+00	-2.000000e+00	3.416446e+07	2.912359e+06	2.912359e+06
-2.000000e+00	-1.800000e+00	4.581142e+07	3.541651e+06	3.541651e+06
-1.800000e+00	-1.600000e+00	4.221394e+07	3.241550e+06	3.241550e+06
-1.600000e+00	-1.400000e+00	5.142735e+07	4.109800e+06	4.109800e+06
-1.400000e+00	-1.200000e+00	4.995647e+07	3.867154e+06	3.867154e+06
-1.200000e+00	-1.000000e+00	4.630665e+07	3.607731e+06	3.607731e+06
-1.000000e+00	-8.000000e-01	4.659095e+07	3.263156e+06	3.263156e+06
-8.000000e-01	-6.000000e-01	4.853626e+07	3.599586e+06	3.599586e+06
-6.000000e-01	-4.000000e-01	4.887177e+07	3.573929e+06	3.573929e+06
-4.000000e-01	-2.000000e-01	4.384017e+07	3.037209e+06	3.037209e+06
-2.000000e-01	0.000000e+00	4.778616e+07	3.430783e+06	3.430783e+06
0.000000e+00	2.000000e-01	4.677326e+07	3.301731e+06	3.301731e+06
2.000000e-01	4.000000e-01	5.276030e+07	3.662838e+06	3.662838e+06
4.000000e-01	6.000000e-01	4.595326e+07	3.560402e+06	3.560402e+06
6.000000e-01	8.000000e-01	5.148615e+07	3.511661e+06	3.511661e+06
8.000000e-01	1.000000e+00	5.191835e+07	3.706995e+06	3.706995e+06
1.000000e+00	1.200000e+00	4.245015e+07	2.799105e+06	2.799105e+06
1.200000e+00	1.400000e+00	4.412359e+07	3.056767e+06	3.056767e+06
1.400000e+00	1.600000e+00	4.817159e+07	3.627427e+06	3.627427e+06
1.600000e+00	1.800000e+00	3.658163e+07	2.939730e+06	2.939730e+06
1.800000e+00	2.000000e+00	4.533140e+07	3.637951e+06	3.637951e+06
2.000000e+00	2.200000e+00	3.713440e+07	2.869099e+06	2.869099e+06
2.200000e+00	2.400000e+00	3.903961e+07	3.470385e+06	3.470385e+06
2.400000e+00	2.600000e+00	3.902866e+07	3.513067e+06	3.513067e+06
2.600000e+00	2.800000e+00	2.583767e+07	2.368365e+06	2.368365e+06
2.800000e+00	3.000000e+00	2.753188e+07	2.469287e+06	2.469287e+06
3.000000e+00	3.200000e+00	2.799051e+07	2.908638e+06	2.908638e+06
3.200000e+00	3.400000e+00	2.270007e+07	2.380245e+06	2.380245e+06
3.400000e+00	3.600000e+00	2.038802e+07	2.010625e+06	2.010625e+06
3.600000e+00	3.800000e+00	2.405538e+07	2.711506e+06	2.711506e+06
3.800000e+00	4.000000e+00	1.542444e+07	2.052978e+06	2.052978e+06
4.000000e+00	4.200000e+00	1.422060e+07	1.837300e+06	1.837300e+06
4.200000e+00	4.400000e+00	1.171236e+07	1.644662e+06	1.644662e+06
4.400000e+00	4.600000e+00	1.074998e+07	1.555091e+06	1.555091e+06
4.600000e+00	4.800000e+00	9.900405e+06	1.703849e+06	1.703849e+06
4.800000e+00	5.000000e+00	5.694525e+06	1.415731e+06	1.415731e+06
# END HISTO1D

