# BEGIN PLOT
LegendXPos=0.30
XLabel=$\eta(\mathrm{jet~3})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta(\mathrm{jet~3})$ [pb]
DrawOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_eta_3
Title=Pseudorapidity of third jet
LegendYPos=0.5
Legend=1
LegendOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_eta_3
LogY=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_eta_3
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_eta_3
ScaledBy=1.43580032793284487e+06
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	1.203179e+06	3.412712e+05	3.412712e+05
-4.600000e+00	-4.200000e+00	2.061640e+06	3.906993e+05	3.906993e+05
-4.200000e+00	-3.800000e+00	3.348290e+06	5.406193e+05	5.406193e+05
-3.800000e+00	-3.400000e+00	2.841350e+06	3.500054e+05	3.500054e+05
-3.400000e+00	-3.000000e+00	5.086995e+06	5.512640e+05	5.512640e+05
-3.000000e+00	-2.600000e+00	5.633425e+06	6.431451e+05	6.431451e+05
-2.600000e+00	-2.200000e+00	7.641443e+06	8.773372e+05	8.773372e+05
-2.200000e+00	-1.800000e+00	7.934435e+06	8.132093e+05	8.132093e+05
-1.800000e+00	-1.400000e+00	7.176130e+06	5.968836e+05	5.968836e+05
-1.400000e+00	-1.000000e+00	9.318453e+06	9.259350e+05	9.259350e+05
-1.000000e+00	-6.000000e-01	1.030204e+07	1.066353e+06	1.066353e+06
-6.000000e-01	-2.000000e-01	1.029110e+07	1.249775e+06	1.249775e+06
-2.000000e-01	2.000000e-01	1.057123e+07	9.851913e+05	9.851913e+05
2.000000e-01	6.000000e-01	9.326298e+06	7.250967e+05	7.250967e+05
6.000000e-01	1.000000e+00	9.953800e+06	8.613017e+05	8.613017e+05
1.000000e+00	1.400000e+00	9.334098e+06	9.577157e+05	9.577157e+05
1.400000e+00	1.800000e+00	8.574797e+06	7.584482e+05	7.584482e+05
1.800000e+00	2.200000e+00	7.095317e+06	6.033151e+05	6.033151e+05
2.200000e+00	2.600000e+00	5.752700e+06	4.715498e+05	4.715498e+05
2.600000e+00	3.000000e+00	5.104950e+06	5.503356e+05	5.503356e+05
3.000000e+00	3.400000e+00	4.411105e+06	6.002635e+05	6.002635e+05
3.400000e+00	3.800000e+00	4.436588e+06	7.423523e+05	7.423523e+05
3.800000e+00	4.200000e+00	2.473328e+06	4.418730e+05	4.418730e+05
4.200000e+00	4.600000e+00	1.540085e+06	3.358905e+05	3.358905e+05
4.600000e+00	5.000000e+00	6.296905e+05	1.494313e+05	1.494313e+05
# END HISTO1D

