# BEGIN PLOT
LegendXPos=0.30
XLabel=$\eta(\mathrm{jet~4})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta(\mathrm{jet~4})$ [pb]
DrawOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_eta_4
Title=Pseudorapidity of fourth jet
LegendYPos=0.5
Legend=1
LegendOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_eta_4
LogY=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_eta_4
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_eta_4
ScaledBy=1.43580032793284487e+06
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	3.953580e+05	1.527956e+05	1.527956e+05
-4.600000e+00	-4.200000e+00	3.536183e+05	9.412947e+04	9.412947e+04
-4.200000e+00	-3.800000e+00	4.525382e+05	9.560518e+04	9.560518e+04
-3.800000e+00	-3.400000e+00	6.908273e+05	1.033711e+05	1.033711e+05
-3.400000e+00	-3.000000e+00	9.590625e+05	1.885671e+05	1.885671e+05
-3.000000e+00	-2.600000e+00	1.247456e+06	2.073611e+05	2.073611e+05
-2.600000e+00	-2.200000e+00	1.488002e+06	1.998258e+05	1.998258e+05
-2.200000e+00	-1.800000e+00	1.937562e+06	4.111028e+05	4.111028e+05
-1.800000e+00	-1.400000e+00	2.587335e+06	5.081105e+05	5.081105e+05
-1.400000e+00	-1.000000e+00	2.106445e+06	2.911327e+05	2.911327e+05
-1.000000e+00	-6.000000e-01	2.842302e+06	5.769392e+05	5.769392e+05
-6.000000e-01	-2.000000e-01	2.049199e+06	3.198228e+05	3.198228e+05
-2.000000e-01	2.000000e-01	2.169151e+06	3.008322e+05	3.008322e+05
2.000000e-01	6.000000e-01	1.855172e+06	2.091280e+05	2.091280e+05
6.000000e-01	1.000000e+00	1.786582e+06	1.857973e+05	1.857973e+05
1.000000e+00	1.400000e+00	1.800323e+06	2.230326e+05	2.230326e+05
1.400000e+00	1.800000e+00	1.831023e+06	2.703045e+05	2.703045e+05
1.800000e+00	2.200000e+00	1.851281e+06	4.045118e+05	4.045118e+05
2.200000e+00	2.600000e+00	1.269877e+06	1.910373e+05	1.910373e+05
2.600000e+00	3.000000e+00	1.350419e+06	2.430658e+05	2.430658e+05
3.000000e+00	3.400000e+00	7.888713e+05	1.208596e+05	1.208596e+05
3.400000e+00	3.800000e+00	9.668543e+05	3.258963e+05	3.258963e+05
3.800000e+00	4.200000e+00	6.053645e+05	1.208777e+05	1.208777e+05
4.200000e+00	4.600000e+00	2.742290e+05	4.634514e+04	4.634514e+04
4.600000e+00	5.000000e+00	2.720577e+05	1.090278e+05	1.090278e+05
# END HISTO1D

