# BEGIN PLOT
LegendOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_eta_pmratio_1
DrawOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_eta_pmratio_1
Title=Pseudorapidity $+/-$ ratio of first jet
LogY=1
XLabel=$|\eta(\mathrm{jet~1}|$
YLabel=$\eta(\mathrm{jet~1})_+/\eta(\mathrm{jet~1})_-$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_eta_pmratio_1
ErrorBreakdown={0: {"": {up: 0.08174777793845216, dn: 0.08174777793845216}}, 1: {"": {up: 0.09475244834119996, dn: 0.09475244834119996}}, 2: {"": {up: 0.09523389646718711, dn: 0.09523389646718711}}, 3: {"": {up: 0.08994745864585041, dn: 0.08994745864585041}}, 4: {"": {up: 0.08169017952333581, dn: 0.08169017952333581}}, 5: {"": {up: 0.08523304573160773, dn: 0.08523304573160773}}, 6: {"": {up: 0.08005388919318908, dn: 0.08005388919318908}}, 7: {"": {up: 0.08411194795747516, dn: 0.08411194795747516}}, 8: {"": {up: 0.08802547016903897, dn: 0.08802547016903897}}, 9: {"": {up: 0.09933588201107781, dn: 0.09933588201107781}}, 10: {"": {up: 0.1006092981531162, dn: 0.1006092981531162}}, 11: {"": {up: 0.08846530085378838, dn: 0.08846530085378838}}, 12: {"": {up: 0.1049328834480696, dn: 0.1049328834480696}}, 13: {"": {up: 0.1072072846769089, dn: 0.1072072846769089}}, 14: {"": {up: 0.1194595552409779, dn: 0.1194595552409779}}, 15: {"": {up: 0.1136899321655294, dn: 0.1136899321655294}}, 16: {"": {up: 0.1495489177043598, dn: 0.1495489177043598}}, 17: {"": {up: 0.1665197280799195, dn: 0.1665197280799195}}, 18: {"": {up: 0.1088842819982258, dn: 0.1088842819982258}}, 19: {"": {up: 0.1436857643152377, dn: 0.1436857643152377}}, 20: {"": {up: 0.1468631553707392, dn: 0.1468631553707392}}, 21: {"": {up: 0.1696213809807684, dn: 0.1696213809807684}}, 22: {"": {up: 0.2228258151115403, dn: 0.2228258151115403}}, 23: {"": {up: 0.1518339771915886, dn: 0.1518339771915886}}, 24: {"": {up: 0.318726429538467, dn: 0.318726429538467}}}
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_eta_pmratio_1
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	9.540608e-01	8.174778e-02	8.174778e-02
2.000000e-01	4.000000e-01	1.091805e+00	9.475245e-02	9.475245e-02
4.000000e-01	6.000000e-01	1.129762e+00	9.523390e-02	9.523390e-02
6.000000e-01	8.000000e-01	1.080543e+00	8.994746e-02	8.994746e-02
8.000000e-01	1.000000e+00	9.432508e-01	8.169018e-02	8.169018e-02
1.000000e+00	1.200000e+00	1.002236e+00	8.523305e-02	8.523305e-02
1.200000e+00	1.400000e+00	9.148893e-01	8.005389e-02	8.005389e-02
1.400000e+00	1.600000e+00	9.250195e-01	8.411195e-02	8.411195e-02
1.600000e+00	1.800000e+00	9.606440e-01	8.802547e-02	8.802547e-02
1.800000e+00	2.000000e+00	1.059384e+00	9.933588e-02	9.933588e-02
2.000000e+00	2.200000e+00	1.034461e+00	1.006093e-01	1.006093e-01
2.200000e+00	2.400000e+00	9.094051e-01	8.846530e-02	8.846530e-02
2.400000e+00	2.600000e+00	1.029596e+00	1.049329e-01	1.049329e-01
2.600000e+00	2.800000e+00	1.020296e+00	1.072073e-01	1.072073e-01
2.800000e+00	3.000000e+00	1.122338e+00	1.194596e-01	1.194596e-01
3.000000e+00	3.200000e+00	9.819811e-01	1.136899e-01	1.136899e-01
3.200000e+00	3.400000e+00	1.222210e+00	1.495489e-01	1.495489e-01
3.400000e+00	3.600000e+00	1.338472e+00	1.665197e-01	1.665197e-01
3.600000e+00	3.800000e+00	7.821428e-01	1.088843e-01	1.088843e-01
3.800000e+00	4.000000e+00	1.025473e+00	1.436858e-01	1.436858e-01
4.000000e+00	4.200000e+00	9.514015e-01	1.468632e-01	1.468632e-01
4.200000e+00	4.400000e+00	9.991456e-01	1.696214e-01	1.696214e-01
4.400000e+00	4.600000e+00	1.133576e+00	2.228258e-01	2.228258e-01
4.600000e+00	4.800000e+00	6.789043e-01	1.518340e-01	1.518340e-01
4.800000e+00	5.000000e+00	1.363784e+00	3.187264e-01	3.187264e-01
# END HISTO1D

