# BEGIN PLOT
LegendOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_eta_pmratio_2
DrawOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_eta_pmratio_2
Title=Pseudorapidity $+/-$ ratio of second jet
LogY=1
XLabel=$|\eta(\mathrm{jet~2}|$
YLabel=$\eta(\mathrm{jet~2})_+/\eta(\mathrm{jet~2})_-$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_eta_pmratio_2
ErrorBreakdown={0: {"": {up: 0.09855057433901093, dn: 0.09855057433901093}}, 1: {"": {up: 0.1180339165760826, dn: 0.1180339165760826}}, 2: {"": {up: 0.1001776637245124, dn: 0.1001776637245124}}, 3: {"": {up: 0.1068817494629734, dn: 0.1068817494629734}}, 4: {"": {up: 0.1114534055692291, dn: 0.1114534055692291}}, 5: {"": {up: 0.0935672802018617, dn: 0.0935672802018617}}, 6: {"": {up: 0.09175395411439409, dn: 0.09175395411439409}}, 7: {"": {up: 0.1028519386954113, dn: 0.1028519386954113}}, 8: {"": {up: 0.0963201571411102, dn: 0.0963201571411102}}, 9: {"": {up: 0.1102647867010672, dn: 0.1102647867010672}}, 10: {"": {up: 0.1250502125218823, dn: 0.1250502125218823}}, 11: {"": {up: 0.1204475964238853, dn: 0.1204475964238853}}, 12: {"": {up: 0.1320365324546852, dn: 0.1320365324546852}}, 13: {"": {up: 0.08371345981824266, dn: 0.08371345981824266}}, 14: {"": {up: 0.107433950020765, dn: 0.107433950020765}}, 15: {"": {up: 0.1632817138062603, dn: 0.1632817138062603}}, 16: {"": {up: 0.1712524328483989, dn: 0.1712524328483989}}, 17: {"": {up: 0.121913296630007, dn: 0.121913296630007}}, 18: {"": {up: 0.1699087450258933, dn: 0.1699087450258933}}, 19: {"": {up: 0.1684274922851635, dn: 0.1684274922851635}}, 20: {"": {up: 0.1413951242109275, dn: 0.1413951242109275}}, 21: {"": {up: 0.1660411556443048, dn: 0.1660411556443048}}, 22: {"": {up: 0.2537647609598642, dn: 0.2537647609598642}}, 23: {"": {up: 0.3786336717693248, dn: 0.3786336717693248}}, 24: {"": {up: 0.4628244474688378, dn: 0.4628244474688378}}}
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_eta_pmratio_2
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	9.788034e-01	9.855057e-02	9.855057e-02
2.000000e-01	4.000000e-01	1.203469e+00	1.180339e-01	1.180339e-01
4.000000e-01	6.000000e-01	9.402824e-01	1.001777e-01	1.001777e-01
6.000000e-01	8.000000e-01	1.060777e+00	1.068817e-01	1.068817e-01
8.000000e-01	1.000000e+00	1.114344e+00	1.114534e-01	1.114534e-01
1.000000e+00	1.200000e+00	9.167183e-01	9.356728e-02	9.356728e-02
1.200000e+00	1.400000e+00	8.832407e-01	9.175395e-02	9.175395e-02
1.400000e+00	1.600000e+00	9.366921e-01	1.028519e-01	1.028519e-01
1.600000e+00	1.800000e+00	8.665769e-01	9.632016e-02	9.632016e-02
1.800000e+00	2.000000e+00	9.895219e-01	1.102648e-01	1.102648e-01
2.000000e+00	2.200000e+00	1.086931e+00	1.250502e-01	1.250502e-01
2.200000e+00	2.400000e+00	9.727603e-01	1.204476e-01	1.204476e-01
2.400000e+00	2.600000e+00	1.115455e+00	1.320365e-01	1.320365e-01
2.600000e+00	2.800000e+00	6.555694e-01	8.371346e-02	8.371346e-02
2.800000e+00	3.000000e+00	8.574677e-01	1.074340e-01	1.074340e-01
3.000000e+00	3.200000e+00	1.084551e+00	1.632817e-01	1.632817e-01
3.200000e+00	3.400000e+00	1.155585e+00	1.712524e-01	1.712524e-01
3.400000e+00	3.600000e+00	8.866140e-01	1.219133e-01	1.219133e-01
3.600000e+00	3.800000e+00	1.078061e+00	1.699087e-01	1.699087e-01
3.800000e+00	4.000000e+00	8.954135e-01	1.684275e-01	1.684275e-01
4.000000e+00	4.200000e+00	7.547942e-01	1.413951e-01	1.413951e-01
4.200000e+00	4.400000e+00	8.266637e-01	1.660412e-01	1.660412e-01
4.400000e+00	4.600000e+00	1.214309e+00	2.537648e-01	2.537648e-01
4.600000e+00	4.800000e+00	1.544655e+00	3.786337e-01	3.786337e-01
4.800000e+00	5.000000e+00	1.336093e+00	4.628244e-01	4.628244e-01
# END HISTO1D

