# BEGIN PLOT
LegendOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_eta_pmratio_3
DrawOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_eta_pmratio_3
Title=Pseudorapidity $+/-$ ratio of third jet
LogY=1
XLabel=$|\eta(\mathrm{jet~3}|$
YLabel=$\eta(\mathrm{jet~3})_+/\eta(\mathrm{jet~3})_-$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_eta_pmratio_3
ErrorBreakdown={0: {"": {up: 0.129849016353691, dn: 0.129849016353691}}, 1: {"": {up: 0.1610248465025286, dn: 0.1610248465025286}}, 2: {"": {up: 0.1250315522918005, dn: 0.1250315522918005}}, 3: {"": {up: 0.1399193445913165, dn: 0.1399193445913165}}, 4: {"": {up: 0.1753365944994062, dn: 0.1753365944994062}}, 5: {"": {up: 0.1500630228870805, dn: 0.1500630228870805}}, 6: {"": {up: 0.1144837439442289, dn: 0.1144837439442289}}, 7: {"": {up: 0.1132086036757932, dn: 0.1132086036757932}}, 8: {"": {up: 0.1670436571621135, dn: 0.1670436571621135}}, 9: {"": {up: 0.1715054277946101, dn: 0.1715054277946101}}, 10: {"": {up: 0.3258241569817203, dn: 0.3258241569817203}}, 11: {"": {up: 0.191065522914675, dn: 0.191065522914675}}, 12: {"": {up: 0.2849108798032274, dn: 0.2849108798032274}}, 13: {"": {up: 0.1924334635050516, dn: 0.1924334635050516}}, 14: {"": {up: 0.2933731295987571, dn: 0.2933731295987571}}}
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_eta_pmratio_3
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.333334e-01	8.539729e-01	1.298490e-01	1.298490e-01
3.333333e-01	6.666667e-01	1.032642e+00	1.610248e-01	1.610248e-01
6.666666e-01	1.000000e+00	8.631385e-01	1.250316e-01	1.250316e-01
1.000000e+00	1.333334e+00	8.834157e-01	1.399193e-01	1.399193e-01
1.333333e+00	1.666667e+00	1.310571e+00	1.753366e-01	1.753366e-01
1.666666e+00	2.000000e+00	1.116939e+00	1.500630e-01	1.500630e-01
2.000000e+00	2.333334e+00	7.545725e-01	1.144837e-01	1.144837e-01
2.333333e+00	2.666667e+00	6.964791e-01	1.132086e-01	1.132086e-01
2.666666e+00	3.000000e+00	1.021857e+00	1.670437e-01	1.670437e-01
3.000000e+00	3.333334e+00	9.086009e-01	1.715054e-01	1.715054e-01
3.333333e+00	3.666667e+00	1.464808e+00	3.258242e-01	3.258242e-01
3.666666e+00	4.000000e+00	7.683441e-01	1.910655e-01	1.910655e-01
4.000000e+00	4.333334e+00	1.053257e+00	2.849109e-01	2.849109e-01
4.333333e+00	4.666667e+00	4.872345e-01	1.924335e-01	1.924335e-01
4.666666e+00	5.000000e+00	6.743725e-01	2.933731e-01	2.933731e-01
# END HISTO1D

