# BEGIN PLOT
LegendOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_eta_pmratio_4
DrawOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_eta_pmratio_4
Title=Pseudorapidity $+/-$ ratio of fourth jet
LogY=1
XLabel=$|\eta(\mathrm{jet~4}|$
YLabel=$\eta(\mathrm{jet~4})_+/\eta(\mathrm{jet~4})_-$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_eta_pmratio_4
ErrorBreakdown={0: {"": {up: 0.228262076945226, dn: 0.228262076945226}}, 1: {"": {up: 0.1633155238060292, dn: 0.1633155238060292}}, 2: {"": {up: 0.1707554815582848, dn: 0.1707554815582848}}, 3: {"": {up: 0.1753204574905117, dn: 0.1753204574905117}}, 4: {"": {up: 0.1858579290285018, dn: 0.1858579290285018}}, 5: {"": {up: 0.3072906735096773, dn: 0.3072906735096773}}, 6: {"": {up: 0.1952025503483913, dn: 0.1952025503483913}}, 7: {"": {up: 0.2157976616432471, dn: 0.2157976616432471}}, 8: {"": {up: 0.3057434646897264, dn: 0.3057434646897264}}, 9: {"": {up: 0.2128322544768581, dn: 0.2128322544768581}}, 10: {"": {up: 0.5484273755974034, dn: 0.5484273755974034}}, 11: {"": {up: 0.3885508814235135, dn: 0.3885508814235135}}, 12: {"": {up: 0.2018604620374099, dn: 0.2018604620374099}}, 13: {"": {up: 0.5436583103046292, dn: 0.5436583103046292}}, 14: {"": {up: 0.4760443391678978, dn: 0.4760443391678978}}}
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_eta_pmratio_4
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.333334e-01	1.050171e+00	2.282621e-01	2.282621e-01
3.333333e-01	6.666667e-01	7.303522e-01	1.633155e-01	1.633155e-01
6.666666e-01	1.000000e+00	6.762145e-01	1.707555e-01	1.707555e-01
1.000000e+00	1.333334e+00	8.589000e-01	1.753205e-01	1.753205e-01
1.333333e+00	1.666667e+00	7.159664e-01	1.858579e-01	1.858579e-01
1.666666e+00	2.000000e+00	1.050784e+00	3.072907e-01	3.072907e-01
2.000000e+00	2.333334e+00	6.905864e-01	1.952026e-01	1.952026e-01
2.333333e+00	2.666667e+00	9.913138e-01	2.157977e-01	2.157977e-01
2.666666e+00	3.000000e+00	1.088658e+00	3.057435e-01	3.057435e-01
3.000000e+00	3.333334e+00	7.667274e-01	2.128323e-01	2.128323e-01
3.333333e+00	3.666667e+00	1.498710e+00	5.484274e-01	5.484274e-01
3.666666e+00	4.000000e+00	1.264494e+00	3.885509e-01	3.885509e-01
4.000000e+00	4.333334e+00	6.154996e-01	2.018605e-01	2.018605e-01
4.333333e+00	4.666667e+00	1.112652e+00	5.436583e-01	5.436583e-01
4.666666e+00	5.000000e+00	7.102306e-01	4.760443e-01	4.760443e-01
# END HISTO1D

