# BEGIN PLOT
LegendOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_mass_1
DrawOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_mass_1
Title=Mass of first jet
LogY=1
XLabel=$m(\mathrm{jet~1})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}m(\mathrm{jet~1})$ [pb/GeV]
Legend=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_mass_1
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_mass_1
ScaledBy=1.43580032793284487e+06
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.047129e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.047129e+00	1.096478e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.096478e+00	1.148154e+00	1.974795e+06	1.974796e+06	1.974796e+06
1.148154e+00	1.202264e+00	7.084051e+04	6.768005e+04	6.768005e+04
1.202264e+00	1.258925e+00	8.233229e+05	6.188630e+05	6.188630e+05
1.258925e+00	1.318257e+00	2.779809e+05	2.779808e+05	2.779808e+05
1.318257e+00	1.380384e+00	1.507187e+04	1.507187e+04	1.507187e+04
1.380384e+00	1.445440e+00	1.261904e+06	9.582308e+05	9.582308e+05
1.445440e+00	1.513561e+00	3.190874e+06	1.793772e+06	1.793772e+06
1.513561e+00	1.584893e+00	1.632680e+06	9.967082e+05	9.967082e+05
1.584893e+00	1.659587e+00	4.043776e+06	1.944800e+06	1.944800e+06
1.659587e+00	1.737801e+00	1.423067e+06	1.010173e+06	1.010173e+06
1.737801e+00	1.819701e+00	2.138794e+06	1.304645e+06	1.304645e+06
1.819701e+00	1.905461e+00	8.141038e+06	2.753668e+06	2.753668e+06
1.905461e+00	1.995262e+00	5.862267e+06	2.022534e+06	2.022534e+06
1.995262e+00	2.089296e+00	5.327566e+06	1.934434e+06	1.934434e+06
2.089296e+00	2.187762e+00	7.780605e+06	2.820961e+06	2.820961e+06
2.187762e+00	2.290868e+00	5.440243e+06	2.125780e+06	2.125780e+06
2.290868e+00	2.398833e+00	1.001292e+07	2.493666e+06	2.493666e+06
2.398833e+00	2.511886e+00	1.243363e+07	2.617588e+06	2.617588e+06
2.511886e+00	2.630268e+00	1.907968e+07	3.861441e+06	3.861441e+06
2.630268e+00	2.754229e+00	1.815330e+07	3.535314e+06	3.535314e+06
2.754229e+00	2.884032e+00	2.073577e+07	3.159479e+06	3.159479e+06
2.884032e+00	3.019952e+00	2.777205e+07	4.658373e+06	4.658373e+06
3.019952e+00	3.162278e+00	3.468243e+07	5.388126e+06	5.388126e+06
3.162278e+00	3.311311e+00	4.386412e+07	5.413802e+06	5.413802e+06
3.311311e+00	3.467369e+00	5.377676e+07	6.232365e+06	6.232365e+06
3.467369e+00	3.630781e+00	5.543838e+07	5.446371e+06	5.446371e+06
3.630781e+00	3.801894e+00	5.143425e+07	5.306124e+06	5.306124e+06
3.801894e+00	3.981072e+00	6.987169e+07	6.414016e+06	6.414016e+06
3.981072e+00	4.168694e+00	8.359425e+07	6.577326e+06	6.577326e+06
4.168694e+00	4.365158e+00	8.336235e+07	6.570390e+06	6.570390e+06
4.365158e+00	4.570882e+00	9.642531e+07	7.197357e+06	7.197357e+06
4.570882e+00	4.786301e+00	1.170264e+08	7.764835e+06	7.764835e+06
4.786301e+00	5.011872e+00	1.170522e+08	6.957905e+06	6.957905e+06
5.011872e+00	5.248075e+00	1.572535e+08	8.654704e+06	8.654704e+06
5.248075e+00	5.495409e+00	1.418010e+08	7.579833e+06	7.579833e+06
5.495409e+00	5.754399e+00	1.376036e+08	7.175979e+06	7.175979e+06
5.754399e+00	6.025596e+00	1.576385e+08	7.728013e+06	7.728013e+06
6.025596e+00	6.309573e+00	1.605920e+08	7.501722e+06	7.501722e+06
6.309573e+00	6.606934e+00	1.630259e+08	7.724957e+06	7.724957e+06
6.606934e+00	6.918310e+00	1.494594e+08	6.908304e+06	6.908304e+06
6.918310e+00	7.244360e+00	1.415462e+08	6.178374e+06	6.178374e+06
7.244360e+00	7.585776e+00	1.289792e+08	5.780068e+06	5.780068e+06
7.585776e+00	7.943282e+00	1.224479e+08	5.843531e+06	5.843531e+06
7.943282e+00	8.317638e+00	1.028839e+08	4.802257e+06	4.802257e+06
8.317638e+00	8.709636e+00	8.759404e+07	4.294855e+06	4.294855e+06
8.709636e+00	9.120108e+00	7.640857e+07	3.959450e+06	3.959450e+06
9.120108e+00	9.549926e+00	6.083326e+07	3.330179e+06	3.330179e+06
9.549926e+00	1.000000e+01	4.944238e+07	2.867256e+06	2.867256e+06
1.000000e+01	1.047129e+01	3.551809e+07	2.272509e+06	2.272509e+06
1.047129e+01	1.096478e+01	3.059572e+07	1.946443e+06	1.946443e+06
1.096478e+01	1.148154e+01	2.242287e+07	1.572753e+06	1.572753e+06
1.148154e+01	1.202264e+01	1.753187e+07	1.446292e+06	1.446292e+06
1.202264e+01	1.258925e+01	1.311544e+07	1.185425e+06	1.185425e+06
1.258925e+01	1.318257e+01	8.446668e+06	6.247223e+05	6.247223e+05
1.318257e+01	1.380384e+01	6.058038e+06	5.832290e+05	5.832290e+05
1.380384e+01	1.445440e+01	4.137114e+06	4.489125e+05	4.489125e+05
1.445440e+01	1.513561e+01	3.439685e+06	4.945271e+05	4.945271e+05
1.513561e+01	1.584893e+01	2.339413e+06	2.531118e+05	2.531118e+05
1.584893e+01	1.659587e+01	1.342408e+06	1.106603e+05	1.106603e+05
1.659587e+01	1.737801e+01	9.006147e+05	7.394285e+04	7.394285e+04
1.737801e+01	1.819701e+01	6.234676e+05	4.942422e+04	4.942422e+04
1.819701e+01	1.905461e+01	4.407927e+05	2.908951e+04	2.908951e+04
1.905461e+01	1.995262e+01	3.497592e+05	2.867761e+04	2.867761e+04
1.995262e+01	2.089296e+01	2.315666e+05	1.535380e+04	1.535380e+04
2.089296e+01	2.187762e+01	1.594639e+05	1.101497e+04	1.101497e+04
2.187762e+01	2.290868e+01	1.058367e+05	7.394419e+03	7.394419e+03
2.290868e+01	2.398833e+01	8.402467e+04	5.849872e+03	5.849872e+03
2.398833e+01	2.511886e+01	5.735611e+04	4.392777e+03	4.392777e+03
2.511886e+01	2.630268e+01	4.053240e+04	2.741607e+03	2.741607e+03
2.630268e+01	2.754229e+01	2.464063e+04	1.700059e+03	1.700059e+03
2.754229e+01	2.884032e+01	2.177387e+04	1.773297e+03	1.773297e+03
2.884032e+01	3.019952e+01	1.214208e+04	9.040865e+02	9.040865e+02
3.019952e+01	3.162278e+01	1.162070e+04	1.633888e+03	1.633888e+03
3.162278e+01	3.311311e+01	7.216375e+03	6.217793e+02	6.217793e+02
3.311311e+01	3.467369e+01	5.013813e+03	3.804591e+02	3.804591e+02
