# BEGIN PLOT
LegendOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_mass_2
DrawOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_mass_2
Title=Mass of second jet
LogY=1
XLabel=$m(\mathrm{jet~2})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}m(\mathrm{jet~2})$ [pb/GeV]
Legend=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_mass_2
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_mass_2
ScaledBy=1.43580032793284487e+06
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.096478e+00	2.220079e+05	2.220079e+05	2.220079e+05
1.096478e+00	1.202264e+00	8.447835e+05	5.300590e+05	5.300590e+05
1.202264e+00	1.318257e+00	5.540980e+05	5.162007e+05	5.162007e+05
1.318257e+00	1.445440e+00	7.428680e+05	4.742833e+05	4.742833e+05
1.445440e+00	1.584893e+00	1.020370e+06	4.748593e+05	4.748593e+05
1.584893e+00	1.737801e+00	3.019540e+06	1.275574e+06	1.275574e+06
1.737801e+00	1.905461e+00	1.828407e+06	6.852613e+05	6.852613e+05
1.905461e+00	2.089296e+00	8.189871e+05	3.011728e+05	3.011728e+05
2.089296e+00	2.290868e+00	2.417805e+06	6.254184e+05	6.254184e+05
2.290868e+00	2.511886e+00	7.335502e+06	1.403611e+06	1.403611e+06
2.511886e+00	2.754229e+00	7.621309e+06	1.396198e+06	1.396198e+06
2.754229e+00	3.019952e+00	1.038302e+07	1.294034e+06	1.294034e+06
3.019952e+00	3.311311e+00	1.592992e+07	1.770351e+06	1.770351e+06
3.311311e+00	3.630781e+00	2.458895e+07	2.132745e+06	2.132745e+06
3.630781e+00	3.981072e+00	2.539130e+07	1.857136e+06	1.857136e+06
3.981072e+00	4.365158e+00	4.114748e+07	2.586879e+06	2.586879e+06
4.365158e+00	4.786301e+00	4.567605e+07	2.428312e+06	2.428312e+06
4.786301e+00	5.248075e+00	5.488642e+07	2.587687e+06	2.587687e+06
5.248075e+00	5.754399e+00	6.347001e+07	2.749281e+06	2.749281e+06
5.754399e+00	6.309573e+00	6.723227e+07	2.727725e+06	2.727725e+06
6.309573e+00	6.918310e+00	6.095632e+07	2.448201e+06	2.448201e+06
6.918310e+00	7.585776e+00	5.330328e+07	2.042268e+06	2.042268e+06
7.585776e+00	8.317638e+00	4.124055e+07	1.644352e+06	1.644352e+06
8.317638e+00	9.120108e+00	2.934267e+07	1.351730e+06	1.351730e+06
9.120108e+00	1.000000e+01	1.800369e+07	7.967445e+05	7.967445e+05
1.000000e+01	1.096478e+01	1.033377e+07	5.132122e+05	5.132122e+05
1.096478e+01	1.202264e+01	5.670957e+06	4.122750e+05	4.122750e+05
1.202264e+01	1.318257e+01	3.012711e+06	2.505338e+05	2.505338e+05
1.318257e+01	1.445440e+01	1.391106e+06	7.227491e+04	7.227491e+04
1.445440e+01	1.584893e+01	7.444501e+05	4.128689e+04	4.128689e+04
1.584893e+01	1.737801e+01	3.451305e+05	1.492748e+04	1.492748e+04
1.737801e+01	1.905461e+01	1.671057e+05	7.294225e+03	7.294225e+03
1.905461e+01	2.089296e+01	9.218952e+04	4.739543e+03	4.739543e+03
2.089296e+01	2.290868e+01	4.458734e+04	2.127662e+03	2.127662e+03
2.290868e+01	2.511886e+01	2.281902e+04	1.381010e+03	1.381010e+03
2.511886e+01	2.754229e+01	1.111122e+04	5.681993e+02	5.681993e+02
2.754229e+01	3.019952e+01	6.370645e+03	3.038719e+02	3.038719e+02
3.019952e+01	3.311311e+01	3.383900e+03	1.912213e+02	1.912213e+02
3.311311e+01	3.630781e+01	1.790508e+03	9.232852e+01	9.232852e+01
3.630781e+01	3.981072e+01	8.656206e+02	5.150030e+01	5.150030e+01
3.981072e+01	4.365158e+01	5.080925e+02	3.253754e+01	3.253754e+01
4.365158e+01	4.786301e+01	2.456482e+02	1.850616e+01	1.850616e+01
4.786301e+01	5.248075e+01	1.438352e+02	1.471991e+01	1.471991e+01
5.248075e+01	5.754399e+01	7.411711e+01	6.380641e+00	6.380641e+00
5.754399e+01	6.309573e+01	3.637337e+01	2.910566e+00	2.910566e+00
6.309573e+01	6.918310e+01	2.192384e+01	1.809255e+00	1.809255e+00
6.918310e+01	7.585776e+01	1.011461e+01	9.411857e-01	9.411857e-01
7.585776e+01	8.317638e+01	5.200662e+00	5.506625e-01	5.506625e-01
8.317638e+01	9.120108e+01	2.927367e+00	3.340000e-01	3.340000e-01
9.120108e+01	1.000000e+02	1.767953e+00	2.063992e-01	2.063992e-01
# END HISTO1D

