# BEGIN PLOT
LegendOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_mass_3
DrawOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_mass_3
Title=Mass of third jet
LogY=1
XLabel=$m(\mathrm{jet~3})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}m(\mathrm{jet~3})$ [pb/GeV]
Legend=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_mass_3
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_mass_3
ScaledBy=1.43580032793284487e+06
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.149757e+00	1.321313e+04	1.321296e+04	1.321296e+04
1.149757e+00	1.321941e+00	2.180361e+04	1.174775e+04	1.174775e+04
1.321941e+00	1.519911e+00	1.099797e+05	7.789277e+04	7.789277e+04
1.519911e+00	1.747528e+00	8.294025e+04	5.534964e+04	5.534964e+04
1.747528e+00	2.009233e+00	2.477163e+05	8.658561e+04	8.658561e+04
2.009233e+00	2.310130e+00	3.281278e+05	9.081651e+04	9.081651e+04
2.310130e+00	2.656088e+00	1.145395e+06	3.506613e+05	3.506613e+05
2.656088e+00	3.053856e+00	1.553720e+06	2.375694e+05	2.375694e+05
3.053856e+00	3.511192e+00	2.921036e+06	4.632789e+05	4.632789e+05
3.511192e+00	4.037017e+00	5.353756e+06	6.469237e+05	6.469237e+05
4.037017e+00	4.641589e+00	7.075007e+06	5.809531e+05	5.809531e+05
4.641589e+00	5.336699e+00	1.034679e+07	7.310186e+05	7.310186e+05
5.336699e+00	6.135907e+00	1.293230e+07	7.547286e+05	7.547286e+05
6.135907e+00	7.054802e+00	1.240111e+07	6.887020e+05	6.887020e+05
7.054802e+00	8.111308e+00	1.054272e+07	5.933782e+05	5.933782e+05
8.111308e+00	9.326033e+00	5.148819e+06	3.445935e+05	3.445935e+05
9.326033e+00	1.072267e+01	2.449483e+06	2.395544e+05	2.395544e+05
1.072267e+01	1.232847e+01	7.282115e+05	5.416773e+04	5.416773e+04
1.232847e+01	1.417474e+01	2.164531e+05	2.063587e+04	2.063587e+04
1.417474e+01	1.629751e+01	6.197115e+04	8.474612e+03	8.474612e+03
1.629751e+01	1.873817e+01	2.182172e+04	3.655170e+03	3.655170e+03
1.873817e+01	2.154435e+01	5.553450e+03	5.027717e+02	5.027717e+02
2.154435e+01	2.477076e+01	1.620883e+03	1.407182e+02	1.407182e+02
2.477076e+01	2.848036e+01	3.994444e+02	3.617110e+01	3.617110e+01
2.848036e+01	3.274549e+01	1.441722e+02	1.515108e+01	1.515108e+01
3.274549e+01	3.764936e+01	4.710645e+01	6.462973e+00	6.462973e+00
3.764936e+01	4.328761e+01	1.214846e+01	1.697231e+00	1.697231e+00
4.328761e+01	4.977024e+01	4.275291e+00	7.697914e-01	7.697914e-01
4.977024e+01	5.722368e+01	1.386024e+00	2.833051e-01	2.833051e-01
5.722368e+01	6.579332e+01	4.260054e-01	9.793540e-02	9.793540e-02
6.579332e+01	7.564633e+01	9.944944e-02	2.726058e-02	2.726058e-02
7.564633e+01	8.697490e+01	6.245670e-02	2.782276e-02	2.782276e-02
8.697490e+01	1.000000e+02	2.797159e-02	1.257688e-02	1.257688e-02
# END HISTO1D

