# BEGIN PLOT
LegendOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_mass_4
DrawOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_mass_4
Title=Mass of fourth jet
LogY=1
XLabel=$m(\mathrm{jet~4})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}m(\mathrm{jet~4})$ [pb/GeV]
Legend=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_mass_4
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_mass_4
ScaledBy=1.43580032793284487e+06
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.202264e+00	4.750437e+03	4.636919e+03	4.636919e+03
1.202264e+00	1.445440e+00	2.558419e+03	1.174592e+03	1.174592e+03
1.445440e+00	1.737801e+00	2.337085e+04	2.047021e+04	2.047021e+04
1.737801e+00	2.089296e+00	5.197346e+04	2.824492e+04	2.824492e+04
2.089296e+00	2.511886e+00	1.963548e+05	5.606882e+04	5.606882e+04
2.511886e+00	3.019952e+00	1.603207e+05	3.363271e+04	3.363271e+04
3.019952e+00	3.630781e+00	5.432054e+05	1.082808e+05	1.082808e+05
3.630781e+00	4.365158e+00	1.473638e+06	2.293060e+05	2.293060e+05
4.365158e+00	5.248075e+00	2.114881e+06	2.450468e+05	2.450468e+05
5.248075e+00	6.309573e+00	2.985416e+06	2.476431e+05	2.476431e+05
6.309573e+00	7.585776e+00	2.615880e+06	2.090987e+05	2.090987e+05
7.585776e+00	9.120108e+00	1.482431e+06	1.277483e+05	1.277483e+05
9.120108e+00	1.096478e+01	6.101030e+05	9.509601e+04	9.509601e+04
1.096478e+01	1.318257e+01	9.607632e+04	1.522875e+04	1.522875e+04
1.318257e+01	1.584893e+01	1.236767e+04	1.699847e+03	1.699847e+03
1.584893e+01	1.905461e+01	2.310555e+03	3.084776e+02	3.084776e+02
1.905461e+01	2.290868e+01	3.872376e+02	6.256556e+01	6.256556e+01
2.290868e+01	2.754229e+01	7.116365e+01	1.083977e+01	1.083977e+01
2.754229e+01	3.311311e+01	1.205345e+01	2.350453e+00	2.350453e+00
3.311311e+01	3.981072e+01	3.336462e+00	9.123263e-01	9.123263e-01
3.981072e+01	4.786301e+01	3.859423e-01	1.055646e-01	1.055646e-01
4.786301e+01	5.754399e+01	1.109969e-01	7.147447e-02	7.147447e-02
5.754399e+01	6.918310e+01	1.446416e-02	8.922540e-03	8.922540e-03
6.918310e+01	8.317638e+01	6.071168e-04	5.733137e-04	5.733137e-04
8.317638e+01	1.000000e+02	7.590263e-04	7.590263e-04	7.590263e-04
# END HISTO1D

