# BEGIN PLOT
LegendOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_pT_2
XLabel=$p_\perp(\mathrm{jet~2})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\perp(\mathrm{jet~2})$ [pb/GeV]
XMin=20.0
DrawOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_pT_2
Title=Transverse momentum of second jet
Legend=1
LogX=1
LogY=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_pT_2
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_pT_2
ScaledBy=1.43580032793284487e+06
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.113566e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.113566e+01	1.240029e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.240029e+01	1.380853e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.380853e+01	1.537671e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.537671e+01	1.712297e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.712297e+01	1.906756e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.906756e+01	2.123298e+01	2.915794e+07	1.046070e+06	1.046070e+06
2.123298e+01	2.364431e+01	3.778920e+07	1.084718e+06	1.084718e+06
2.364431e+01	2.632950e+01	2.153119e+07	6.400694e+05	6.400694e+05
2.632950e+01	2.931963e+01	1.338540e+07	3.800648e+05	3.800648e+05
2.931963e+01	3.264933e+01	7.488458e+06	2.103597e+05	2.103597e+05
3.264933e+01	3.635717e+01	4.510993e+06	1.158177e+05	1.158177e+05
3.635717e+01	4.048610e+01	2.560002e+06	6.182426e+04	6.182426e+04
4.048610e+01	4.508393e+01	1.567261e+06	3.746738e+04	3.746738e+04
4.508393e+01	5.020392e+01	8.874041e+05	2.090571e+04	2.090571e+04
5.020392e+01	5.590536e+01	5.619247e+05	1.449924e+04	1.449924e+04
5.590536e+01	6.225429e+01	3.298205e+05	7.577255e+03	7.577255e+03
6.225429e+01	6.932425e+01	1.922623e+05	4.422391e+03	4.422391e+03
6.932425e+01	7.719710e+01	1.102697e+05	2.357686e+03	2.357686e+03
7.719710e+01	8.596404e+01	6.575266e+04	1.431146e+03	1.431146e+03
8.596404e+01	9.572661e+01	3.867480e+04	8.358454e+02	8.358454e+02
9.572661e+01	1.065979e+02	2.106637e+04	4.654198e+02	4.654198e+02
1.065979e+02	1.187037e+02	1.235283e+04	2.738864e+02	2.738864e+02
1.187037e+02	1.321844e+02	7.215924e+03	1.604244e+02	1.604244e+02
1.321844e+02	1.471960e+02	3.983647e+03	9.109534e+01	9.109534e+01
1.471960e+02	1.639124e+02	2.286025e+03	5.220928e+01	5.220928e+01
1.639124e+02	1.825273e+02	1.324856e+03	3.108858e+01	3.108858e+01
1.825273e+02	2.032561e+02	7.293828e+02	1.759648e+01	1.759648e+01
2.032561e+02	2.263390e+02	3.950683e+02	9.611210e+00	9.611210e+00
2.263390e+02	2.520434e+02	2.202882e+02	5.582433e+00	5.582433e+00
2.520434e+02	2.806668e+02	1.231961e+02	3.184588e+00	3.184588e+00
2.806668e+02	3.125410e+02	6.708197e+01	1.788622e+00	1.788622e+00
3.125410e+02	3.480349e+02	3.527037e+01	9.915160e-01	9.915160e-01
3.480349e+02	3.875597e+02	1.955622e+01	5.705045e-01	5.705045e-01
3.875597e+02	4.315732e+02	1.045291e+01	3.164749e-01	3.164749e-01
4.315732e+02	4.805851e+02	5.350543e+00	1.781870e-01	1.781870e-01
4.805851e+02	5.351631e+02	2.707215e+00	9.580375e-02	9.580375e-02
5.351631e+02	5.959393e+02	1.416128e+00	5.263285e-02	5.263285e-02
5.959393e+02	6.636175e+02	7.492549e-01	2.970818e-02	2.970818e-02
6.636175e+02	7.389817e+02	3.556380e-01	1.643594e-02	1.643594e-02
7.389817e+02	8.229047e+02	1.884008e-01	8.804024e-03	8.804024e-03
8.229047e+02	9.163584e+02	8.449226e-02	4.484567e-03	4.484567e-03
9.163584e+02	1.020425e+03	4.435071e-02	2.488591e-03	2.488591e-03
1.020425e+03	1.136311e+03	1.987803e-02	1.282244e-03	1.282244e-03
1.136311e+03	1.265356e+03	8.908582e-03	6.733138e-04	6.733138e-04
1.265356e+03	1.409058e+03	3.055697e-03	2.954811e-04	2.954811e-04
1.409058e+03	1.569078e+03	1.543286e-03	1.632657e-04	1.632657e-04
1.569078e+03	1.747272e+03	6.863750e-04	8.394086e-05	8.394086e-05
1.747272e+03	1.945702e+03	3.417795e-04	4.419892e-05	4.419892e-05
1.945702e+03	2.166667e+03	1.113668e-04	1.993318e-05	1.993318e-05
# END HISTO1D

