# BEGIN PLOT
LegendOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_pT_3
XLabel=$p_\perp(\mathrm{jet~3})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\perp(\mathrm{jet~3})$ [pb/GeV]
XMin=20.0
DrawOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_pT_3
Title=Transverse momentum of third jet
Legend=1
LogX=1
LogY=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_pT_3
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_pT_3
ScaledBy=1.43580032793284487e+06
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.166798e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.166798e+01	1.361417e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.361417e+01	1.588498e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.588498e+01	1.853456e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.853456e+01	2.162608e+01	6.795955e+06	3.223623e+05	3.223623e+05
2.162608e+01	2.523326e+01	6.152088e+06	2.560435e+05	2.560435e+05
2.523326e+01	2.944211e+01	2.335049e+06	9.033267e+04	9.033267e+04
2.944211e+01	3.435298e+01	8.536101e+05	3.168587e+04	3.168587e+04
3.435298e+01	4.008298e+01	3.655478e+05	1.274526e+04	1.274526e+04
4.008298e+01	4.676873e+01	1.385105e+05	4.794148e+03	4.794148e+03
4.676873e+01	5.456964e+01	6.526877e+04	2.366135e+03	2.366135e+03
5.456964e+01	6.367173e+01	2.506642e+04	9.160848e+02	9.160848e+02
6.367173e+01	7.429203e+01	1.089510e+04	4.326023e+02	4.326023e+02
7.429203e+01	8.668377e+01	4.401322e+03	1.816652e+02	1.816652e+02
8.668377e+01	1.011424e+02	1.921412e+03	8.179237e+01	8.179237e+01
1.011424e+02	1.180127e+02	7.476227e+02	3.406873e+01	3.406873e+01
1.180127e+02	1.376970e+02	2.854511e+02	1.423523e+01	1.423523e+01
1.376970e+02	1.606645e+02	1.123099e+02	5.873825e+00	5.873825e+00
1.606645e+02	1.874630e+02	4.557035e+01	2.586687e+00	2.586687e+00
1.874630e+02	2.187314e+02	1.927338e+01	1.158106e+00	1.158106e+00
2.187314e+02	2.552153e+02	6.583975e+00	5.011798e-01	5.011798e-01
2.552153e+02	2.977846e+02	2.327966e+00	2.043857e-01	2.043857e-01
2.977846e+02	3.474544e+02	6.369305e-01	5.712015e-02	5.712015e-02
3.474544e+02	4.054090e+02	2.412716e-01	2.759823e-02	2.759823e-02
4.054090e+02	4.730302e+02	9.554702e-02	1.239641e-02	1.239641e-02
4.730302e+02	5.519306e+02	3.065732e-02	5.196392e-03	5.196392e-03
5.519306e+02	6.439913e+02	8.164697e-03	1.661532e-03	1.661532e-03
6.439913e+02	7.514076e+02	2.290395e-03	6.005229e-04	6.005229e-04
7.514076e+02	8.767406e+02	7.883820e-04	2.676571e-04	2.676571e-04
8.767406e+02	1.022979e+03	1.047030e-04	6.488752e-05	6.488752e-05
1.022979e+03	1.193609e+03	7.194468e-06	7.194467e-06	7.194467e-06
1.193609e+03	1.392701e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.392701e+03	1.625000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

