# BEGIN PLOT
LegendOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_pT_4
XLabel=$p_\perp(\mathrm{jet~4})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\perp(\mathrm{jet~4})$ [pb/GeV]
XMin=20.0
DrawOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_pT_4
Title=Transverse momentum of fourth jet
Legend=1
LogX=1
LogY=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_pT_4
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_pT_4
ScaledBy=1.43580032793284487e+06
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.214948e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.214948e+01	1.476099e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.476099e+01	1.793384e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.793384e+01	2.178868e+01	1.541868e+06	1.184136e+05	1.184136e+05
2.178868e+01	2.647212e+01	1.102047e+06	5.314610e+04	5.314610e+04
2.647212e+01	3.216225e+01	2.949759e+05	2.489597e+04	2.489597e+04
3.216225e+01	3.907546e+01	7.790132e+04	3.738639e+03	3.738639e+03
3.907546e+01	4.747466e+01	2.376087e+04	1.330308e+03	1.330308e+03
4.747466e+01	5.767925e+01	7.181544e+03	4.131311e+02	4.131311e+02
5.767925e+01	7.007730e+01	2.074252e+03	1.366450e+02	1.366450e+02
7.007730e+01	8.514028e+01	6.566878e+02	4.307633e+01	4.307633e+01
8.514028e+01	1.034410e+02	1.813316e+02	1.399075e+01	1.399075e+01
1.034410e+02	1.256755e+02	5.079327e+01	4.530929e+00	4.530929e+00
1.256755e+02	1.526892e+02	1.927527e+01	2.081882e+00	2.081882e+00
1.526892e+02	1.855094e+02	4.645231e+00	5.241190e-01	5.241190e-01
1.855094e+02	2.253843e+02	1.210675e+00	1.669260e-01	1.669260e-01
2.253843e+02	2.738303e+02	2.498192e-01	5.591524e-02	5.591524e-02
2.738303e+02	3.326896e+02	8.534746e-02	2.008596e-02	2.008596e-02
3.326896e+02	4.042006e+02	1.187348e-02	3.630557e-03	3.630557e-03
4.042006e+02	4.910828e+02	1.730214e-03	6.275299e-04	6.275299e-04
4.910828e+02	5.966401e+02	3.667169e-04	1.729059e-04	1.729059e-04
5.966401e+02	7.248867e+02	2.251611e-04	1.155871e-04	1.155871e-04
7.248867e+02	8.806998e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.806998e+02	1.070005e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.070005e+03	1.300000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

