# BEGIN PLOT
LegendXPos=0.3
XLabel=$y(\mathrm{jet~1})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}y(\mathrm{jet~1})$ [pb]
DrawOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_y_1
Title=Rapidity of first jet
LegendYPos=0.5
Legend=1
LegendOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_y_1
LogY=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_y_1
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_y_1
ScaledBy=1.43580032793284487e+06
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	1.340165e+07	2.288134e+06	2.288134e+06
-4.800000e+00	-4.600000e+00	2.098494e+07	3.114929e+06	3.114929e+06
-4.600000e+00	-4.400000e+00	2.055297e+07	2.663192e+06	2.663192e+06
-4.400000e+00	-4.200000e+00	2.973638e+07	3.760126e+06	3.760126e+06
-4.200000e+00	-4.000000e+00	3.459625e+07	4.046359e+06	4.046359e+06
-4.000000e+00	-3.800000e+00	4.854099e+07	4.827431e+06	4.827431e+06
-3.800000e+00	-3.600000e+00	4.756564e+07	4.316676e+06	4.316676e+06
-3.600000e+00	-3.400000e+00	5.289820e+07	4.966607e+06	4.966607e+06
-3.400000e+00	-3.200000e+00	5.572630e+07	4.508414e+06	4.508414e+06
-3.200000e+00	-3.000000e+00	6.638270e+07	5.592086e+06	5.592086e+06
-3.000000e+00	-2.800000e+00	7.838795e+07	6.011828e+06	6.011828e+06
-2.800000e+00	-2.600000e+00	7.182725e+07	5.254874e+06	5.254874e+06
-2.600000e+00	-2.400000e+00	8.688625e+07	6.381728e+06	6.381728e+06
-2.400000e+00	-2.200000e+00	9.834055e+07	6.677170e+06	6.677170e+06
-2.200000e+00	-2.000000e+00	9.151090e+07	6.280985e+06	6.280985e+06
-2.000000e+00	-1.800000e+00	1.013486e+08	7.009895e+06	7.009895e+06
-1.800000e+00	-1.600000e+00	1.084869e+08	6.842772e+06	6.842772e+06
-1.600000e+00	-1.400000e+00	1.119403e+08	7.229805e+06	7.229805e+06
-1.400000e+00	-1.200000e+00	1.274701e+08	8.110667e+06	8.110667e+06
-1.200000e+00	-1.000000e+00	1.287012e+08	7.493582e+06	7.493582e+06
-1.000000e+00	-8.000000e-01	1.254674e+08	7.757509e+06	7.757509e+06
-8.000000e-01	-6.000000e-01	1.139955e+08	6.828682e+06	6.828682e+06
-6.000000e-01	-4.000000e-01	1.318207e+08	7.940142e+06	7.940142e+06
-4.000000e-01	-2.000000e-01	1.273830e+08	7.847250e+06	7.847250e+06
-2.000000e-01	0.000000e+00	1.480029e+08	9.063239e+06	9.063239e+06
0.000000e+00	2.000000e-01	1.421272e+08	8.273550e+06	8.273550e+06
2.000000e-01	4.000000e-01	1.403289e+08	8.250759e+06	8.250759e+06
4.000000e-01	6.000000e-01	1.437587e+08	8.236182e+06	8.236182e+06
6.000000e-01	8.000000e-01	1.215863e+08	7.146816e+06	7.146816e+06
8.000000e-01	1.000000e+00	1.248512e+08	7.358840e+06	7.358840e+06
1.000000e+00	1.200000e+00	1.258392e+08	7.858753e+06	7.858753e+06
1.200000e+00	1.400000e+00	1.126659e+08	6.733582e+06	6.733582e+06
1.400000e+00	1.600000e+00	1.066889e+08	6.804519e+06	6.804519e+06
1.600000e+00	1.800000e+00	1.043704e+08	6.762073e+06	6.762073e+06
1.800000e+00	2.000000e+00	1.066999e+08	6.817888e+06	6.817888e+06
2.000000e+00	2.200000e+00	9.614600e+07	6.743983e+06	6.743983e+06
2.200000e+00	2.400000e+00	8.374680e+07	5.927999e+06	5.927999e+06
2.400000e+00	2.600000e+00	9.379700e+07	6.570228e+06	6.570228e+06
2.600000e+00	2.800000e+00	7.392090e+07	5.570927e+06	5.570927e+06
2.800000e+00	3.000000e+00	8.892995e+07	6.741535e+06	6.741535e+06
3.000000e+00	3.200000e+00	6.952795e+07	5.801924e+06	5.801924e+06
3.200000e+00	3.400000e+00	6.512300e+07	5.738343e+06	5.738343e+06
3.400000e+00	3.600000e+00	6.742865e+07	6.152536e+06	6.152536e+06
3.600000e+00	3.800000e+00	3.960354e+07	3.768561e+06	3.768561e+06
3.800000e+00	4.000000e+00	4.860744e+07	5.005220e+06	5.005220e+06
4.000000e+00	4.200000e+00	3.240697e+07	3.304459e+06	3.304459e+06
4.200000e+00	4.400000e+00	3.137384e+07	3.737988e+06	3.737988e+06
4.400000e+00	4.600000e+00	2.279297e+07	3.510422e+06	3.510422e+06
4.600000e+00	4.800000e+00	1.393837e+07	2.509666e+06	2.509666e+06
4.800000e+00	5.000000e+00	1.778629e+07	2.721354e+06	2.721354e+06
# END HISTO1D

