# BEGIN PLOT
LegendXPos=0.3
XLabel=$y(\mathrm{jet~2})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}y(\mathrm{jet~2})$ [pb]
DrawOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_y_2
Title=Rapidity of second jet
LegendYPos=0.5
Legend=1
LegendOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_y_2
LogY=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_y_2
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_y_2
ScaledBy=1.43580032793284487e+06
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	4.025207e+06	7.827303e+05	7.827303e+05
-4.800000e+00	-4.600000e+00	5.773335e+06	1.231946e+06	1.231946e+06
-4.600000e+00	-4.400000e+00	8.439395e+06	1.240617e+06	1.240617e+06
-4.400000e+00	-4.200000e+00	1.422612e+07	2.031314e+06	2.031314e+06
-4.200000e+00	-4.000000e+00	1.750926e+07	2.364360e+06	2.364360e+06
-4.000000e+00	-3.800000e+00	1.878830e+07	2.561657e+06	2.561657e+06
-3.800000e+00	-3.600000e+00	2.041109e+07	2.282408e+06	2.282408e+06
-3.600000e+00	-3.400000e+00	2.267537e+07	2.231026e+06	2.231026e+06
-3.400000e+00	-3.200000e+00	2.075938e+07	2.186639e+06	2.186639e+06
-3.200000e+00	-3.000000e+00	2.473484e+07	2.668851e+06	2.668851e+06
-3.000000e+00	-2.800000e+00	2.857077e+07	2.579006e+06	2.579006e+06
-2.800000e+00	-2.600000e+00	3.996655e+07	3.487116e+06	3.487116e+06
-2.600000e+00	-2.400000e+00	3.600730e+07	2.862574e+06	2.862574e+06
-2.400000e+00	-2.200000e+00	3.836406e+07	3.276101e+06	3.276101e+06
-2.200000e+00	-2.000000e+00	3.605232e+07	3.127733e+06	3.127733e+06
-2.000000e+00	-1.800000e+00	4.255029e+07	3.227491e+06	3.227491e+06
-1.800000e+00	-1.600000e+00	4.383377e+07	3.495816e+06	3.495816e+06
-1.600000e+00	-1.400000e+00	5.188485e+07	4.102883e+06	4.102883e+06
-1.400000e+00	-1.200000e+00	4.732447e+07	3.472417e+06	3.472417e+06
-1.200000e+00	-1.000000e+00	5.042630e+07	4.023297e+06	4.023297e+06
-1.000000e+00	-8.000000e-01	4.652728e+07	3.265629e+06	3.265629e+06
-8.000000e-01	-6.000000e-01	4.809139e+07	3.611536e+06	3.611536e+06
-6.000000e-01	-4.000000e-01	5.048565e+07	3.609003e+06	3.609003e+06
-4.000000e-01	-2.000000e-01	4.674313e+07	3.209646e+06	3.209646e+06
-2.000000e-01	0.000000e+00	4.901450e+07	3.456346e+06	3.456346e+06
0.000000e+00	2.000000e-01	4.873874e+07	3.409026e+06	3.409026e+06
2.000000e-01	4.000000e-01	5.295035e+07	3.628248e+06	3.628248e+06
4.000000e-01	6.000000e-01	4.828686e+07	3.651745e+06	3.651745e+06
6.000000e-01	8.000000e-01	5.388890e+07	3.774371e+06	3.774371e+06
8.000000e-01	1.000000e+00	4.946772e+07	3.359051e+06	3.359051e+06
1.000000e+00	1.200000e+00	4.458498e+07	2.962373e+06	2.962373e+06
1.200000e+00	1.400000e+00	4.612605e+07	3.180682e+06	3.180682e+06
1.400000e+00	1.600000e+00	4.397741e+07	3.547736e+06	3.547736e+06
1.600000e+00	1.800000e+00	4.160691e+07	3.273100e+06	3.273100e+06
1.800000e+00	2.000000e+00	4.415540e+07	3.466567e+06	3.466567e+06
2.000000e+00	2.200000e+00	3.820613e+07	3.022200e+06	3.022200e+06
2.200000e+00	2.400000e+00	3.777922e+07	3.491206e+06	3.491206e+06
2.400000e+00	2.600000e+00	3.529472e+07	3.074462e+06	3.074462e+06
2.600000e+00	2.800000e+00	2.640550e+07	2.382784e+06	2.382784e+06
2.800000e+00	3.000000e+00	2.872969e+07	2.816206e+06	2.816206e+06
3.000000e+00	3.200000e+00	2.497724e+07	2.542948e+06	2.542948e+06
3.200000e+00	3.400000e+00	2.219341e+07	2.363941e+06	2.363941e+06
3.400000e+00	3.600000e+00	2.013566e+07	1.983198e+06	1.983198e+06
3.600000e+00	3.800000e+00	2.472885e+07	2.740922e+06	2.740922e+06
3.800000e+00	4.000000e+00	1.457566e+07	2.034424e+06	2.034424e+06
4.000000e+00	4.200000e+00	1.333780e+07	1.757470e+06	1.757470e+06
4.200000e+00	4.400000e+00	1.185794e+07	1.664538e+06	1.664538e+06
4.400000e+00	4.600000e+00	1.085537e+07	1.573309e+06	1.573309e+06
4.600000e+00	4.800000e+00	9.421720e+06	1.672527e+06	1.672527e+06
4.800000e+00	5.000000e+00	5.115795e+06	1.337949e+06	1.337949e+06
# END HISTO1D

