# BEGIN PLOT
LegendXPos=0.3
XLabel=$y(\mathrm{jet~3})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}y(\mathrm{jet~3})$ [pb]
DrawOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_y_3
Title=Rapidity of third jet
LegendYPos=0.5
Legend=1
LegendOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_y_3
LogY=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_y_3
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_y_3
ScaledBy=1.43580032793284487e+06
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	1.036895e+06	3.122498e+05	3.122498e+05
-4.600000e+00	-4.200000e+00	2.144069e+06	4.120981e+05	4.120981e+05
-4.200000e+00	-3.800000e+00	3.199342e+06	5.350644e+05	5.350644e+05
-3.800000e+00	-3.400000e+00	2.788220e+06	3.163941e+05	3.163941e+05
-3.400000e+00	-3.000000e+00	4.818798e+06	5.382533e+05	5.382533e+05
-3.000000e+00	-2.600000e+00	5.185583e+06	5.410907e+05	5.410907e+05
-2.600000e+00	-2.200000e+00	7.918098e+06	9.242213e+05	9.242213e+05
-2.200000e+00	-1.800000e+00	7.774240e+06	8.239285e+05	8.239285e+05
-1.800000e+00	-1.400000e+00	7.427950e+06	6.287131e+05	6.287131e+05
-1.400000e+00	-1.000000e+00	8.824488e+06	8.778187e+05	8.778187e+05
-1.000000e+00	-6.000000e-01	1.113702e+07	1.114167e+06	1.114167e+06
-6.000000e-01	-2.000000e-01	1.049467e+07	1.251860e+06	1.251860e+06
-2.000000e-01	2.000000e-01	1.094973e+07	1.000271e+06	1.000271e+06
2.000000e-01	6.000000e-01	9.435150e+06	7.118376e+05	7.118376e+05
6.000000e-01	1.000000e+00	1.002691e+07	8.618160e+05	8.618160e+05
1.000000e+00	1.400000e+00	1.008524e+07	1.025005e+06	1.025005e+06
1.400000e+00	1.800000e+00	7.835850e+06	6.712075e+05	6.712075e+05
1.800000e+00	2.200000e+00	7.025400e+06	5.928349e+05	5.928349e+05
2.200000e+00	2.600000e+00	5.625783e+06	4.708467e+05	4.708467e+05
2.600000e+00	3.000000e+00	5.474163e+06	5.768202e+05	5.768202e+05
3.000000e+00	3.400000e+00	4.197498e+06	5.900729e+05	5.900729e+05
3.400000e+00	3.800000e+00	4.165783e+06	7.285202e+05	7.285202e+05
3.800000e+00	4.200000e+00	2.487774e+06	4.510746e+05	4.510746e+05
4.200000e+00	4.600000e+00	1.374645e+06	3.185996e+05	3.185996e+05
4.600000e+00	5.000000e+00	6.333425e+05	1.497519e+05	1.497519e+05
# END HISTO1D

