# BEGIN PLOT
LegendXPos=0.3
XLabel=$y(\mathrm{jet~4})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}y(\mathrm{jet~4})$ [pb]
DrawOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_y_4
Title=Rapidity of fourth jet
LegendYPos=0.5
Legend=1
LegendOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_y_4
LogY=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_y_4
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_y_4
ScaledBy=1.43580032793284487e+06
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	2.561405e+05	9.977305e+04	9.977305e+04
-4.600000e+00	-4.200000e+00	4.558418e+05	1.468274e+05	1.468274e+05
-4.200000e+00	-3.800000e+00	4.755932e+05	9.895842e+04	9.895842e+04
-3.800000e+00	-3.400000e+00	6.191443e+05	9.965061e+04	9.965061e+04
-3.400000e+00	-3.000000e+00	1.002453e+06	1.902097e+05	1.902097e+05
-3.000000e+00	-2.600000e+00	1.155453e+06	2.035697e+05	2.035697e+05
-2.600000e+00	-2.200000e+00	1.514074e+06	2.018712e+05	2.018712e+05
-2.200000e+00	-1.800000e+00	1.951846e+06	4.110934e+05	4.110934e+05
-1.800000e+00	-1.400000e+00	2.588592e+06	5.079826e+05	5.079826e+05
-1.400000e+00	-1.000000e+00	1.881000e+06	2.533356e+05	2.533356e+05
-1.000000e+00	-6.000000e-01	2.883510e+06	5.450968e+05	5.450968e+05
-6.000000e-01	-2.000000e-01	2.319600e+06	3.995460e+05	3.995460e+05
-2.000000e-01	2.000000e-01	2.194915e+06	3.010492e+05	3.010492e+05
2.000000e-01	6.000000e-01	1.935673e+06	2.126372e+05	2.126372e+05
6.000000e-01	1.000000e+00	1.763622e+06	1.841686e+05	1.841686e+05
1.000000e+00	1.400000e+00	1.843736e+06	2.247266e+05	2.247266e+05
1.400000e+00	1.800000e+00	1.875812e+06	2.723350e+05	2.723350e+05
1.800000e+00	2.200000e+00	1.746954e+06	4.015181e+05	4.015181e+05
2.200000e+00	2.600000e+00	1.379709e+06	2.055916e+05	2.055916e+05
2.600000e+00	3.000000e+00	1.365100e+06	2.432637e+05	2.432637e+05
3.000000e+00	3.400000e+00	6.374448e+05	9.184552e+04	9.184552e+04
3.400000e+00	3.800000e+00	9.655485e+05	3.262785e+05	3.262785e+05
3.800000e+00	4.200000e+00	5.878307e+05	1.195135e+05	1.195135e+05
4.200000e+00	4.600000e+00	3.455573e+05	7.837980e+04	7.837980e+04
4.600000e+00	5.000000e+00	1.900711e+05	8.853604e+04	8.853604e+04
# END HISTO1D

