# BEGIN PLOT
LegendOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_y_pmratio_1
DrawOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_y_pmratio_1
Title=Rapidity $+/-$ ratio of first jet
LogY=1
XLabel=$|y(\mathrm{jet~1}|$
YLabel=$y(\mathrm{jet~1})_+/y(\mathrm{jet~1})_-$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_y_pmratio_1
ErrorBreakdown={0: {"": {up: 0.08113614582387678, dn: 0.08113614582387678}}, 1: {"": {up: 0.09381310701384285, dn: 0.09381310701384285}}, 2: {"": {up: 0.09065796056544961, dn: 0.09065796056544961}}, 3: {"": {up: 0.08951363734687987, dn: 0.08951363734687987}}, 4: {"": {up: 0.08500200917788979, dn: 0.08500200917788979}}, 5: {"": {up: 0.0834840748642024, dn: 0.0834840748642024}}, 6: {"": {up: 0.07715708494166947, dn: 0.07715708494166947}}, 7: {"": {up: 0.08651151413690798, dn: 0.08651151413690798}}, 8: {"": {up: 0.08699051042354149, dn: 0.08699051042354149}}, 9: {"": {up: 0.09913615142157077, dn: 0.09913615142157077}}, 10: {"": {up: 0.1031085254991227, dn: 0.1031085254991227}}, 11: {"": {up: 0.08352927733994323, dn: 0.08352927733994323}}, 12: {"": {up: 0.109568671878412, dn: 0.109568671878412}}, 13: {"": {up: 0.1080948666197361, dn: 0.1080948666197361}}, 14: {"": {up: 0.1223383181912458, dn: 0.1223383181912458}}, 15: {"": {up: 0.124192440308012, dn: 0.124192440308012}}, 16: {"": {up: 0.1397937404178743, dn: 0.1397937404178743}}, 17: {"": {up: 0.1668866946609158, dn: 0.1668866946609158}}, 18: {"": {up: 0.1094834200730729, dn: 0.1094834200730729}}, 19: {"": {up: 0.1433522308546473, dn: 0.1433522308546473}}, 20: {"": {up: 0.1453481695108026, dn: 0.1453481695108026}}, 21: {"": {up: 0.1833035892994195, dn: 0.1833035892994195}}, 22: {"": {up: 0.2232077041757778, dn: 0.2232077041757778}}, 23: {"": {up: 0.1549940338366313, dn: 0.1549940338366313}}, 24: {"": {up: 0.3042679530726072, dn: 0.3042679530726072}}}
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_y_pmratio_1
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	9.603002e-01	8.113615e-02	8.113615e-02
2.000000e-01	4.000000e-01	1.101630e+00	9.381311e-02	9.381311e-02
4.000000e-01	6.000000e-01	1.090562e+00	9.065796e-02	9.065796e-02
6.000000e-01	8.000000e-01	1.066588e+00	8.951364e-02	8.951364e-02
8.000000e-01	1.000000e+00	9.950886e-01	8.500201e-02	8.500201e-02
1.000000e+00	1.200000e+00	9.777631e-01	8.348407e-02	8.348407e-02
1.200000e+00	1.400000e+00	8.838616e-01	7.715708e-02	7.715708e-02
1.400000e+00	1.600000e+00	9.530873e-01	8.651151e-02	8.651151e-02
1.600000e+00	1.800000e+00	9.620551e-01	8.699051e-02	8.699051e-02
1.800000e+00	2.000000e+00	1.052801e+00	9.913615e-02	9.913615e-02
2.000000e+00	2.200000e+00	1.050651e+00	1.031085e-01	1.031085e-01
2.200000e+00	2.400000e+00	8.516002e-01	8.352928e-02	8.352928e-02
2.400000e+00	2.600000e+00	1.079538e+00	1.095687e-01	1.095687e-01
2.600000e+00	2.800000e+00	1.029148e+00	1.080949e-01	1.080949e-01
2.800000e+00	3.000000e+00	1.134485e+00	1.223383e-01	1.223383e-01
3.000000e+00	3.200000e+00	1.047381e+00	1.241924e-01	1.241924e-01
3.200000e+00	3.400000e+00	1.168622e+00	1.397937e-01	1.397937e-01
3.400000e+00	3.600000e+00	1.274687e+00	1.668867e-01	1.668867e-01
3.600000e+00	3.800000e+00	8.326082e-01	1.094834e-01	1.094834e-01
3.800000e+00	4.000000e+00	1.001369e+00	1.433522e-01	1.433522e-01
4.000000e+00	4.200000e+00	9.367191e-01	1.453482e-01	1.453482e-01
4.200000e+00	4.400000e+00	1.055066e+00	1.833036e-01	1.833036e-01
4.400000e+00	4.600000e+00	1.108987e+00	2.232077e-01	2.232077e-01
4.600000e+00	4.800000e+00	6.642082e-01	1.549940e-01	1.549940e-01
4.800000e+00	5.000000e+00	1.327171e+00	3.042680e-01	3.042680e-01
# END HISTO1D

