# BEGIN PLOT
LegendOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_y_pmratio_2
DrawOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_y_pmratio_2
Title=Rapidity $+/-$ ratio of second jet
LogY=1
XLabel=$|y(\mathrm{jet~2}|$
YLabel=$y(\mathrm{jet~2})_+/y(\mathrm{jet~2})_-$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_y_pmratio_2
ErrorBreakdown={0: {"": {up: 0.09876346429005903, dn: 0.09876346429005903}}, 1: {"": {up: 0.1098879983651187, dn: 0.1098879983651187}}, 2: {"": {up: 0.0995326587313434, dn: 0.0995326587313434}}, 3: {"": {up: 0.1150692165328725, dn: 0.1150692165328725}}, 4: {"": {up: 0.1038305197063192, dn: 0.1038305197063192}}, 5: {"": {up: 0.09180157127619741, dn: 0.09180157127619741}}, 6: {"": {up: 0.09814182621276855, dn: 0.09814182621276855}}, 7: {"": {up: 0.09574857136058934, dn: 0.09574857136058934}}, 8: {"": {up: 0.1063307431131706, dn: 0.1063307431131706}}, 9: {"": {up: 0.1132828581960522, dn: 0.1132828581960522}}, 10: {"": {up: 0.1244178393355464, dn: 0.1244178393355464}}, 11: {"": {up: 0.1239073568749377, dn: 0.1239073568749377}}, 12: {"": {up: 0.1155986149230667, dn: 0.1155986149230667}}, 13: {"": {up: 0.08293079943254966, dn: 0.08293079943254966}}, 14: {"": {up: 0.1339963754777625, dn: 0.1339963754777625}}, 15: {"": {up: 0.1498029835459017, dn: 0.1498029835459017}}, 16: {"": {up: 0.1601496151396799, dn: 0.1601496151396799}}, 17: {"": {up: 0.1236236692959642, dn: 0.1236236692959642}}, 18: {"": {up: 0.1907528434129315, dn: 0.1907528434129315}}, 19: {"": {up: 0.1513696240837594, dn: 0.1513696240837594}}, 20: {"": {up: 0.1437213913987413, dn: 0.1437213913987413}}, 21: {"": {up: 0.1669001794664714, dn: 0.1669001794664714}}, 22: {"": {up: 0.2655326955319743, dn: 0.2655326955319743}}, 23: {"": {up: 0.4529796531263038, dn: 0.4529796531263038}}, 24: {"": {up: 0.4142035637265286, dn: 0.4142035637265286}}}
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_y_pmratio_2
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	9.943739e-01	9.876346e-02	9.876346e-02
2.000000e-01	4.000000e-01	1.132794e+00	1.098880e-01	1.098880e-01
4.000000e-01	6.000000e-01	9.564474e-01	9.953266e-02	9.953266e-02
6.000000e-01	8.000000e-01	1.120551e+00	1.150692e-01	1.150692e-01
8.000000e-01	1.000000e+00	1.063198e+00	1.038305e-01	1.038305e-01
1.000000e+00	1.200000e+00	8.841610e-01	9.180157e-02	9.180157e-02
1.200000e+00	1.400000e+00	9.746766e-01	9.814183e-02	9.814183e-02
1.400000e+00	1.600000e+00	8.475961e-01	9.574857e-02	9.574857e-02
1.600000e+00	1.800000e+00	9.491977e-01	1.063307e-01	1.063307e-01
1.800000e+00	2.000000e+00	1.037723e+00	1.132829e-01	1.132829e-01
2.000000e+00	2.200000e+00	1.059741e+00	1.244178e-01	1.244178e-01
2.200000e+00	2.400000e+00	9.847553e-01	1.239074e-01	1.239074e-01
2.400000e+00	2.600000e+00	9.802100e-01	1.155986e-01	1.155986e-01
2.600000e+00	2.800000e+00	6.606900e-01	8.293080e-02	8.293080e-02
2.800000e+00	3.000000e+00	1.005562e+00	1.339964e-01	1.339964e-01
3.000000e+00	3.200000e+00	1.009800e+00	1.498030e-01	1.498030e-01
3.200000e+00	3.400000e+00	1.069079e+00	1.601496e-01	1.601496e-01
3.400000e+00	3.600000e+00	8.879969e-01	1.236237e-01	1.236237e-01
3.600000e+00	3.800000e+00	1.211540e+00	1.907528e-01	1.907528e-01
3.800000e+00	4.000000e+00	7.757838e-01	1.513696e-01	1.513696e-01
4.000000e+00	4.200000e+00	7.617570e-01	1.437214e-01	1.437214e-01
4.200000e+00	4.400000e+00	8.335330e-01	1.669002e-01	1.669002e-01
4.400000e+00	4.600000e+00	1.286273e+00	2.655327e-01	2.655327e-01
4.600000e+00	4.800000e+00	1.631937e+00	4.529797e-01	4.529797e-01
4.800000e+00	5.000000e+00	1.270940e+00	4.142036e-01	4.142036e-01
# END HISTO1D

