# BEGIN PLOT
LegendOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_y_pmratio_3
DrawOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_y_pmratio_3
Title=Rapidity $+/-$ ratio of third jet
LogY=1
XLabel=$|y(\mathrm{jet~3}|$
YLabel=$y(\mathrm{jet~3})_+/y(\mathrm{jet~3})_-$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_y_pmratio_3
ErrorBreakdown={0: {"": {up: 0.1305968562974202, dn: 0.1305968562974202}}, 1: {"": {up: 0.1578454491427062, dn: 0.1578454491427062}}, 2: {"": {up: 0.1098270802754008, dn: 0.1098270802754008}}, 3: {"": {up: 0.1695156333771042, dn: 0.1695156333771042}}, 4: {"": {up: 0.161359146390642, dn: 0.161359146390642}}, 5: {"": {up: 0.1414093809321595, dn: 0.1414093809321595}}, 6: {"": {up: 0.1195290855281306, dn: 0.1195290855281306}}, 7: {"": {up: 0.1153918033079903, dn: 0.1153918033079903}}, 8: {"": {up: 0.1668974392458868, dn: 0.1668974392458868}}, 9: {"": {up: 0.1706268055264799, dn: 0.1706268055264799}}, 10: {"": {up: 0.3265138220461515, dn: 0.3265138220461515}}, 11: {"": {up: 0.1877409894159149, dn: 0.1877409894159149}}, 12: {"": {up: 0.2805385946294616, dn: 0.2805385946294616}}, 13: {"": {up: 0.1796517106754812, dn: 0.1796517106754812}}, 14: {"": {up: 0.3846535530797529, dn: 0.3846535530797529}}}
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_y_pmratio_3
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.333334e-01	8.814835e-01	1.305969e-01	1.305969e-01
3.333333e-01	6.666667e-01	1.018379e+00	1.578454e-01	1.578454e-01
6.666666e-01	1.000000e+00	7.900983e-01	1.098271e-01	1.098271e-01
1.000000e+00	1.333334e+00	1.047166e+00	1.695156e-01	1.695156e-01
1.333333e+00	1.666667e+00	1.255180e+00	1.613591e-01	1.613591e-01
1.666666e+00	2.000000e+00	1.026464e+00	1.414094e-01	1.414094e-01
2.000000e+00	2.333334e+00	7.429032e-01	1.195291e-01	1.195291e-01
2.333333e+00	2.666667e+00	7.515589e-01	1.153918e-01	1.153918e-01
2.666666e+00	3.000000e+00	1.010995e+00	1.668974e-01	1.668974e-01
3.000000e+00	3.333334e+00	8.523747e-01	1.706268e-01	1.706268e-01
3.333333e+00	3.666667e+00	1.486911e+00	3.265138e-01	3.265138e-01
3.666666e+00	4.000000e+00	7.255931e-01	1.877410e-01	1.877410e-01
4.000000e+00	4.333334e+00	1.101482e+00	2.805386e-01	2.805386e-01
4.333333e+00	4.666667e+00	4.302699e-01	1.796517e-01	1.796517e-01
4.666666e+00	5.000000e+00	1.015651e+00	3.846536e-01	3.846536e-01
# END HISTO1D

