# BEGIN PLOT
LegendOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_y_pmratio_4
DrawOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_y_pmratio_4
Title=Rapidity $+/-$ ratio of fourth jet
LogY=1
XLabel=$|y(\mathrm{jet~4}|$
YLabel=$y(\mathrm{jet~4})_+/y(\mathrm{jet~4})_-$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_y_pmratio_4
ErrorBreakdown={0: {"": {up: 0.2223860429226002, dn: 0.2223860429226002}}, 1: {"": {up: 0.158513108835028, dn: 0.158513108835028}}, 2: {"": {up: 0.1510106043871239, dn: 0.1510106043871239}}, 3: {"": {up: 0.1974131749205469, dn: 0.1974131749205469}}, 4: {"": {up: 0.1751656302766624, dn: 0.1751656302766624}}, 5: {"": {up: 0.2890649040883154, dn: 0.2890649040883154}}, 6: {"": {up: 0.2013604972960917, dn: 0.2013604972960917}}, 7: {"": {up: 0.2250825063287418, dn: 0.2250825063287418}}, 8: {"": {up: 0.323549577227583, dn: 0.323549577227583}}, 9: {"": {up: 0.1871217355569792, dn: 0.1871217355569792}}, 10: {"": {up: 0.5420067160422353, dn: 0.5420067160422353}}, 11: {"": {up: 0.3735514184860705, dn: 0.3735514184860705}}, 12: {"": {up: 0.229354616185197, dn: 0.229354616185197}}, 13: {"": {up: 0.4973939315694328, dn: 0.4973939315694328}}, 14: {"": {up: 0.5296915204576768, dn: 0.5296915204576768}}}
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jet_y_pmratio_4
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.333334e-01	1.038014e+00	2.223860e-01	2.223860e-01
3.333333e-01	6.666667e-01	7.313302e-01	1.585131e-01	1.585131e-01
6.666666e-01	1.000000e+00	6.201613e-01	1.510106e-01	1.510106e-01
1.000000e+00	1.333334e+00	1.016600e+00	1.974132e-01	1.974132e-01
1.333333e+00	1.666667e+00	6.741460e-01	1.751656e-01	1.751656e-01
1.666666e+00	2.000000e+00	8.766987e-01	2.890649e-01	2.890649e-01
2.000000e+00	2.333334e+00	9.512666e-01	2.013605e-01	2.013605e-01
2.333333e+00	2.666667e+00	1.008411e+00	2.250825e-01	2.250825e-01
2.666666e+00	3.000000e+00	1.183515e+00	3.235496e-01	3.235496e-01
3.000000e+00	3.333334e+00	6.827651e-01	1.871217e-01	1.871217e-01
3.333333e+00	3.666667e+00	1.420910e+00	5.420067e-01	5.420067e-01
3.666666e+00	4.000000e+00	1.167107e+00	3.735514e-01	3.735514e-01
4.000000e+00	4.333334e+00	7.174619e-01	2.293546e-01	2.293546e-01
4.333333e+00	4.666667e+00	9.887633e-01	4.973939e-01	4.973939e-01
4.666666e+00	5.000000e+00	7.705218e-01	5.296915e-01	5.296915e-01
# END HISTO1D

