# BEGIN PLOT
LegendXPos=0.10
XLabel=$\Delta{R}(\mathrm{jet~2,~jet~3})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta{R}(\mathrm{jet~2,~jet~3})$ [pb]
DrawOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jets_dR_23
Title=$\Delta R$ separation between jets
LegendYPos=0.5
Legend=1
LegendOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jets_dR_23
LogY=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jets_dR_23
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jets_dR_23
ScaledBy=1.43580032793284487e+06
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	4.000000e-01	3.345842e+04	3.277167e+04	3.277167e+04
4.000000e-01	6.000000e-01	5.308115e+06	4.000086e+05	4.000086e+05
6.000000e-01	8.000000e-01	9.072435e+06	7.683910e+05	7.683910e+05
8.000000e-01	1.000000e+00	8.971965e+06	7.873994e+05	7.873994e+05
1.000000e+00	1.200000e+00	9.195080e+06	1.281730e+06	1.281730e+06
1.200000e+00	1.400000e+00	1.056398e+07	1.261053e+06	1.261053e+06
1.400000e+00	1.600000e+00	1.291278e+07	1.716509e+06	1.716509e+06
1.600000e+00	1.800000e+00	1.330485e+07	1.712532e+06	1.712532e+06
1.800000e+00	2.000000e+00	1.519025e+07	1.662945e+06	1.662945e+06
2.000000e+00	2.200000e+00	1.664992e+07	1.841901e+06	1.841901e+06
2.200000e+00	2.400000e+00	1.558374e+07	1.495962e+06	1.495962e+06
2.400000e+00	2.600000e+00	1.696982e+07	1.752206e+06	1.752206e+06
2.600000e+00	2.800000e+00	1.559259e+07	1.532937e+06	1.532937e+06
2.800000e+00	3.000000e+00	1.853919e+07	1.828585e+06	1.828585e+06
3.000000e+00	3.200000e+00	1.661241e+07	1.495158e+06	1.495158e+06
3.200000e+00	3.400000e+00	1.381603e+07	1.205105e+06	1.205105e+06
3.400000e+00	3.600000e+00	1.180094e+07	1.157229e+06	1.157229e+06
3.600000e+00	3.800000e+00	1.135762e+07	1.393395e+06	1.393395e+06
3.800000e+00	4.000000e+00	9.955895e+06	1.191342e+06	1.191342e+06
4.000000e+00	4.200000e+00	7.930380e+06	1.082700e+06	1.082700e+06
4.200000e+00	4.400000e+00	1.142792e+07	1.914160e+06	1.914160e+06
4.400000e+00	4.600000e+00	7.279755e+06	1.032443e+06	1.032443e+06
4.600000e+00	4.800000e+00	5.658585e+06	7.941491e+05	7.941491e+05
4.800000e+00	5.000000e+00	4.838575e+06	8.428085e+05	8.428085e+05
# END HISTO1D

